Clapeyron Database File,,,,,,,,,,
SAFTVRMie Like Parameters,,,,,,,,,,
species,DIPPR Number,Mw,segment,sigma,epsilon,lambda_r,lambda_a,n_H,n_e,source
water,,18.01528,1,3.0555,418.00,35.823,6.,2,2,
lithium,,6.939,1,1.8942,2.996553037000000,12,6.,0,0,
sodium,,22.98977,1,2.1607,32.39700989,12,6.,0,0,
potassium,,39.0983,1,2.627300000000000,1.441540433000000e+02,12,6.,0,0,
rubidium,,85.4678,1,3.026700000000000,1.513787225000000e+02,12,6.,0,0,
cesium,,132.9054519,1,3.241600000000000,2.543280046000000e+02,12,6.,0,0,
fluoride,,18.9984032,1,1.833500000000000,2.106894599000000e+02,12,6.,0,0,
chloride,,35.453,1,3.0999,118.669,12,6.,0,0,
bromide,,79.904,1,3.488700000000000,92.361036270000000,12,6.,0,0,
iodide,,126.90447,1,3.887000000000000,97.283318600000000,12,6.,0,0,
nitrate,,62.0049,1,4.034600000000000,32.560233430000000,12,6.,0,0,
perchlorate,,99.45,1,4.030100000000000,61.479806260000000,12,6.,0,0,
sulfate,,96.06,1,2.788600000000000,2.363115560000000e+02,12,6.,0,0,
magnesium,,24.305,1,2.378300000000000,8.514901993000000,12,6.,0,0,
calcium,,40.078,1,2.719500000000000,60.495117510000000,12,6.,0,0,
strontium,,87.62,1,2.849100000000000,1.290435312000000e+02,12,6.,0,0,
barium,,137.327,1,2.514000000000000,7.421115720000000e+02,12,6.,0,0,
