Clapeyron Database File,,,,,,
SAFTVRMie Unlike Parameters,,,,,,
species1,SMILES1,species2,SMILES2,epsilon,lambda_r,source
water,,lithium,,893.71,,
water,,sodium,,187.62,,
water,,potassium,,68.400,,
water,,rubidium,,66.990,,
water,,cesium,,112.59,,
water,,magnesium,,1371.7,,
water,,calcium,,619.17,,
water,,strontium,,437.96,,
water,,barium,,542.56,,
water,,fluoride,,1461.1,,
water,,chloride,,594.05,,
water,,bromide,,543.53,,
water,,iodide,,522.56,,
water,,nitrate,,283.32,,
water,,sulfate,,761.50,,
water,,perchlorate,,458.43,,
lithium,,fluoride,,10.189554510000000,,
lithium,,chloride,,6.569683482000000,,
lithium,,bromide,,5.099961581000000,,
lithium,,iodide,,4.515954753000000,,
lithium,,nitrate,,2.817823338000000,,
lithium,,sulfate,,8.532956547000000,,
lithium,,perchlorate,,4.3857213510000000,,
sodium,,fluoride,,40.514794100000000,,
sodium,,chloride,,28.894813540000000,,
sodium,,bromide,,22.969842550000000,,
sodium,,iodide,,20.785730460000000,,
sodium,,nitrate,,12.974763190000000,,
sodium,,sulfate,,37.047333810000000,,
sodium,,perchlorate,,20.017135580000000,,
potassium,,fluoride,,93.702393230000000,,
potassium,,chloride,,77.733176560000000,,
potassium,,bromide,,64.053953420000000,,
potassium,,iodide,,59.904054180000000,,
potassium,,nitrate,,37.488149320000000,,
potassium,,sulfate,,86.073073320000000,,
potassium,,perchlorate,,97.534683670000000,,
rubidium,,fluoride,,93.045826830000000,,
rubidium,,chloride,,86.093320140000000,,
rubidium,,bromide,,72.805610880000000,,
rubidium,,iodide,,69.726913530000000,,
rubidium,,nitrate,,43.817231590000000,,
rubidium,,sulfate,,1.060680869000000e+02,,
rubidium,,perchlorate,,66.538623080000000,,
cesium,,fluoride,,1.216570785000000e+02,,
cesium,,chloride,,1.185374802000000e+02,,
cesium,,bromide,,1.015946792000000e+02,,
cesium,,iodide,,98.533511520000000,,
cesium,,nitrate,,61.880038350000000,,
cesium,,sulfate,,1.452196662000000e+02,,
cesium,,perchlorate,,93.403521140000000,,
magnesium,,fluoride,,15.913906340000000,,
magnesium,,chloride,,12.254777040000000,,
magnesium,,bromide,,9.884151965000000,,
magnesium,,iodide,,9.054964551000000,,
magnesium,,nitrate,,5.719102653000000,,
magnesium,,sulfate,,15.356606870000000,,
magnesium,,perchlorate,,8.905733616000000,,
calcium,,fluoride,,48.722799780000000,,
calcium,,chloride,,41.611032800000000,,
calcium,,bromide,,34.409780830000000,,
calcium,,iodide,,32.255716150000000,,
calcium,,nitrate,,20.403170770000000,,
calcium,,sulfate,,51.388850930000000,,
calcium,,perchlorate,,31.516283450000000,,
strontium,,fluoride,,74.462672560000000,,
strontium,,chloride,,65.896889510000000,,
strontium,,bromide,,54.984453790000000,,
strontium,,iodide,,51.976199460000000,,
strontium,,nitrate,,32.868445130000000,,
strontium,,sulfate,,81.047440590000000,,
strontium,,perchlorate,,50.572239060000000,,
barium,,fluoride,,2.065498107000000e+02,,
barium,,chloride,,1.656484345000000e+02,,
barium,,bromide,,1.353493128000000e+02,,
barium,,iodide,,1.255889823000000e+02,,
barium,,nitrate,,78.619359060000000,,
barium,,sulfate,,2.086390666000000e+02,,
barium,,perchlorate,,1.204294940000000e+02,,
