Clapeyron estimator,
saturation_pressure,
T,out_p
100.69,36936
105.69,60146
110.69,93451
115.69,139460
120.69,201010
125.69,281100
130.69,382860
135.69,509550
140.69,664510
145.69,851150
150.69,1073000
155.69,1333600
160.69,1636900
165.69,1986600
170.69,2387200
175.69,2843400
