Clapeyron Database File,,,,,,,,,,
SAFTVRMie Like Parameters,,,,,,,,,,
species,DIPPR Number,Mw,Tcrit,pcrit,Vcrit,acrit,bcrit,ccrit,dcrit,segment,sigma,epsilon,lambda_r,lambda_a,n_H,n_e,source
carbon dioxideold,,44.01,304.1282,7.3773e6,9.41178357551188e-5,-148.0558704905106,155.17377608155527,-51.74326548165446,2.5,1.6936,3.05,207.89,26.408,5.055,1.0,0.0,10.1016/j.fluid.2015.12.044
carbon dioxide,,44.01,304.1282,7.3773e6,9.41178357551188e-5,-113.46336161577565, 138.841409520811, -48.77329761891929,2.5,1.698,3.055,207.89,26.408,5.055,1.0,0.0,10.1016/j.fluid.2015.12.044
