Clapeyron Estimator,,,
density,,,
p,T,id,out_density
100000,313.1,1,1231
100000,332.6,1,1219
100000,352.6,1,1207
100000,372.7,1,1195
100000,392.8,1,1184
100000,412.9,1,1173
100000,432.6,1,1161
100000,452.3,1,1150
100000,472.2,1,1139
100000,313.2,2,1310
100000,332.6,2,1297
100000,352.7,2,1284
100000,372.8,2,1271
100000,392.9,2,1259
100000,413,2,1247
100000,432.9,2,1235
100000,452.6,2,1223
100000,472.4,2,1212
