Clapeyron Database File,,,,,,,,,,,,,,
SaftVRMie like Parameters [csvtype=like]
species,Mw,N_a,N_h,vst,S,lambda_r,lambda_a,sigma,sigma_born,epsilon,charge,n_H,n_e1,n_e2,source
IM,66.077,5,3,4,0.6,12,6,3.8,,400.77,1,0,0,0,
BF4,86.81,5,0,1,1.,12,6,3.9,,473.39,-1,0,0,0,
