Clapeyron Estimator,,
bubble_comp,,
p,x,out_y
101330,0.0225,0.2326
101330,0.0646,0.385
101330,0.1146,0.4576
101330,0.1942,0.5334
101330,0.2684,0.5675
101330,0.3751,0.6041
101330,0.4987,0.6524
101330,0.7093,0.7541
101330,0.7936,0.8149
101330,0.8858,0.8889
101330,0.8882,0.8925
101330,0.9803,0.98681
