A,B
[method=saturation_p],
T,out_pre
57.16919999999945,9.293657517380781
61.11190344827527,33.47262597333331
65.05460689655109,102.09608081735442
68.99731034482693,271.62864356583765
72.94001379310275,645.0094299860971
76.88271724137857,1392.079904498468
80.8254206896544,2770.6933061869536
84.76812413793022,5145.963988359013
88.71082758620604,9005.46505133582
92.65353103448187,14968.95384226713
96.5962344827577,23792.12297134115
100.53893793103352,36364.6996875324
104.48164137930934,53703.806273282535
108.42434482758516,76943.80900450709
112.36704827586098,107323.95770076863
116.30975172413682,146175.02252756667
120.25245517241264,194905.9452975682
124.19515862068846,254991.30212025318
128.1378620689643,327960.1668348596
132.0805655172401,415386.7962435836
136.02326896551594,518883.44161302975
139.96597241379175,640095.531814517
143.90867586206758,780699.475819159
147.8513793103434,942403.4040125384
151.79408275861923,1.1269513274541055e6
155.73678620689506,1.3361314811219713e6
159.67948965517087,1.571790111473547e6
163.6221931034467,1.8358528350308503e6
167.5648965517225,2.1303572884595017e6
171.50759999999835,2.4575039421998933e6
