Clapeyron Database File
PR Parameters [csvtype = like, grouptype = unknown]
species,a,b,Tc,Pc,Mw
water,0.6044317813804891,1.911345876665619e-5,647.13,2.19e7,18.015
ethanol,1.3641054870469362,5.4317023403431396e-5,513.92,6.12e6,46.069
