Clapeyron Database File,,,,,
tc-PR Wilson(res) Unlike Parameters
species1,species2,g
tert-butanol~|~2-methyl-2-propanol~|~2-methylpropan-2-ol,butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,-146.16
nitromethane,butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,852.8
ethylformate~|~ethyl methanoate,water,320.81
ethane,methane,22.71
propane~|~n-propane,methane,12.03
butane~|~n-butane,methane,8.48
hexane~|~n-hexane,methane,-0.08
heptane~|~n-heptane,methane,-4.9
decane~|~n-decane,methane,76.22
c24~|~tetracosane~|~n-tetracosane,methane,-574.11
methane,nitrogen,27.66
ethane,nitrogen,151.94
pentane~|~n-pentane,nitrogen,57.17
decane~|~n-decane,nitrogen,241.99
xenon,ethene~|~ethylene~|~1-ethylene,50.95
propane~|~n-propane,ethane,7.93
heptane~|~n-heptane,ethane,35.86
hexatriacontane~|~n-hexatriacontane,ethane,-771.25
methane,argon,38.72
isopentane~|~methylbutane~|~2-methylbutane,propane~|~n-propane,239.43
cyclohexane,benzene,188.94
toluene,benzene,-52.54
heptane~|~n-heptane,benzene,35.18
methylcyclohexane,cyclohexane,-110.15
chlorobenzene~|~monochlorobenzene,cyclohexane,216.49
cyclohexane,hexane~|~n-hexane,136.91
toluene,"dichloroethane~|~1,2-dichloroethane",284.42
ccl4~|~tetrachloromethane~|~carbon tetrachloride,"dichloroethane~|~1,2-dichloroethane",132.62
chlorobenzene~|~monochlorobenzene,heptane~|~n-heptane,144.8
methane,hydrogen sulfide,382.98
methane,carbon dioxide,232.19
nitrogen,carbon dioxide,310.24
ethene~|~ethylene~|~1-ethylene,carbon dioxide,164.89
ethane,carbon dioxide,299.82
propane~|~n-propane,carbon dioxide,132.14
butane~|~n-butane,carbon dioxide,245.65
cyclopentane,carbon dioxide,-26.35
toluene,carbon dioxide,5.64
decane~|~n-decane,carbon dioxide,1974.91
dotriacontane~|~n-dotriacontane,carbon dioxide,686.9
pentane~|~n-pentane,acetone~|~propanone,499.76
benzene,acetone~|~propanone,57.95
cyclohexane,acetone~|~propanone,312.86
hexane~|~n-hexane,acetone~|~propanone,350.74
benzene,butanone~|~2-butanone~|~methyl ethyl ketone,27.22
hexane~|~n-hexane,butanone~|~2-butanone~|~methyl ethyl ketone,417.87
