mean,var,scale
3.423553380423578574e+02,1.887430500054124423e+03,4.344456813059746025e+01
-1.471762568383777059e-01,1.394229390635893032e-02,1.180774911079962297e-01
2.426381248401448254e-01,1.893707736312713955e-02,1.376120538438662388e-01
1.214412638478782475e-02,3.083073384423938405e-03,5.552543006968913702e-02
4.720549497563914648e-02,3.459968356323443739e-02,1.860099017881425565e-01
-1.088912814765274212e-01,1.670723830976849136e-02,1.292564826605168415e-01
5.168547587288623013e-02,1.381392588488138291e-02,1.175326588012088752e-01
1.741747357621872827e-01,2.984165011428820818e-02,1.727473592107509059e-01
-2.769592663133784577e-02,1.663341145692955395e-02,1.289705836884114942e-01
1.511738807114633987e-01,1.495187657417119780e-02,1.222778662480303452e-01
-1.850096538382553224e-01,1.619153123015230900e-02,1.272459477946245310e-01
-2.277747655443174424e-01,2.628697463744434151e-02,1.621325835156041117e-01
6.917626185077343495e-04,1.078744401311783167e-02,1.038626208658236794e-01
8.288488328483483575e-03,1.136110506501255939e-02,1.065884846735920127e-01
2.473566363951553576e-02,1.413998010576552472e-02,1.189116483182599132e-01
-7.668551609499760224e-02,2.585265889054354921e-02,1.607876204517734164e-01
7.345923673001393539e-02,1.501068482525965905e-02,1.225180999904081913e-01
-8.435044001380759271e-02,3.907114130856673140e-02,1.976642135252781041e-01
-2.551305830794228791e-01,2.129045529725647271e-02,1.459124919164102030e-01
-7.052158008472257829e-03,1.010406791773396651e-02,1.005189928209289513e-01
5.702092103504450421e-02,7.730982369820443324e-03,8.792600508279926896e-02
1.724237673917805580e-01,2.681641931213715746e-02,1.637571962148141880e-01
-4.670767058937282112e-02,1.339257528320347834e-02,1.157262946922758690e-01
-3.491160480909608239e-03,1.138727088976629678e-02,1.067111563509940408e-01
-1.886569693348515153e-01,2.024319339838920664e-02,1.422785767372910237e-01
-1.787534459530963626e-01,1.141767685945184810e-02,1.068535299344474110e-01
-1.472898916797873159e-01,1.093093633247862496e-02,1.045511182746441253e-01
-8.534424627520513507e-02,1.470723728769945601e-02,1.212733989286168823e-01
1.096430224512393858e-01,1.660632268020076005e-02,1.288655216890877975e-01
