Clapeyron Estimator,,,
sat_mix,,,
T,x,out_p,out_rho
150.37,1,9946.3,19447
160.37,1,21996,19060
170.37,1,43849,18665
180.37,1,80303,18260
190.37,1,137120,17842
200.37,1,220880,17410
210.37,1,338830,16959
220.37,1,498770,16487
230.37,1,708900,15987
240.37,1,977830,15454
250.37,1,1314500,14878
260.37,1,1728600,14245
270.37,1,2230100,13531
205.53,0,28028,13821
215.53,0,48337,13572
225.53,0,78928,13317
235.53,0,122990,13055
245.53,0,184090,12785
255.53,0,266110,12507
265.52,0,373220,12217
275.52,0,509810,11914
285.52,0,680470,11596
295.52,0,890010,11258
305.52,0,1143400,10897
315.52,0,1446000,10505
325.52,0,1803500,10072
335.52,0,2222100,9582.9
345.52,0,2709100,9005.6
