Clapeyron Estimator,,,
[method=saturation_p_rhol, species=propane],,,
T,out_p,out_rho
205.53,28028,13821
215.53,48337,13572
225.53,78928,13317
235.53,122990,13055
245.53,184090,12785
255.53,266110,12507
265.52,373220,12217
275.52,509810,11914
285.52,680470,11596
295.52,890010,11258
305.52,1143400,10897
315.52,1446000,10505
325.52,1803500,10072
335.52,2222100,9582.9
345.52,2709100,9005.6
