Clapeyron Database File,,,,,
SAFTVRSW Unlike Parameters,,,,,
species1,SMILES1,species2,SMILES2,k,source
methane,,perfluorobutane,,0.079,
methane,,perfluoropropane,,0.079,
ethane,,perfluorobutane,,0.079,
methane,,perfluoroethane,,0.079,
ethane,,perfluoropropane,,0.079,
propane,,perfluorobutane,,0.079,
methane,,perfluoromethane,,0.079,
ethane,,perfluoroethane,,0.079,
propane,,perfluoropropane,,0.079,
butane,,perfluorobutane,,0.079,
ethane,,perfluoromethane,,0.079,
propane,,perfluoroethane,,0.079,
butane,,perfluoropropane,,0.079,
pentane,,perfluorobutane,,0.079,
propane,,perfluoromethane,,0.079,
butane,,perfluoroethane,,0.079,
pentane,,perfluoropropane,,0.079,
hexane,,perfluorobutane,,0.079,
butane,,perfluoromethane,,0.079,
pentane,,perfluoroethane,,0.079,
hexane,,perfluoropropane,,0.079,
heptane,,perfluorobutane,,0.079,
pentane,,perfluoromethane,,0.079,
hexane,,perfluoroethane,,0.079,
heptane,,perfluoropropane,,0.079,
octane,,perfluorobutane,,0.079,
hexane,,perfluoromethane,,0.079,
heptane,,perfluoroethane,,0.079,
octane,,perfluoropropane,,0.079,
heptane,,perfluoromethane,,0.079,
octane,,perfluoroethane,,0.079,
octane,,perfluoromethane,,0.079,
