Clapeyron Database File,,
Charges Like Parameters,,
species,charge,source
water~|~water08,0,
acetonitrile,0,
methanol,0,
carbon dioxide,0,
hydronium~|~H3O+,1,
lithium~|~Li+,1,
sodium~|~Na+,1,
potassium~|~K+,1,
rubidium~|~Rb+,1,
cesium~|~Cs+,1,
magnesium~|~Mg2+,2,
calcium~|~Ca2+,2,
strontium~|~Sr2+,2,
barium~|~Ba2+,2,
copper~|~Cu2+,2,
zinc~|~Zn2+,2,
aluminum~|~Al3+,3,
fluoride~|~F-,1,
chloride~|~Cl-,-1,
bromide~|~Br-,-1,
iodide~|~I-,-1,
hydroxide~|~OH-,-1,
sulfate~|~SO4-2,-2,
bisulfate~|~HSO4-,-1,
nitrate~|~NO3-,-1,
nitrite~|~NO2-,-1,
phosphate~|~PO4-3,-3,
carbonate~|~CO3-2,-2,
bicarbonate~|~HCO3-,-1,
sulfite~|~SO3-2,-2,
bisulfite~|~HSO3-,-1,
sulfide~|~S-2,-2,
bisulfide~|~HS-,-1, 
ammonium~|~NH4+,1,
ammonia~|~NH3,0,
1-ethyl-3-methylimidazolium,1,
1-butyl-3-methylimidazolium,1,
[C4MIM]+,1,
[C6MIM]+,1,
[C8MIM]+,1,
tetrafluoroborate,-1,
hexafluorophosphate,-1,
[PF6]-,-1,
[Tf2N]-,-1,
Acetate,-1,
PEG200,0,
ethanol,0,
1-propanol,0,
C8TA,+1,
choline,+1,
acetate,-1,
hexane,0,
