Clapeyron Database File
iPCSAFT Like Parameters
species,Mw,segment,sigma,epsilon,v_shift,n_H,n_e,source
"1,4-hexadiene",82.1436,3.1339,3.8125,230.085,2.5e-05,0,0,
"1,4-pentadiene",68.11702,1.6289,4.5161,294.74,1.28e-05,0,0,
"1,5-dichloropentane",141.0389,3.8937,3.9129,276.036,5.01e-05,0,0,
1-Butene,56.10632,2.396,3.6957,213.423,1.11e-05,0,0,
R142b,100.495026,2.7514,3.4894,195.907,1.51e-05,0,0,
1-decene,140.2658,4.7249,3.9877,237.365,4.84e-05,0,0,
1-decyne,138.24992,5.0277,3.8151,233.588,4.02e-05,0,0,
1-dodecene,168.31896,5.3878,4.0809,242.017,6.73e-05,0,0,
1-eicosene,280.5316,8.0657,4.1954,252.482,0.000102346,0,0,
1-ethyl-2-isopropylbenzene,0.0,4.2204,4.0223,266.983,4.64e-05,0,0,
1-ethylnaphthalene,156.22368,4.1382,3.9659,313.358,4.25e-05,0,0,
1-heptadecene,238.45186,6.9552,4.1988,250.88,9.38e-05,0,0,
1-heptene,98.18606,3.6297,3.8482,228.247,2.74e-05,0,0,
1-heptyne,96.17018,3.9033,3.6497,225.821,2.15e-05,0,0,
1-hexadecene,224.42528,6.7351,4.162,248.371,9.02e-05,0,0,
1-hexene,84.15948,3.1743,3.8341,226.151,2.22e-05,0,0,
1-hexyne,82.1436,3.5471,3.5649,221.268,1.73e-05,0,0,
1-methyl-2-n-propylbenzene,134.21816,4.1356,3.9178,267.385,3.86e-05,0,0,
1-methyl-3-n-propylbenzene,134.21816,4.1817,3.9444,263.068,4.05e-05,0,0,
1-methyl-4-n-propylbenzene,134.21816,4.1869,3.9466,263.75,3.73e-05,0,0,
1-methyl-4-vinylcyclohexene,0.0,3.64,3.9564,265.578,3.32e-05,0,0,
1-methylcyclopentene,82.1436,2.76,3.7968,258.436,1.48e-05,0,0,
1-methylindene,130.1864,3.5641,4.0043,300.763,4.15e-05,0,0,
1-methylnaphthalene,142.1971,3.6172,4.0546,328.337,4.29e-05,0,0,
1-n-butylnaphthalene,0.0,4.8436,4.0331,302.277,5.22e-05,0,0,
"1-n-hexyl-1,2,3,4-tetrahydronaphthalene",0.0,5.608,4.2476,283.243,9.23e-05,0,0,
1-n-hexylnaphthalene,0.0,5.5964,4.0687,295.8,5.97e-05,0,0,
1-nonadecene,266.50502,7.654,4.2049,252.337,9.98e-05,0,0,
1-nonene,126.23922,4.3732,3.9398,234.685,4.02e-05,0,0,
1-nonyne,124.22334,4.6484,3.7658,231.542,3.27e-05,0,0,
1-n-pentylnaphthalene,184.27684,5.1706,4.0727,299.781,6.04e-05,0,0,
1-octadecene,252.47844,7.328,4.1982,251.295,9.63e-05,0,0,
1-octene,112.21264,4.0173,3.8881,231.485,3.28e-05,0,0,
1-octyne,110.19676,4.2656,3.7172,229.202,2.75e-05,0,0,
1-pentadecene,210.3987,6.3768,4.1494,247.471,8.36e-05,0,0,
1-pentene,70.1329,2.802,3.7701,220.139,1.67e-05,0,0,
1-pentene-4-yne,0.0,2.3511,3.8347,258.192,1.69e-05,0,0,
1-pentyne,68.11702,3.2118,3.4453,214.855,5.84e-06,0,0,
1-tetradecene,196.37212,6.1167,4.1389,244.562,8.7e-05,0,0,
1-tridecene,182.34554,5.7609,4.1094,243.281,7.67e-05,0,0,
1-undecene,154.29238,5.0654,4.0342,239.748,5.76e-05,0,0,
