Clapeyron Database File
iPCSAFT Like Parameters
species,Mw,segment,sigma,epsilon,v_shift,n_H,n_e,source
di-n-hexyl ether,186.33424,6.6198,3.797,227.486,5.32e-05,0,0,
di-n-octyl ether,242.44056,8.5269,3.7625,228.26,5.75e-05,0,0,
di-n-octyl terephthalate,390.55612,9.8974,4.0259,266.31,9.62e-05,0,0,
di-n-pentyl ether,158.28108,5.71,3.7825,224.872,4.51e-05,0,0,
di-n-propyl disulfide,150.30536,4.3752,3.82,267.048,2.96e-05,0,0,
di-n-propyl ether,102.17476,3.8317,3.7098,220.622,2.39e-05,0,0,
di-n-propyl sulfide,118.24036,3.8736,3.8442,251.746,3.31e-05,0,0,
di-sec-butyl ether,130.22792,4.3347,3.8233,221.904,2.41e-05,0,0,
Ethane,30.06904,1.749,3.4727,181.207,3.24e-06,0,0,
ethyl acetate,88.10512,3.8131,3.406,217.997,2.69e-05,0,0,
ethyl chloride,64.5141,2.4274,3.4674,232.784,1.32e-05,0,0,
R161,48.059503,2.6528,3.19,182.174,1.36e-05,0,0,
ethyl isobutyrate,116.15828,4.2902,3.598,220.411,2.7e-05,0,0,
ethyl isopropyl ether,88.14818,3.3346,3.6538,214.952,1.1e-05,0,0,
ethyl isovalerate,130.18486,4.0797,3.8295,238.69,3.07e-05,0,0,
ethyl mercaptan,62.13404,2.4209,3.5172,252.718,1.17e-05,0,0,
ethyl n-hexyl ether,0.0,4.8374,3.7489,222.607,3.7e-05,0,0,
ethyl propionate,102.1317,4.035,3.5467,222.581,3.26e-05,0,0,
ethyl t-butyl sulfide,0.0,3.1822,4.0667,263.565,2.43e-05,0,0,
ethyl-3-ethoxypropionate,146.18426,4.8627,3.7225,236.693,4.09e-05,0,0,
ethylacetylene,54.09044,2.8776,3.3668,205.959,1.21e-05,0,0,
EthylBenzene,106.165,3.3177,3.8818,271.854,2.92e-05,0,0,
ethylcyclohexane,112.21264,2.8663,4.3139,285.628,3.82e-05,0,0,
ethylcyclopentane,98.18606,3.0571,3.9712,259.66,2.4e-05,0,0,
Ethylene,28.05316,1.6486,3.4136,172.666,2.56e-06,0,0,
EthyleneOxide,44.05256,2.4953,3.116,234.201,1.33e-05,0,0,
ethylidene diacetate,146.1412,5.0966,3.4679,235.203,3.39e-05,0,0,
ethynylbenzene,102.13324,2.7181,4.0078,312.067,1.96e-05,0,0,
Fluorine,37.996806,1.3949,2.8675,95.9801,2.2e-07,0,0,
fumaronitrile,78.07208,5.3438,3.2629,242.627,3.99e-05,0,0,
furan,68.07396,2.5268,3.4422,243.275,1.19e-05,0,0,
furfural,96.08406,3.824,3.2578,278.864,1.84e-05,0,0,
gamma-terpinene,136.23404,3.8904,4.0738,273.234,3.94e-05,0,0,
germanium tetrachloride,214.452,2.8318,3.8703,259.278,1.42e-05,0,0,
glutaraldehyde,100.11582,5.1859,3.3502,246.153,4.19e-05,0,0,
halothane,197.38155,3.0957,3.6004,224.938,1.3e-05,0,0,
hexaethylbenzene,246.4308,6.9809,3.9336,254.024,5.39e-05,0,0,
hexafluoroacetone,166.021919,3.7907,3.336,149.118,1.77e-05,0,0,
hexafluorobenzene,186.054619,4.0425,3.511,210.5,3.09e-05,0,0,
R116,138.011819,2.9394,3.3489,135.894,7.89e-06,0,0,
hexamethylbenzene,162.27132,4.8471,3.9299,289.229,5.63e-05,0,0,
hexamethyldisiloxane,162.37752,4.1927,4.142,208.561,3.3e-05,0,0,
hydrogen bromide,80.91194,1.551,3.179,229.096,1.54e-06,0,0,
HydrogenChloride,36.46094,1.992,2.8377,180.549,5.57e-06,0,0,
hydrogen iodide,127.91241,1.2779,3.6208,295.106,1.19e-07,0,0,
HydrogenSulfide,34.08088,1.7086,3.0555,224.326,2e-06,0,0,
indene,116.15982,3.5555,3.8482,294.202,3.78e-05,0,0,
iodobenzene,204.00837,2.8745,3.9946,337.724,2.53e-05,0,0,
IsoButane,58.1222,2.3885,3.7883,207.777,1.15e-05,0,0,
IsoButene,56.10632,2.4753,3.6556,209.401,1.2e-05,0,0,
isobutyl acetate,116.15828,4.3516,3.6066,222.303,3.46e-05,0,0,
isobutyl chloride,92.56726,2.8357,3.7999,248.752,2.22e-05,0,0,
isobutyl mercaptan,90.1872,2.9225,3.7805,259.894,1.61e-05,0,0,
isobutyl methacrylate,142.19556,4.2435,3.9023,244.841,3.88e-05,0,0,
isobutylbenzene,134.21816,3.9342,3.9205,267.537,2.14e-05,0,0,
isobutyl-tert-butyl ether,0.0,3.6785,4.0515,235.874,1.76e-05,0,0,
Isopentane,72.14878,2.7298,3.8592,220.615,1.65e-05,0,0,
isoprene,68.11702,2.1958,4.0522,256.671,1.98e-05,0,0,
isopropyl butyl ether,0.0,4.1055,3.7789,222.35,2.23e-05,0,0,
isopropyl chloride,78.54068,2.5038,3.6783,243.726,1.13e-05,0,0,
isopropyl isobutyl ether,0.0,3.9086,3.799,221.58,1.33e-05,0,0,
isopropyl mercaptan,76.16062,2.6213,3.6326,252.321,6.17e-06,0,0,
isopropylcyclopentane,112.21264,3.314,4.0576,261.337,3.11e-05,0,0,
m-cymene,134.21816,3.9051,4.0384,267.884,4.57e-05,0,0,
m-dibromobenzene,235.90396,3.2376,3.8569,338.644,1.64e-05,0,0,
m-dichlorobenzene,147.00196,3.1264,3.9435,308.879,2.98e-05,0,0,
mesityl oxide,98.143,3.4893,3.8469,258.898,4.27e-05,0,0,
mesitylene,120.19158,4.0682,3.8137,258.999,3.94e-05,0,0,
methacrylonitrile,67.0892,3.3005,3.6622,244.561,3.48e-05,0,0,
Methane,16.04246,1.0581,3.6329,145.53,1.02e-07,0,0,
methyl acetate,74.07854,3.5357,3.2397,217.413,2.1e-05,0,0,
methyl benzoate,136.14792,4.2436,3.6851,277.244,3.71e-05,0,0,
R40,50.48752,2.14,3.2354,223.511,8.54e-06,0,0,
methyl chloroacetate,108.5236,4.3516,3.226,237.841,2.79e-05,0,0,
methyl dichlorosilane,114.02602,3.1012,3.5573,218.876,1.58e-05,0,0,
methyl ethyl ketone,72.10572,3.4737,3.4749,231.486,2.89e-05,0,0,
methyl ethyl sulfide,76.16062,2.585,3.8239,261.786,2.66e-05,0,0,
R41,34.032923,2.4744,2.9346,159.08,1.34e-05,0,0,
methyl iodide,141.93899,2.1831,3.4929,280.903,1.16e-05,0,0,
methyl isobutyl ether,88.14818,3.3515,3.6668,218.011,1.69e-05,0,0,
methyl isobutyrate,102.1317,3.7914,3.5948,225.745,2.91e-05,0,0,
methyl isopropyl ether,74.1216,3.0218,3.6023,212.84,1.56e-05,0,0,
methyl isopropyl ketone,86.1323,3.4539,3.6255,239.779,2.61e-05,0,0,
methyl mercaptan,48.10746,2.1947,3.253,249.283,7.23e-06,0,0,
methyl n-butyl ether,88.14818,3.3924,3.7028,223.798,2.44e-05,0,0,
methyl n-butyl sulfide,0.0,3.47,3.8175,256.453,2.93e-05,0,0,
methyl n-butyrate,102.1317,3.9011,3.5721,228.967,3.23e-05,0,0,
methyl n-pentyl ether,0.0,3.6377,3.8142,231.906,2.85e-05,0,0,
methyl n-propyl ether,74.1216,3.1109,3.5823,215.532,1.71e-05,0,0,
methyl n-propyl sulfide,0.0,3.085,3.749,256.612,2.1e-05,0,0,
methyl pentyl sulfide,118.24036,3.8047,3.8782,255.124,3.49e-05,0,0,
methyl propionate,88.10512,3.6565,3.4397,224.702,2.62e-05,0,0,
methyl sec-butyl ether,88.14818,3.3394,3.6741,218.778,1.96e-05,0,0,
methyl silicate,152.22118,4.4331,3.6411,221.603,2.34e-05,0,0,
methyl t-butyl sulfide,0.0,2.7722,4.0584,271.255,1.88e-05,0,0,
methyl tert-pentyl ether,102.17476,3.2754,3.9351,236.482,3.06e-05,0,0,
methyl t-pentyl sulfide,0.0,3.162,4.1753,284.048,3.83e-05,0,0,
Propyne,40.06386,2.6037,3.1648,196.989,9.1e-06,0,0,
methylcyclohexane,98.18606,2.793,4.0758,271.347,2.02e-05,0,0,
methylcyclopentane,84.15948,2.7366,3.8964,254.973,1.72e-05,0,0,
methylgermanium trichloride,194.03352,2.7025,4.0055,286.593,2.1e-05,0,0,
m-ethyltoluene,120.19158,3.8013,3.9032,265.744,3.71e-05,0,0,
monochlorobenzene,112.5569,2.8999,3.8114,294.989,2.25e-05,0,0,
m-Xylene,106.165,3.4982,3.8308,265.958,3.26e-05,0,0,
"n,n-dimethylformamide",73.09378,3.4293,3.6462,282.284,3.57e-05,0,0,
naphthalene,128.17052,3.3064,3.9884,330.132,3.33e-05,0,0,
n-Butane,58.1222,2.5162,3.72,211.407,1.25e-05,0,0,
n-butyl acetate,116.15828,4.3945,3.5923,227.28,3.22e-05,0,0,
n-butyl mercaptan,90.1872,3.067,3.7682,259.576,2.37e-05,0,0,
n-butyl n-butyrate,144.21144,4.7335,3.8105,236.983,4.39e-05,0,0,
n-butyl propionate,130.18486,4.5951,3.6883,231.144,3.69e-05,0,0,
n-butylbenzene,134.21816,4.0332,3.9752,269.303,3.89e-05,0,0,
n-butylcyclohexane,140.2658,3.0901,4.5776,302.723,5.15e-05,0,0,
n-butylcyclopentane,126.23922,3.8564,4.042,257.567,3.99e-05,0,0,
n-Decane,142.28168,4.8208,4.028,236.136,5.68e-05,0,0,
n-decyl mercaptan,174.34668,5.5967,3.9344,253.226,6.8e-05,0,0,
n-decylbenzene,218.37764,6.3619,4.0735,263.382,7.39e-05,0,0,
n-decylcyclohexane,224.42528,6.2196,4.2065,264.551,8.02e-05,0,0,
n-Dodecane,170.33484,5.506,4.0966,240.655,7.29e-05,0,0,
n-dodecylbenzene,246.4308,6.8116,4.1762,267.456,8.71e-05,0,0,
n-eicosane,282.54748,8.2948,4.2084,249.693,0.000121343,0,0,
Neopentane,72.14878,2.4816,3.9854,217.112,1.31e-05,0,0,
n-heneicosane,296.57406,8.5998,4.2204,250.647,0.000129232,0,0,
n-heptadecane,240.46774,7.1192,4.2281,249.246,0.000112802,0,0,
n-heptadecylbenzene,316.5637,8.4039,4.2268,267.66,0.000108716,0,0,
n-Heptane,100.20194,3.6792,3.9177,228.209,3.42e-05,0,0,
n-heptyl mercaptan,132.26694,4.2598,3.917,257.68,4.53e-05,0,0,
n-heptylbenzene,176.2979,5.1036,4.0875,267.715,6.34e-05,0,0,
n-hexadecane,226.44116,6.6778,4.2573,249.329,0.000110719,0,0,
n-hexadecylbenzene,302.53712,8.2314,4.1842,266.472,9.48e-05,0,0,
n-Hexane,86.17536,3.3004,3.8648,224.08,2.7e-05,0,0,
n-hexyl acetate,144.21144,5.2048,3.6728,230.21,3.96e-05,0,0,
n-hexyl mercaptan,118.24036,3.8265,3.8935,259.178,3.86e-05,0,0,
n-hexylbenzene,162.27132,4.7128,4.0666,268.939,5.72e-05,0,0,
nicotinonitrile,104.10936,4.2511,3.5342,281.062,4.03e-05,0,0,
Nitrogen,28.0134,1.2751,3.2594,87.9628,-3.68e-07,0,0,
NitrousOxide,44.0128,2.0631,2.889,169.221,4.1e-06,0,0,
n-methylpyrrole,81.11578,2.6137,3.837,298.097,1.9e-05,0,0,
n-nitrosodimethylamine,74.08184,3.0858,3.6849,300.18,3.32e-05,0,0,
n-nonadecane,268.5209,7.8236,4.2398,250.213,0.00012472,0,0,
n-Nonane,128.2551,4.4271,4.0017,234.238,4.93e-05,0,0,
n-nonyl acetate,186.29118,6.5616,3.7024,229.111,4.14e-05,0,0,
n-nonyl mercaptan,160.3201,5.0944,3.9494,255.496,5.72e-05,0,0,
n-octadecane,254.49432,7.4736,4.2357,249.618,0.000119393,0,0,
n-octadecylbenzene,330.59028,8.6735,4.2401,268.118,0.000116851,0,0,
n-Octane,114.22852,4.0762,3.9583,230.949,4.22e-05,0,0,
n-octyl mercaptan,146.29352,4.4776,4.0103,261.81,5.37e-05,0,0,
n-octylbenzene,190.32448,5.4293,4.1176,267.831,7.03e-05,0,0,
n-pentadecane,212.41458,6.4171,4.2206,247.01,0.000103671,0,0,
n-pentadecylbenzene,288.51054,7.8621,4.1893,266.702,9.45e-05,0,0,
n-Pentane,72.14878,2.9127,3.8005,218.694,1.95e-05,0,0,
n-pentyl acetate,130.18486,4.4617,3.7555,235.665,4.08e-05,0,0,
n-pentyl mercaptan,104.21378,3.4528,3.8352,259.137,2.89e-05,0,0,
n-propyl acetate,102.1317,3.9915,3.5702,225.022,3.37e-05,0,0,
n-propyl isobutyrate,130.18486,4.7519,3.5915,222.6,2.48e-05,0,0,
n-propyl mercaptan,76.16062,2.76,3.6427,255.862,1.58e-05,0,0,
n-propyl n-butyrate,0.0,4.347,3.8036,235.435,4.27e-05,0,0,
n-propyl propionate,116.15828,4.469,3.5663,223.239,3.26e-05,0,0,
n-propylbenzene,120.19158,3.6392,3.9492,270.843,3.28e-05,0,0,
n-propylcyclohexane,126.23922,2.975,4.4423,294.86,4.17e-05,0,0,
n-propylcyclopentane,112.21264,3.4994,3.9926,256.869,3.22e-05,0,0,
n-tetracosane,338.6538,9.7333,4.2045,251.398,0.000136615,0,0,
n-tetradecane,198.388,6.0562,4.2098,246.012,9.71e-05,0,0,
n-tetradecylbenzene,274.48396,7.4873,4.1917,267.196,9.3e-05,0,0,
n-tricosane,324.62722,9.3369,4.2146,251.347,0.000135565,0,0,
n-tridecane,184.36142,5.8439,4.1408,242.269,8.41e-05,0,0,
n-tridecylbenzene,260.45738,7.2055,4.1663,266.64,8.8e-05,0,0,
n-Undecane,156.30826,5.1293,4.08,239.194,6.6e-05,0,0,
n-undecylbenzene,232.40422,6.7731,4.0625,262.396,7.36e-05,0,0,
octafluoro-2-butene,0.0,3.2292,3.8991,174.631,4.11e-05,0,0,
RC318,200.030026,3.7289,3.4763,163.205,1.5e-05,0,0,
o-diethylbenzene,134.21816,3.601,4.169,284.613,5.01e-05,0,0,
Oxygen,31.9988,1.1492,3.1797,113.46,-1.4e-07,0,0,
o-Xylene,106.165,3.3698,3.8437,275.865,2.92e-05,0,0,
ozone,47.9982,2.6065,2.7483,127.707,1.06e-05,0,0,
p-cymene,134.21816,3.8715,4.0627,270.02,4.56e-05,0,0,
p-dichlorobenzene,147.00196,3.1705,3.9251,307.41,3.1e-05,0,0,
p-diethylbenzene,134.21816,4.102,3.9848,266.54,4.63e-05,0,0,
R125,120.021356,3.3317,3.1715,149.142,1.32e-05,0,0,
pentamethylbenzene,148.24474,4.5895,3.8993,279.683,4.56e-05,0,0,
perchloryl fluoride,102.449603,2.3047,3.2568,190.897,4.25e-06,0,0,
p-ethyltoluene,120.19158,3.8144,3.8719,266.661,2.85e-05,0,0,
phenanthrene,178.2292,4.6463,4.1189,336.496,6.98e-05,0,0,
phenyl mercaptan,110.17684,3.0003,3.8134,316.691,2.17e-05,0,0,
phosgene,98.9161,2.525,3.324,225.902,6.13e-06,0,0,
phosphorus trichloride,137.332762,2.7805,3.4511,267.64,-1.47e-06,0,0,
phosphorus trifluoride,87.968972,2.608,3.0272,132.614,4.44e-06,0,0,
p-methylstyrene,118.1757,3.4279,4.027,289.023,3.41e-05,0,0,
n-Propane,44.09562,2.1498,3.6112,198.141,7.42e-06,0,0,
propenyl cyclohexene,0.0,3.6201,3.9855,270.409,3.43e-05,0,0,
propionic anhydride,130.1418,5.3711,3.3425,229.69,2.79e-05,0,0,
propyl chloride,78.54068,2.6308,3.6812,245.156,1.96e-05,0,0,
Propylene,42.07974,2.0379,3.5654,200.642,6.34e-06,0,0,
propylene glycol monomethyl ether acetate,132.15768,4.7271,3.5675,230.128,3.56e-05,0,0,
p-terphenyl,230.30376,6.0527,3.7173,322.393,9.03e-06,0,0,
p-tert-butyl ethylbenzene,162.27132,4.3569,4.1652,271.02,5.7e-05,0,0,
p-tert-butylstyrene,160.25544,4.2519,4.1973,283.442,6.3e-05,0,0,
p-Xylene,106.165,3.4617,3.8549,266.746,3.32e-05,0,0,
quinone,108.09476,4.8385,2.9422,260.77,3.05e-06,0,0,
sec-butyl acetate,116.15828,4.0431,3.647,228.522,2.28e-05,0,0,
sec-butyl chloride,92.56726,3.2175,3.6144,232.274,1.8e-05,0,0,
sec-butyl mercaptan,90.1872,2.9056,3.777,258.219,1.44e-05,0,0,
sec-butylbenzene,134.21816,3.1277,4.3475,300.06,4.14e-05,0,0,
sec-butyl-tert-butyl ether,0.0,3.6751,4.0555,236.424,2.29e-05,0,0,
styrene,104.14912,3.2678,3.862,281.925,2.98e-05,0,0,
SulfurDioxide,64.0638,2.8652,2.7977,202.011,8.23e-06,0,0,
terpinolene,136.23404,3.8903,4.0764,275.717,4.49e-05,0,0,
tert-butyl mercaptan,90.1872,2.4489,3.952,266.897,4.15e-06,0,0,
tert-butylbenzene,134.21816,3.0362,4.3744,301.813,3.54e-05,0,0,
tert-dodecyl mercaptan,0.0,5.7808,4.0521,248.853,6.5e-05,0,0,
tert-nonyl mercaptan,160.3201,4.491,4.0887,258.275,6.39e-05,0,0,
tert-octyl mercaptan,146.29352,3.291,4.3716,277.119,4.03e-05,0,0,
tetrachloroethylene,165.8334,2.6209,3.9326,302.607,2.1e-05,0,0,
tetrachlorosilane,169.8975,2.7598,3.8909,241.755,1.75e-05,0,0,
tetraethyl lead,323.4444,4.7308,4.1285,252.038,7.15e-05,0,0,
tetraethyl silane,144.3299,4.0815,4.0909,245.976,3.17e-05,0,0,
tetrafluoroethylene,100.015013,2.719,3.2051,147.106,1e-05,0,0,
tetrahydrofuran,72.10572,2.7103,3.537,259.662,1.46e-05,0,0,
tetrahydrothiophene,88.17132,2.5115,3.8351,314.532,2.22e-05,0,0,
tetramethylethylenediamine,116.20464,4.0118,3.8213,232.464,2.92e-05,0,0,
tetramethylsilane,88.22358,2.6998,4.0883,216.895,1.9e-05,0,0,
thiophene,84.13956,2.4917,3.6161,289.41,1.2e-05,0,0,
tin(iv) chloride,260.522,2.9888,3.9271,272.491,2.38e-05,0,0,
Toluene,92.13842,3.0098,3.7977,271.622,2.33e-05,0,0,
"trans,trans-2,4-hexadiene",82.1436,3.1507,3.8662,240.814,3.42e-05,0,0,
"trans-1,2-dichloroethylene",0.0,2.6952,3.4225,248.918,9.08e-06,0,0,
"trans-1,2-dimethylcyclohexane",112.21264,2.807,4.3641,282.127,3.91e-05,0,0,
"trans-1,3-dimethylcyclohexane",112.21264,2.7729,4.3875,284.546,3.94e-05,0,0,
"trans-1,3-dimethylcyclopentane",98.18606,3.056,3.9158,252.177,1.29e-05,0,0,
"trans-1,3-pentadiene",68.11702,1.8753,4.3653,286.539,2.46e-05,0,0,
"trans-1,4-dimethylcyclohexane",112.21264,2.9383,4.2726,272.593,3.23e-05,0,0,
trans-1-propenylbenzene,118.1757,3.5991,3.9649,285.525,4.18e-05,0,0,
trans-2-Butene,56.10632,2.6504,3.5701,208.125,1.23e-05,0,0,
trans-2-decene,140.2658,4.737,4.0149,238.075,5.69e-05,0,0,
trans-2-heptene,0.0,3.5781,3.914,231.989,3.48e-05,0,0,
trans-2-hexene,84.15948,3.2017,3.8536,227.924,2.7e-05,0,0,
trans-2-octene,112.21264,3.9528,3.9599,234.843,4.24e-05,0,0,
trans-2-pentene,70.1329,2.8884,3.7202,221.602,1.61e-05,0,0,
trans-3-heptene,98.18606,3.5578,3.9148,231.191,3.3e-05,0,0,
trans-3-hexene,84.15948,3.1761,3.862,228.339,2.52e-05,0,0,
trans-3-octene,112.21264,3.6349,4.0972,243.654,4.34e-05,0,0,
trans-4-octene,112.21264,3.5992,4.1099,244.185,4.3e-05,0,0,
trans-decahydronaphthalene,138.24992,3.285,4.2028,303.868,2.51e-05,0,0,
triallylamine,137.2221,4.8721,3.7574,225.49,3.42e-05,0,0,
tribromomethane,252.73064,2.179,3.9359,370.475,5.86e-06,0,0,
trichloroethylene,131.38834,2.6429,3.7029,277.632,1.49e-05,0,0,
trichlorofluoromethane,137.368103,2.4333,3.7056,237.998,1.01e-05,0,0,
triethylamine,101.19,3.4174,3.8772,232.88,2.23e-05,0,0,
trifluoromethane,70.01385,3.0109,2.8683,137.23,1.24e-05,0,0,
trimethylamine,59.11026,2.563,3.6342,213.63,1.32e-05,0,0,
trimethylchlorosilane,108.64206,3.0574,3.8743,226.939,1.74e-05,0,0,
trimethylene sulfide,74.14474,2.3091,3.7236,311.663,2.2e-05,0,0,
triphenylmethane,244.33034,5.4822,4.2203,316.804,8.6e-05,0,0,
undecyl mercaptan,188.37326,6.021,3.9377,252.496,7.22e-05,0,0,
vinyl acetate,86.08924,3.6937,3.415,218.966,3.07e-05,0,0,
vinylacetylene,52.07456,1.8047,3.9246,265.221,1.41e-05,0,0,
vinylcyclohexane,110.19676,3.2139,4.019,267.556,2.62e-05,0,0,
vinylethylene carbonate,114.09934,4.6674,3.3227,293.475,3.68e-05,0,0,
