Clapeyron Database File,,,,,,,
heretosegmented GC-PCSAFT Like Parameters,,,,,,,
species,Mw,segment,sigma,epsilon,dipole,n_H,n_e,source
CH3,15.0345,0.77247,3.6937,181.49,0.0,0,0,10.1007/s10765-023-03290-3
CH2,14.02658,0.7912,3.0207,157.23,0.0,0,0,10.1007/s10765-023-03290-3
>CH~|~CH,13.01854,0.52235,0.99912,269.84,0.0,0,0,10.1007/s10765-023-03290-3
>C<~|~C,12.0107,-0.70131,0.5435,0,0.0,0,0,10.1007/s10765-023-03290-3
=CH2~|~CH2=,14.02658,0.70581,3.163,171.34,0.0,0,0,10.1007/s10765-023-03290-3
=CH~|~CH=,13.01854,0.90182,2.8864,158.9,0.0,0,0,10.1007/s10765-023-03290-3
=C<~|~C=,12.0107,0.98505,2.245,146.86,0.0,0,0,10.1007/s10765-023-03290-3
C≡CH~|~CH#C,25.02924,1.1615,3.3187,255.13,0.0,0,0,10.1007/s10765-023-03290-3
CH2_hex~|~cCH2_hex,14.02658,0.8793,2.9995,157.93,0.0,0,0,10.1007/s10765-023-03290-3
CH_hex~|~cCH_hex,13.01854,0.42115,1.3078,131.79,0.0,0,0,10.1007/s10765-023-03290-3
CH2_pent~|~cCH2_pent,14.02658,0.90057,3.0437,158.34,0.0,0,0,10.1007/s10765-023-03290-3
CH_pent~|~cCH_pent,13.01854,0.69343,1.2894,140.69,0.0,0,0,10.1007/s10765-023-03290-3
CH_arom~|~aCH,13.01854,0.88259,2.9475,156.51,0.0,0,0,10.1007/s10765-023-03290-3
C_arom~|~aC,12.0107,0.77531,1.6719,178.81,0.0,0,0,10.1007/s10765-023-03290-3
CH=O,29.01754,1.1889,3.2948,316.91,2.4126,0,1,10.1007/s10765-023-03290-3
>C=O~|~C=O,28.0097,1.1889,3.1026,280.43,3.4167,0,1,10.1007/s10765-023-03290-3
OCH3,31.03322,1.1907,2.7795,284.91,0,0,1,10.1007/s10765-023-03290-3
OCH2,30.02538,1.1817,3.009,203.11,2.6945,0,1,10.1007/s10765-023-03290-3
HCOO,45.01654,1.2789,3.373,307.44,2.6808,0,2,10.1007/s10765-023-03290-3
COO,44.0087,1.2869,3.0643,273.9,3.3428,0,2,10.1007/s10765-023-03290-3
OH,17.00734,1.0231,2.7702,334.29,0.0,1,1,10.1007/s10765-023-03290-3
NH2,16.02238,0.82284,3.1129,309.93,0.0,1,1,10.1007/s10765-023-03290-3
H2O,18.011,2.36948,2.15072,230.71557,0.0,1,1,
