Clapeyron Database File,
heretosegmented GC-PCSAFT bond data [csvtype = intragroup,grouptype = gcPCPSAFT]
species,intragroups
methanol,"[(""CH3"", ""OH"") => 1]"
ethanol,"[(""CH2"", ""CH3"") => 1, (""CH2"", ""OH"") => 1]"
propanol~|~1-propanol~|~propan-1-ol,"[(""CH2"", ""CH3"") => 1, (""CH2"", ""CH2"") => 1, (""CH2"", ""OH"") => 1]"
butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,"[(""CH2"", ""CH3"") => 1, (""CH2"", ""CH2"") => 2, (""CH2"", ""OH"") => 1]"
1-pentanol~|~pentan-1-ol,"[(""CH2"", ""CH3"") => 1, (""CH2"", ""CH2"") => 3, (""CH2"", ""OH"") => 1]"
1-hexanol~|~hexan-1-ol,"[(""CH2"", ""CH3"") => 1, (""CH2"", ""CH2"") => 4, (""CH2"", ""OH"") => 1]"
1-heptanol~|~heptan-1-ol,"[(""CH2"", ""CH3"") => 1, (""CH2"", ""CH2"") => 5, (""CH2"", ""OH"") => 1]"
1-octanol~|~octan-1-ol,"[(""CH2"", ""CH3"") => 1, (""CH2"", ""CH2"") => 6, (""CH2"", ""OH"") => 1]"
1-nonanol~|~nonan-1-ol,"[(""CH2"", ""CH3"") => 1, (""CH2"", ""CH2"") => 7, (""CH2"", ""OH"") => 1]"
2-propanol~|~propan-2-ol~|~isopropanol,"[("">CH"", ""CH3"") => 2, ("">CH"", ""OH"") => 1]"
tert-pentanol~|~2-methyl-2-butanol~|~2-methylbutan-2-ol,"[(""CH2"", ""CH3"") => 1, ("">C<"", ""CH2"") => 1, ("">C<"", ""CH3"") => 2, ("">C<"", ""OH"") => 1]"
methylamine~|~methanamine,"[(""CH3"", ""NH2"") => 1]"
ethylamine~|~ethanamine,"[(""CH2"", ""CH3"") => 1, (""CH2"", ""NH2"") => 1]"
propylamine~|~n-propylamine~|~1-propylamine~|~propan-1-amine,"[(""CH2"", ""CH3"") => 1, (""CH2"", ""CH2"") => 1, (""CH2"", ""NH2"") => 1]"
2-propylamine~|~2-propanamine~|~isopropylamine,"[("">CH"", ""CH3"") => 2, ("">CH"", ""NH2"") => 1]"
aniline,"[(""CH_arom"", ""CH_arom"") => 4, (""CH_arom"", ""C_arom"") => 2, (""C_arom"", ""NH2"") => 1]"
acetic acid,"[(""CH3"", ""HCOO"") => 1]"
ethane,"[(""CH3"", ""CH3"") => 1]"
propane~|~n-propane,"[(""CH2"", ""CH3"") => 2]"
butane~|~n-butane,"[(""CH2"", ""CH3"") => 2, (""CH2"", ""CH2"") => 1]"
pentane~|~n-pentane,"[(""CH2"", ""CH3"") => 2, (""CH2"", ""CH2"") => 2]"
hexane~|~n-hexane,"[(""CH2"", ""CH3"") => 2, (""CH2"", ""CH2"") => 3]"
heptane~|~n-heptane,"[(""CH2"", ""CH3"") => 2, (""CH2"", ""CH2"") => 4]"
octane~|~n-octane,"[(""CH2"", ""CH3"") => 2, (""CH2"", ""CH2"") => 5]"
nonane~|~n-nonane,"[(""CH2"", ""CH3"") => 2, (""CH2"", ""CH2"") => 6]"
decane~|~n-decane,"[(""CH2"", ""CH3"") => 2, (""CH2"", ""CH2"") => 7]"
undecane~|~n-undecane,"[(""CH2"", ""CH3"") => 2, (""CH2"", ""CH2"") => 8]"
