Clapeyron Database File,,,,,,,,
PCSAFT Assoc Parameters,,,,,,,,
species1,site1,species2,site2,epsilon_assoc,bondvol
CH=O,H,CH=O,e,2280.0366222356424,0.009583
>C=O~|~C=O,H,>C=O~|~C=O,e,2054.866269673726,0.009583
OCH3,H,OCH3,e,1317.5736596522224,0.009583
OCH2,H,OCH2,e,1317.5736596522224,0.009583
HCOO,H,HCOO,e,790.1460808205942,0.009583
COO,H,COO,e,1417.55026169603,0.009583
OH,H,OH,e,2575.9,0.009583
NH2,H,NH2,e,1471.5,0.005769
