Clapeyron Database File,,,,,
ogUNIFAC Unlike Parameters,,,,,
species1,SMILES1,species2,SMILES2,A,source
CH3~|~CH2~|~CH~|~C,,BR,,479.5,
CH3~|~CH2~|~CH~|~C,,CH=-C~|~C=-C,,298.9,
CH3~|~CH2~|~CH~|~C,,DMSO,,526.5,
CH3~|~CH2~|~CH~|~C,,ACRY,,689,
CH3~|~CH2~|~CH~|~C,,CL-(C=C),,-4.189,
CH3~|~CH2~|~CH~|~C,,ACF,,125.8,
CH3~|~CH2~|~CH~|~C,,DMF~|~HCON(..,,485.3,
CH3~|~CH2~|~CH~|~C,,CF3~|~CF2~|~CF,,-2.859,
CH3~|~CH2~|~CH~|~C,,COO,,387.1,
CH3~|~CH2~|~CH~|~C,,SIH3~|~SIH2~|~SIH~|~SI,,-450.4,
CH3~|~CH2~|~CH~|~C,,SIH2O~|~SIHO~|~SIO,,252.7,
CH3~|~CH2~|~CH~|~C,,NMP,,220.3,
CH3~|~CH2~|~CH~|~C,,CCL3F~|~CCL2F~|~HCCL2F~|~HCCLF~|~CCLF2~|~HCCLF2~|~CCLF3~|~CCL2F2,,-5.869,
CH3~|~CH2~|~CH~|~C,,AMH2~|~AMHCH3~|~AMHCH2~|~AM(CH3)2~|~AMCH3CH2~|~AM(CH2)2,,390.9,
CH3~|~CH2~|~CH~|~C,,C2H5O2~|~C2H4O2,,553.3,
CH3~|~CH2~|~CH~|~C,,CH3S~|~CH2S~|~CHS,,187,
CH3~|~CH2~|~CH~|~C,,MORPH,,216.1,
CH3~|~CH2~|~CH~|~C,,C4H4S~|~C4H3S~|~C4H2S,,92.99,
CH3~|~CH2~|~CH~|~C,,NCO,,699.13,
CH3~|~CH2~|~CH~|~C,,(CH2)2SU~|~CH2CHSU,,808.59,
CH3~|~CH2~|~CH~|~C,,IMIDAZOL,,-1243,
CH3~|~CH2~|~CH~|~C,,BTI,,637.65,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,ACH~|~AC,,38.81,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,ACCH3~|~ACCH2~|~ACCH,,74.15,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,OH,,524.1,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,CH3OH,,787.6,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,H2O,,270.6,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,ACOH,,526.1,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,CH3CO~|~CH2CO,,182.6,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,CHO,,448.75,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,CH3COO~|~CH2COO,,37.85,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,HCOO,,333.5,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,CH3O~|~CH2O~|~CHO~|~THF,,214.5,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,CH3NH2~|~CH2NH2~|~CHNH2,,240.9,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,CH3NH~|~CH2NH~|~CHNH,,163.9,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,CH3N~|~CH2N,,61.11,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,ACNH2,,749.3,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,C5H5N~|~C5H4N~|~C5H3N,,280.5,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,CH3CN~|~CH2CN,,336.9,
