Clapeyron Database File,,,,,
ogUNIFAC Unlike Parameters,,,,,
species1,SMILES1,species2,SMILES2,A,source
CH3O~|~CH2O~|~CHO~|~THF,,CHCL3~|~CCL3,,-154.3,
CH3O~|~CH2O~|~CHO~|~THF,,CCL4,,47.67,
CH3O~|~CH2O~|~CHO~|~THF,,ACCL,,134.8,
CH3O~|~CH2O~|~CHO~|~THF,,CH3NO2~|~CH2NO2~|~CHNO2,,95.18,
CH3O~|~CH2O~|~CHO~|~THF,,ACNO2,,155.11,
CH3O~|~CH2O~|~CHO~|~THF,,CS2,,140.896,
CH3O~|~CH2O~|~CHO~|~THF,,CH3SH~|~CH2SH,,-8.538,
CH3O~|~CH2O~|~CHO~|~THF,,FURFURAL,,170.1,
CH3O~|~CH2O~|~CHO~|~THF,,DOH,,-20.11,
CH3O~|~CH2O~|~CHO~|~THF,,I,,-149.5,
CH3O~|~CH2O~|~CHO~|~THF,,BR,,-202.3,
CH3O~|~CH2O~|~CHO~|~THF,,CH=-C~|~C=-C,,-156.57,
CH3O~|~CH2O~|~CHO~|~THF,,DMSO,,128.8,
CH3O~|~CH2O~|~CHO~|~THF,,CL-(C=C),,240.2,
CH3O~|~CH2O~|~CHO~|~THF,,ACF,,-273.95,
CH3O~|~CH2O~|~CHO~|~THF,,DMF~|~HCON(..,,254.8,
CH3O~|~CH2O~|~CHO~|~THF,,CF3~|~CF2~|~CF,,-172.51,
CH3O~|~CH2O~|~CHO~|~THF,,COO,,417,
CH3O~|~CH2O~|~CHO~|~THF,,SIH3~|~SIH2~|~SIH~|~SI,,1338,
CH3NH2~|~CH2NH2~|~CHNH2,,CH3NH~|~CH2NH~|~CHNH,,-107.2,
CH3NH2~|~CH2NH2~|~CHNH2,,CH3N~|~CH2N,,-41.11,
CH3NH2~|~CH2NH2~|~CHNH2,,ACNH2,,-200.7,
CH3NH2~|~CH2NH2~|~CHNH2,,CH3CN~|~CH2CN,,358.9,
CH3NH2~|~CH2NH2~|~CHNH2,,CH2CL~|~CHCL~|~CCL,,-82.92,
CH3NH2~|~CH2NH2~|~CHNH2,,CCL4,,-99.81,
CH3NH2~|~CH2NH2~|~CHNH2,,ACCL,,30.05,
CH3NH2~|~CH2NH2~|~CHNH2,,CH3SH~|~CH2SH,,-70.14,
CH3NH2~|~CH2NH2~|~CHNH2,,DMSO,,874.19,
CH3NH2~|~CH2NH2~|~CHNH2,,DMF~|~HCON(..,,-164,
CH3NH2~|~CH2NH2~|~CHNH2,,SIH3~|~SIH2~|~SIH~|~SI,,-664.4,
CH3NH2~|~CH2NH2~|~CHNH2,,SIH2O~|~SIHO~|~SIO,,275.9,
CH3NH~|~CH2NH~|~CHNH,,CH3N~|~CH2N,,-189.2,
CH3NH~|~CH2NH~|~CHNH,,ACNH2,,138.54,
CH3NH~|~CH2NH~|~CHNH,,C5H5N~|~C5H4N~|~C5H3N,,431.49,
CH3NH~|~CH2NH~|~CHNH,,CH3CN~|~CH2CN,,147.1,
CH3NH~|~CH2NH~|~CHNH,,CCL4,,71.23,
CH3NH~|~CH2NH~|~CHNH,,ACCL,,-18.93,
CH3NH~|~CH2NH~|~CHNH,,DOH,,939.07,
CH3NH~|~CH2NH~|~CHNH,,ACF,,570.9,
CH3NH~|~CH2NH~|~CHNH,,DMF~|~HCON(..,,-255.22,
CH3NH~|~CH2NH~|~CHNH,,COO,,-38.77,
CH3NH~|~CH2NH~|~CHNH,,SIH3~|~SIH2~|~SIH~|~SI,,448.1,
CH3NH~|~CH2NH~|~CHNH,,SIH2O~|~SIHO~|~SIO,,-1327,
CH3N~|~CH2N,,ACNH2,,287.43,
CH3N~|~CH2N,,CH3CN~|~CH2CN,,1255.1,
CH3N~|~CH2N,,CH2CL~|~CHCL~|~CCL,,-182.91,
CH3N~|~CH2N,,CH2CL2~|~CHCL2~|~CCL2,,-73.85,
CH3N~|~CH2N,,CHCL3~|~CCL3,,-352.9,
CH3N~|~CH2N,,CCL4,,-262,
CH3N~|~CH2N,,ACCL,,-181.9,
CH3N~|~CH2N,,DMSO,,243.1,
CH3N~|~CH2N,,ACF,,-196.312,
CH3N~|~CH2N,,DMF~|~HCON(..,,22.05,
ACNH2,,C5H5N~|~C5H4N~|~C5H3N,,89.7,
ACNH2,,CH3CN~|~CH2CN,,-281.6,
ACNH2,,COOH~|~HCOOH,,-396,
ACNH2,,CH2CL~|~CHCL~|~CCL,,287,
ACNH2,,CH2CL2~|~CHCL2~|~CCL2,,-111,
ACNH2,,CCL4,,882,
ACNH2,,ACCL,,617.5,
ACNH2,,ACNO2,,-139.3,
ACNH2,,DOH,,0.1004,
ACNH2,,DMF~|~HCON(..,,-334.4,
ACNH2,,COO,,-89.42,
C5H5N~|~C5H4N~|~C5H3N,,CH3CN~|~CH2CN,,-169.67,
C5H5N~|~C5H4N~|~C5H3N,,COOH~|~HCOOH,,-153.7,
C5H5N~|~C5H4N~|~C5H3N,,CH2CL2~|~CHCL2~|~CCL2,,-351.6,
C5H5N~|~C5H4N~|~C5H3N,,CHCL3~|~CCL3,,-114.73,
C5H5N~|~C5H4N~|~C5H3N,,CCL4,,-205.3,
C5H5N~|~C5H4N~|~C5H3N,,ACCL,,-2.17,
C5H5N~|~C5H4N~|~C5H3N,,ACNO2,,2845,
C5H5N~|~C5H4N~|~C5H3N,,BR,,-60.78,
C5H5N~|~C5H4N~|~C5H3N,,CL-(C=C),,160.7,
C5H5N~|~C5H4N~|~C5H3N,,ACF,,-158.8,
C5H5N~|~C5H4N~|~C5H3N,,C4H4S~|~C4H3S~|~C4H2S,,-136.6,
CH3CN~|~CH2CN,,COOH~|~HCOOH,,205.27,
CH3CN~|~CH2CN,,CH2CL~|~CHCL~|~CCL,,4.933,
CH3CN~|~CH2CN,,CH2CL2~|~CHCL2~|~CCL2,,-152.7,
CH3CN~|~CH2CN,,CHCL3~|~CCL3,,-15.62,
CH3CN~|~CH2CN,,CCL4,,-54.86,
CH3CN~|~CH2CN,,ACCL,,-4.624,
CH3CN~|~CH2CN,,CH3NO2~|~CH2NO2~|~CHNO2,,-0.515,
CH3CN~|~CH2CN,,CS2,,230.852,
CH3CN~|~CH2CN,,CH3SH~|~CH2SH,,0.4604,
CH3CN~|~CH2CN,,DOH,,177.5,
CH3CN~|~CH2CN,,BR,,-62.17,
CH3CN~|~CH2CN,,CH=-C~|~C=-C,,-203.02,
CH3CN~|~CH2CN,,ACRY,,81.57,
CH3CN~|~CH2CN,,CL-(C=C),,-55.77,
CH3CN~|~CH2CN,,DMF~|~HCON(..,,-151.5,
CH3CN~|~CH2CN,,COO,,120.3,
CH3CN~|~CH2CN,,C2H5O2~|~C2H4O2,,16.23,
COOH~|~HCOOH,,CH2CL~|~CHCL~|~CCL,,13.41,
COOH~|~HCOOH,,CH2CL2~|~CHCL2~|~CCL2,,-44.7,
COOH~|~HCOOH,,CHCL3~|~CCL3,,39.63,
COOH~|~HCOOH,,CCL4,,183.4,
COOH~|~HCOOH,,ACCL,,-79.08,
COOH~|~HCOOH,,FURFURAL,,-208.9,
COOH~|~HCOOH,,I,,228.4,
COOH~|~HCOOH,,BR,,-95,
COOH~|~HCOOH,,DMSO,,-463.6,
COOH~|~HCOOH,,CL-(C=C),,-11.16,
COOH~|~HCOOH,,DMF~|~HCON(..,,-228,
COOH~|~HCOOH,,COO,,-337,
COOH~|~HCOOH,,AMH2~|~AMHCH3~|~AMHCH2~|~AM(CH3)2~|~AMCH3CH2~|~AM(CH2)2,,-322.3,
CH2CL~|~CHCL~|~CCL,,CH2CL2~|~CHCL2~|~CCL2,,108.31,
CH2CL~|~CHCL~|~CCL,,CHCL3~|~CCL3,,249.15,
CH2CL~|~CHCL~|~CCL,,CCL4,,62.42,
CH2CL~|~CHCL~|~CCL,,ACCL,,153,
CH2CL~|~CHCL~|~CCL,,CH3NO2~|~CH2NO2~|~CHNO2,,32.73,
CH2CL~|~CHCL~|~CCL,,ACNO2,,86.2,
CH2CL~|~CHCL~|~CCL,,CS2,,450.088,
CH2CL~|~CHCL~|~CCL,,CH3SH~|~CH2SH,,59.02,
CH2CL~|~CHCL~|~CCL,,FURFURAL,,65.56,
CH2CL~|~CHCL~|~CCL,,I,,2.22,
CH2CL~|~CHCL~|~CCL,,BR,,344.4,
CH2CL~|~CHCL~|~CCL,,CL-(C=C),,-168.2,
CH2CL~|~CHCL~|~CCL,,DMF~|~HCON(..,,6.57,
CH2CL~|~CHCL~|~CCL,,COO,,63.67,
CH2CL2~|~CHCL2~|~CCL2,,CHCL3~|~CCL3,,0,
CH2CL2~|~CHCL2~|~CCL2,,CCL4,,56.33,
CH2CL2~|~CHCL2~|~CCL2,,ACCL,,223.1,
CH2CL2~|~CHCL2~|~CCL2,,CH3NO2~|~CH2NO2~|~CHNO2,,108.9,
CH2CL2~|~CHCL2~|~CCL2,,FURFURAL,,149.56,
CH2CL2~|~CHCL2~|~CCL2,,I,,177.6,
CH2CL2~|~CHCL2~|~CCL2,,BR,,315.9,
CH2CL2~|~CHCL2~|~CCL2,,DMSO,,215,
CH2CL2~|~CHCL2~|~CCL2,,CL-(C=C),,-91.8,
CH2CL2~|~CHCL2~|~CCL2,,DMF~|~HCON(..,,-160.28,
CH2CL2~|~CHCL2~|~CCL2,,COO,,-96.87,
CH2CL2~|~CHCL2~|~CCL2,,C2H5O2~|~C2H4O2,,361.1,
CHCL3~|~CCL3,,CCL4,,-30.1,
CHCL3~|~CCL3,,ACCL,,192.1,
CHCL3~|~CCL3,,CS2,,116.612,
CHCL3~|~CCL3,,FURFURAL,,-64.38,
CHCL3~|~CCL3,,I,,86.4,
CHCL3~|~CCL3,,BR,,168.8,
CHCL3~|~CCL3,,DMSO,,363.7,
CHCL3~|~CCL3,,CL-(C=C),,111.2,
CHCL3~|~CCL3,,COO,,255.8,
CHCL3~|~CCL3,,NMP,,-35.68,
CHCL3~|~CCL3,,CH3S~|~CH2S~|~CHS,,565.9,
CCL4,,ACCL,,-75.97,
CCL4,,CH3NO2~|~CH2NO2~|~CHNO2,,490.88,
CCL4,,ACNO2,,534.7,
CCL4,,CS2,,132.2,
CCL4,,FURFURAL,,546.68,
CCL4,,I,,247.8,
CCL4,,BR,,146.6,
CCL4,,DMSO,,337.7,
CCL4,,ACRY,,369.49,
CCL4,,CL-(C=C),,187.1,
CCL4,,ACF,,215.2,
CCL4,,DMF~|~HCON(..,,498.6,
CCL4,,COO,,256.5,
CCL4,,SIH2O~|~SIHO~|~SIO,,233.1,
CCL4,,C2H5O2~|~C2H4O2,,423.1,
CCL4,,CH3S~|~CH2S~|~CHS,,63.95,
CCL4,,C4H4S~|~C4H3S~|~C4H2S,,108.5,
CCL4,,(CH2)2SU~|~CH2CHSU,,585.19,
ACCL,,CH3NO2~|~CH2NO2~|~CHNO2,,132.7,
ACCL,,ACNO2,,2213,
ACCL,,BR,,593.4,
ACCL,,DMSO,,1337.37,
ACCL,,DMF~|~HCON(..,,5143.1401,
ACCL,,CF3~|~CF2~|~CF,,309.58,
ACCL,,COO,,-71.18,
ACCL,,NMP,,-209.7,
ACCL,,C2H5O2~|~C2H4O2,,434.1,
CH3NO2~|~CH2NO2~|~CHNO2,,ACNO2,,533.2,
CH3NO2~|~CH2NO2~|~CHNO2,,CS2,,320.2,
CH3NO2~|~CH2NO2~|~CHNO2,,DOH,,139.822,
CH3NO2~|~CH2NO2~|~CHNO2,,I,,304.3,
CH3NO2~|~CH2NO2~|~CHNO2,,BR,,10.17,
CH3NO2~|~CH2NO2~|~CHNO2,,CH=-C~|~C=-C,,-27.701,
CH3NO2~|~CH2NO2~|~CHNO2,,CL-(C=C),,10.76,
CH3NO2~|~CH2NO2~|~CHNO2,,DMF~|~HCON(..,,-223.1,
CH3NO2~|~CH2NO2~|~CHNO2,,COO,,248.4,
CH3NO2~|~CH2NO2~|~CHNO2,,CCL3F~|~CCL2F~|~HCCL2F~|~HCCLF~|~CCLF2~|~HCCLF2~|~CCLF3~|~CCL2F2,,-218.9,
CH3NO2~|~CH2NO2~|~CHNO2,,C4H4S~|~C4H3S~|~C4H2S,,-4.565,
ACNO2,,I,,2990,
ACNO2,,BR,,-124,
CS2,,I,,292.7,
CS2,,CL-(C=C),,-47.37,
CS2,,COO,,469.8,
CH3SH~|~CH2SH,,DMSO,,31.66,
CH3SH~|~CH2SH,,DMF~|~HCON(..,,78.92,
CH3SH~|~CH2SH,,NMP,,1004.2,
CH3SH~|~CH2SH,,CH3S~|~CH2S~|~CHS,,-18.27,
FURFURAL,,COO,,43.37,
DOH,,DMSO,,-417.2,
DOH,,DMF~|~HCON(..,,302.2,
DOH,,COO,,347.8,
DOH,,NMP,,-262,
DOH,,C2H5O2~|~C2H4O2,,-353.5,
I,,BR,,6.37,
I,,COO,,68.55,
BR,,DMSO,,32.9,
BR,,CL-(C=C),,-48.33,
BR,,DMF~|~HCON(..,,336.25,
BR,,COO,,-195.1,
CH=-C~|~C=-C,,CL-(C=C),,2073.2,
CH=-C~|~C=-C,,DMF~|~HCON(..,,-119.8,
DMSO,,DMF~|~HCON(..,,-97.71,
DMSO,,COO,,153.7,
ACRY,,CL-(C=C),,-208.8,
ACRY,,DMF~|~HCON(..,,-8.804,
ACRY,,COO,,423.4,
CL-(C=C),,DMF~|~HCON(..,,255,
CL-(C=C),,COO,,730.8,
CL-(C=C),,NMP,,26.35,
CL-(C=C),,CH3S~|~CH2S~|~CHS,,2429,
ACF,,DMF~|~HCON(..,,-110.65,
ACF,,CF3~|~CF2~|~CF,,-117.17,
DMF~|~HCON(..,,CF3~|~CF2~|~CF,,-5.579,
DMF~|~HCON(..,,COO,,72.31,
CF3~|~CF2~|~CF,,CCL3F~|~CCL2F~|~HCCL2F~|~HCCLF~|~CCLF2~|~HCCLF2~|~CCLF3~|~CCL2F2,,111.8,
COO,,C2H5O2~|~C2H4O2,,122.4,
SIH3~|~SIH2~|~SIH~|~SI,,SIH2O~|~SIHO~|~SIO,,-2166,
IMIDAZOL,,BTI,,1517.5,
CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,CH3~|~CH2~|~CH~|~C,,-35.36,
ACH~|~AC,,CH3~|~CH2~|~CH~|~C,,-11.12,
ACCH3~|~ACCH2~|~ACCH,,CH3~|~CH2~|~CH~|~C,,-69.7,
OH,,CH3~|~CH2~|~CH~|~C,,156.4,
CH3OH,,CH3~|~CH2~|~CH~|~C,,16.51,
H2O,,CH3~|~CH2~|~CH~|~C,,300,
ACOH,,CH3~|~CH2~|~CH~|~C,,275.8,
CH3CO~|~CH2CO,,CH3~|~CH2~|~CH~|~C,,26.76,
CHO,,CH3~|~CH2~|~CH~|~C,,505.7,
CH3COO~|~CH2COO,,CH3~|~CH2~|~CH~|~C,,114.8,
HCOO,,CH3~|~CH2~|~CH~|~C,,329.3,
CH3O~|~CH2O~|~CHO~|~THF,,CH3~|~CH2~|~CH~|~C,,83.36,
CH3NH2~|~CH2NH2~|~CHNH2,,CH3~|~CH2~|~CH~|~C,,-30.48,
CH3NH~|~CH2NH~|~CHNH,,CH3~|~CH2~|~CH~|~C,,65.33,
CH3N~|~CH2N,,CH3~|~CH2~|~CH~|~C,,-83.98,
ACNH2,,CH3~|~CH2~|~CH~|~C,,1139,
C5H5N~|~C5H4N~|~C5H3N,,CH3~|~CH2~|~CH~|~C,,-101.56,
CH3CN~|~CH2CN,,CH3~|~CH2~|~CH~|~C,,24.82,
COOH~|~HCOOH,,CH3~|~CH2~|~CH~|~C,,315.3,
CH2CL~|~CHCL~|~CCL,,CH3~|~CH2~|~CH~|~C,,91.46,
CH2CL2~|~CHCL2~|~CCL2,,CH3~|~CH2~|~CH~|~C,,34.01,
CHCL3~|~CCL3,,CH3~|~CH2~|~CH~|~C,,36.7,
CCL4,,CH3~|~CH2~|~CH~|~C,,-78.45,
ACCL,,CH3~|~CH2~|~CH~|~C,,106.8,
CH3NO2~|~CH2NO2~|~CHNO2,,CH3~|~CH2~|~CH~|~C,,-32.69,
ACNO2,,CH3~|~CH2~|~CH~|~C,,5541,
CS2,,CH3~|~CH2~|~CH~|~C,,-52.65,
CH3SH~|~CH2SH,,CH3~|~CH2~|~CH~|~C,,-7.481,
FURFURAL,,CH3~|~CH2~|~CH~|~C,,-25.31,
DOH,,CH3~|~CH2~|~CH~|~C,,139.93,
I,,CH3~|~CH2~|~CH~|~C,,128,
BR,,CH3~|~CH2~|~CH~|~C,,-31.52,
CH=-C~|~C=-C,,CH3~|~CH2~|~CH~|~C,,-72.88,
DMSO,,CH3~|~CH2~|~CH~|~C,,50.49,
ACRY,,CH3~|~CH2~|~CH~|~C,,-165.9,
CL-(C=C),,CH3~|~CH2~|~CH~|~C,,47.41,
ACF,,CH3~|~CH2~|~CH~|~C,,-5.132,
DMF~|~HCON(..,,CH3~|~CH2~|~CH~|~C,,-31.95,
CF3~|~CF2~|~CF,,CH3~|~CH2~|~CH~|~C,,147.3,
COO,,CH3~|~CH2~|~CH~|~C,,529,
SIH3~|~SIH2~|~SIH~|~SI,,CH3~|~CH2~|~CH~|~C,,-34.36,
SIH2O~|~SIHO~|~SIO,,CH3~|~CH2~|~CH~|~C,,110.2,
NMP,,CH3~|~CH2~|~CH~|~C,,13.89,
CCL3F~|~CCL2F~|~HCCL2F~|~HCCLF~|~CCLF2~|~HCCLF2~|~CCLF3~|~CCL2F2,,CH3~|~CH2~|~CH~|~C,,30.74,
AMH2~|~AMHCH3~|~AMHCH2~|~AM(CH3)2~|~AMCH3CH2~|~AM(CH2)2,,CH3~|~CH2~|~CH~|~C,,27.97,
C2H5O2~|~C2H4O2,,CH3~|~CH2~|~CH~|~C,,-11.92,
CH3S~|~CH2S~|~CHS,,CH3~|~CH2~|~CH~|~C,,39.93,
MORPH,,CH3~|~CH2~|~CH~|~C,,-23.61,
C4H4S~|~C4H3S~|~C4H2S,,CH3~|~CH2~|~CH~|~C,,-8.479,
NCO,,CH3~|~CH2~|~CH~|~C,,456.19,
(CH2)2SU~|~CH2CHSU,,CH3~|~CH2~|~CH~|~C,,245.21,
IMIDAZOL,,CH3~|~CH2~|~CH~|~C,,125.36,
BTI,,CH3~|~CH2~|~CH~|~C,,221.56,
ACH~|~AC,,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,3.446,
ACCH3~|~ACCH2~|~ACCH,,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,-113.6,
OH,,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,457,
CH3OH,,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,-12.52,
H2O,,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,496.1,
ACOH,,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,217.5,
CH3CO~|~CH2CO,,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,42.92,
CHO,,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,56.3,
CH3COO~|~CH2COO,,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,132.1,
HCOO,,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,110.4,
CH3O~|~CH2O~|~CHO~|~THF,,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,26.51,
CH3NH2~|~CH2NH2~|~CHNH2,,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,1.163,
CH3NH~|~CH2NH~|~CHNH,,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,-28.7,
CH3N~|~CH2N,,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,-25.38,
ACNH2,,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,2000,
C5H5N~|~C5H4N~|~C5H3N,,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,-47.63,
CH3CN~|~CH2CN,,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,-40.62,
COOH~|~HCOOH,,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,1264,
CH2CL~|~CHCL~|~CCL,,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,40.25,
CH2CL2~|~CHCL2~|~CCL2,,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,-23.5,
CHCL3~|~CCL3,,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,51.06,
CCL4,,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,160.9,
ACCL,,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,70.32,
CH3NO2~|~CH2NO2~|~CHNO2,,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,-1.996,
CS2,,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,16.623,
FURFURAL,,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,82.64,
BR,,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,174.6,
CH=-C~|~C=-C,,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,41.38,
DMSO,,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,64.07,
ACRY,,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,573,
CL-(C=C),,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,124.2,
ACF,,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,-131.7,
DMF~|~HCON(..,,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,249,
CF3~|~CF2~|~CF,,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,62.4,
COO,,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,1397,
NMP,,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,-16.11,
AMH2~|~AMHCH3~|~AMHCH2~|~AM(CH3)2~|~AMCH3CH2~|~AM(CH2)2,,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,9.755,
C2H5O2~|~C2H4O2,,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,132.4,
CH3S~|~CH2S~|~CHS,,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,543.6,
MORPH,,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,161.1,
(CH2)2SU~|~CH2CHSU,,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,384.45,
IMIDAZOL,,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,-391.81,
BTI,,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,,629.96,
ACCH3~|~ACCH2~|~ACCH,,ACH~|~AC,,-146.8,
OH,,ACH~|~AC,,89.6,
CH3OH,,ACH~|~AC,,-50,
H2O,,ACH~|~AC,,362.3,
ACOH,,ACH~|~AC,,25.34,
CH3CO~|~CH2CO,,ACH~|~AC,,140.1,
CHO,,ACH~|~AC,,23.39,
CH3COO~|~CH2COO,,ACH~|~AC,,85.84,
HCOO,,ACH~|~AC,,18.12,
CH3O~|~CH2O~|~CHO~|~THF,,ACH~|~AC,,52.13,
CH3NH2~|~CH2NH2~|~CHNH2,,ACH~|~AC,,-44.85,
CH3NH~|~CH2NH~|~CHNH,,ACH~|~AC,,-22.31,
CH3N~|~CH2N,,ACH~|~AC,,-223.9,
ACNH2,,ACH~|~AC,,247.5,
C5H5N~|~C5H4N~|~C5H3N,,ACH~|~AC,,31.87,
CH3CN~|~CH2CN,,ACH~|~AC,,-22.97,
COOH~|~HCOOH,,ACH~|~AC,,62.32,
CH2CL~|~CHCL~|~CCL,,ACH~|~AC,,4.68,
CH2CL2~|~CHCL2~|~CCL2,,ACH~|~AC,,121.3,
CHCL3~|~CCL3,,ACH~|~AC,,288.5,
CCL4,,ACH~|~AC,,-4.7,
ACCL,,ACH~|~AC,,-97.27,
CH3NO2~|~CH2NO2~|~CHNO2,,ACH~|~AC,,10.38,
ACNO2,,ACH~|~AC,,1824,
CS2,,ACH~|~AC,,21.497,
CH3SH~|~CH2SH,,ACH~|~AC,,28.41,
FURFURAL,,ACH~|~AC,,157.29,
DOH,,ACH~|~AC,,221.4,
I,,ACH~|~AC,,58.68,
BR,,ACH~|~AC,,-154.2,
CH=-C~|~C=-C,,ACH~|~AC,,-101.12,
DMSO,,ACH~|~AC,,-2.504,
ACRY,,ACH~|~AC,,-123.6,
CL-(C=C),,ACH~|~AC,,395.8,
ACF,,ACH~|~AC,,-237.2,
DMF~|~HCON(..,,ACH~|~AC,,-133.9,
CF3~|~CF2~|~CF,,ACH~|~AC,,140.6,
COO,,ACH~|~AC,,317.6,
SIH3~|~SIH2~|~SIH~|~SI,,ACH~|~AC,,787.9,
SIH2O~|~SIHO~|~SIO,,ACH~|~AC,,234.4,
NMP,,ACH~|~AC,,-23.88,
CCL3F~|~CCL2F~|~HCCL2F~|~HCCLF~|~CCLF2~|~HCCLF2~|~CCLF3~|~CCL2F2,,ACH~|~AC,,167.9,
C2H5O2~|~C2H4O2,,ACH~|~AC,,-86.88,
MORPH,,ACH~|~AC,,142.9,
C4H4S~|~C4H3S~|~C4H2S,,ACH~|~AC,,23.93,
(CH2)2SU~|~CH2CHSU,,ACH~|~AC,,47.05,
OH,,ACCH3~|~ACCH2~|~ACCH,,25.82,
CH3OH,,ACCH3~|~ACCH2~|~ACCH,,-44.5,
H2O,,ACCH3~|~ACCH2~|~ACCH,,377.6,
ACOH,,ACCH3~|~ACCH2~|~ACCH,,244.2,
CH3CO~|~CH2CO,,ACCH3~|~ACCH2~|~ACCH,,365.8,
CHO,,ACCH3~|~ACCH2~|~ACCH,,106,
CH3COO~|~CH2COO,,ACCH3~|~ACCH2~|~ACCH,,-170,
HCOO,,ACCH3~|~ACCH2~|~ACCH,,428,
CH3O~|~CH2O~|~CHO~|~THF,,ACCH3~|~ACCH2~|~ACCH,,65.69,
CH3NH2~|~CH2NH2~|~CHNH2,,ACCH3~|~ACCH2~|~ACCH,,296.4,
CH3NH~|~CH2NH~|~CHNH,,ACCH3~|~ACCH2~|~ACCH,,223,
CH3N~|~CH2N,,ACCH3~|~ACCH2~|~ACCH,,109.9,
ACNH2,,ACCH3~|~ACCH2~|~ACCH,,762.8,
C5H5N~|~C5H4N~|~C5H3N,,ACCH3~|~ACCH2~|~ACCH,,49.8,
CH3CN~|~CH2CN,,ACCH3~|~ACCH2~|~ACCH,,-138.4,
COOH~|~HCOOH,,ACCH3~|~ACCH2~|~ACCH,,89.86,
CH2CL~|~CHCL~|~CCL,,ACCH3~|~ACCH2~|~ACCH,,122.91,
CH2CL2~|~CHCL2~|~CCL2,,ACCH3~|~ACCH2~|~ACCH,,140.78,
CHCL3~|~CCL3,,ACCH3~|~ACCH2~|~ACCH,,69.9,
CCL4,,ACCH3~|~ACCH2~|~ACCH,,134.7,
ACCL,,ACCH3~|~ACCH2~|~ACCH,,402.5,
CH3NO2~|~CH2NO2~|~CHNO2,,ACCH3~|~ACCH2~|~ACCH,,-97.05,
ACNO2,,ACCH3~|~ACCH2~|~ACCH,,-127.8,
CS2,,ACCH3~|~ACCH2~|~ACCH,,40.675,
CH3SH~|~CH2SH,,ACCH3~|~ACCH2~|~ACCH,,19.56,
FURFURAL,,ACCH3~|~ACCH2~|~ACCH,,128.8,
DOH,,ACCH3~|~ACCH2~|~ACCH,,150.64,
I,,ACCH3~|~ACCH2~|~ACCH,,26.41,
BR,,ACCH3~|~ACCH2~|~ACCH,,1112,
