Clapeyron Database File,
heretosegmented GC-PCSAFT bond data [csvtype = intragroup,grouptype = GCPCSAFT]
species,intragroups
propane,"[(""CH3"",""CH2"") => 2,(""CH2"",""CH2"") => 0]"
butane,"[(""CH3"",""CH2"") => 2,(""CH2"",""CH2"") => 1]"
pentane,"[(""CH3"",""CH2"") => 2,(""CH2"",""CH2"") => 2]"
hexane,"[(""CH3"",""CH2"") => 2,(""CH2"",""CH2"") => 3]"
heptane,"[(""CH3"",""CH2"") => 2,(""CH2"",""CH2"") => 4]"
octane,"[(""CH3"",""CH2"") => 2,(""CH2"",""CH2"") => 5]"
nonane,"[(""CH3"",""CH2"") => 2,(""CH2"",""CH2"") => 6]"
decane,"[(""CH3"",""CH2"") => 2,(""CH2"",""CH2"") => 7]"
isobutane,"[(""CH3"",""CH"") => 3]"
isopentane,"[(""CH3"",""CH"") => 2,(""CH2"",""CH"") => 1,(""CH3"",""CH2"") => 1]"
pentadecane,"[(""CH3"",""CH2"") => 2,(""CH2"",""CH2"") => 12]"
eicosane,"[(""CH3"",""CH2"") => 2,(""CH2"",""CH2"") => 17]"
pentacosane,"[(""CH3"",""CH2"") => 2,(""CH2"",""CH2"") => 22]"
triacontane,"[(""CH3"",""CH2"") => 2,(""CH2"",""CH2"") => 27]"
ethyl acetate,"[""CH3""=>2,""COO""=>1,""CH2""=>1]"
propyl acetate,"[""CH3""=>2,""COO""=>1,""CH2""=>2]"
butyl acetate,"[""CH3""=>2,""COO""=>1,""CH2""=>3]"
pentyl acetate,"[""CH3""=>2,""COO""=>1,""CH2""=>4]"
hexyl acetate,"[""CH3""=>2,""COO""=>1,""CH2""=>5]"
heptyl acetate,"[""CH3""=>2,""COO""=>1,""CH2""=>6]"
cyclohexane,"[(""cCH2"",""cCH2"") => 6]"
ethanol,"[(""CH2"",""OH"") => 1,(""CH3"",""CH2"") => 1]"
1-propanol,"[(""CH2"",""OH"") => 1,(""CH3"",""CH2"") => 2]"
