Clapeyron Database File,,,,,
Schreckenberg Like Parameters,,,,,
species,gamma,theta,coordz,mu,polarizability,source
water,63.5,95.8,4.,1.855,1.613,
sodium~|~Na+,0.,0.,0.,0.,2.221,
chloride~|~Cl-,0.,0.,0.,0.,3.557,
carbon dioxide,0.,0.,0.,0.,3.24,
methanol,52.9,118.6,2,1.70,3.661,
