Clapeyron Database File,,,,,
Wilson Unlike Parameters,,,,,
species1,SMILES1,species2,SMILES2,g,source
propanol~|~1-propanol~|~propan-1-ol,,water,,3792.90311,
acetone~|~propanone,,chcl3~|~chloroform~|~trichloromethane,,485.8339464,
acetone~|~propanone,,methanol,,-478.6692648,
acetone~|~propanone,,water,,1440.695966,
acetone~|~propanone,,toluene,,3385.2744,
acetone~|~propanone,,2-propanol~|~propan-2-ol~|~isopropanol,,2292.949152,
acetone~|~propanone,,hexane~|~n-hexane,,4000.86632,
acetonitrile,,water,,1375.95024,
benzene,,toluene,,3323.798888,
ccl4~|~tetrachloromethane~|~carbon tetrachloride,,benzene,,29.4800456,
chcl3~|~chloroform~|~trichloromethane,,methanol,,-1513.74777,
ch2cl2~|~dichloromethane,,methanol,,-1020.841608,
ch2cl2~|~dichloromethane,,ethylacetate~|~ethyl ethanoate,,-730.313016,
ethanol,,benzene,,5290.382651,
ethanol,,water,,1360.116729,
ethylacetate~|~ethyl ethanoate,,ethanol,,246.3827896,
ethylacetate~|~ethyl ethanoate,,water,,4800.7216,
ethylacetate~|~ethyl ethanoate,,acetic acid,,-4175.184312,
methanol,,benzene,,6972.389144,
methanol,,ethylacetate~|~ethyl ethanoate,,4109.813078,
methanol,,water,,347.2201184,
methanol,,2-propanol~|~propan-2-ol~|~isopropanol,,-160.7174816,
methanol,,acetonitrile,,2791.995752,
methanol,,toluene,,7338.48496,
methylacetate~|~methyl ethanoate,,methanol,,-392.83576,
methylacetate~|~methyl ethanoate,,ethylacetate~|~ethyl ethanoate,,157.2669368,
methylacetate~|~methyl ethanoate,,acetic acid,,-874.16312,
methylacetate~|~methyl ethanoate,,water,,3712.75608,
hexane~|~n-hexane,,ethanol,,1340.390842,
thf~|~tetrahydrofuran,,water,,6172.480727,
water,,acetic acid,,3402.0104,
water,,butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,,6483.77744,
water,,toluene,,56203.672,
water,,"morpholine~|~tetrahydro-1,4-oxazine",,7169.284,
water,,pyridine,,3981.921168,
water,,4-methylpentan-2-one~|~4-methyl-2-pentanone~|~methyl isobutyl ketone,,10715.76792,
water,,propanol~|~1-propanol~|~propan-1-ol,,5843.540923,
chcl3~|~chloroform~|~trichloromethane,,acetone~|~propanone,,-2120.66835,
methanol,,acetone~|~propanone,,2281.510933,
water,,acetone~|~propanone,,6201.580447,
toluene,,acetone~|~propanone,,-1443.77288,
2-propanol~|~propan-2-ol~|~isopropanol,,acetone~|~propanone,,475.143408,
hexane~|~n-hexane,,acetone~|~propanone,,1568.07952,
water,,acetonitrile,,7068.0312,
toluene,,benzene,,-2304.92376,
benzene,,ccl4~|~tetrachloromethane~|~carbon tetrachloride,,249.4638872,
methanol,,chcl3~|~chloroform~|~trichloromethane,,7087.796834,
methanol,,ch2cl2~|~dichloromethane,,7960.72944,
ethylacetate~|~ethyl ethanoate,,ch2cl2~|~dichloromethane,,-887.455688,
benzene,,ethanol,,1115.503771,
water,,ethanol,,3988.520173,
ethanol,,ethylacetate~|~ethyl ethanoate,,2385.026022,
water,,ethylacetate~|~ethyl ethanoate,,8719.456,
acetic acid,,ethylacetate~|~ethyl ethanoate,,11456.33592,
benzene,,methanol,,950.6575184,
ethylacetate~|~ethyl ethanoate,,methanol,,-723.5462328,
water,,methanol,,2178.382027,
2-propanol~|~propan-2-ol~|~isopropanol,,methanol,,737.714512,
acetonitrile,,methanol,,178.1409128,
toluene,,methanol,,1286.03608,
methanol,,methylacetate~|~methyl ethanoate,,3545.667203,
ethylacetate~|~ethyl ethanoate,,methylacetate~|~methyl ethanoate,,-171.2251792,
acetic acid,,methylacetate~|~methyl ethanoate,,1128.454088,
water,,methylacetate~|~methyl ethanoate,,8228.6728,
ethanol,,hexane~|~n-hexane,,9159.987686,
water,,thf~|~tetrahydrofuran,,7718.612238,
acetic acid,,water,,-756.63456,
butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,,water,,8578.27487,
toluene,,water,,15515.5272,
"morpholine~|~tetrahydro-1,4-oxazine",,water,,-5613.6728,
pyridine,,water,,4785.8684,
4-methylpentan-2-one~|~4-methyl-2-pentanone~|~methyl isobutyl ketone,,water,,7844.83264,
