Clapeyron Database Parameters
Asymmetric mixing parameters for EOS-CG 2021 EoS [csvtype = unlike]
species1,cas1,species2,cas2,beta_v,gamma_v,beta_T,gamma_T,source
carbon monoxide,630-08-0,argon,7440-37-1,1.0,1.159721,1.0,0.954216,10.1007/s10765-023-03263-6
hydrogen,1333-74-0,argon,7440-37-1,1.0,1.0,1.0,1.0,10.1007/s10765-023-03263-6
methane,74-82-8,argon,7440-37-1,1.03463,1.014679,0.990954,0.989843,10.1007/s10765-023-03263-6
hydrogen sulfide,7783-06-4,argon,7440-37-1,1.0,1.0,1.0,1.0,10.1007/s10765-023-03263-6
sulfur dioxide,7446-09-5,argon,7440-37-1,1.0,1.021291,1.0,1.14102,10.1007/s10765-023-03263-6
mea~|~ethanolamine~|~monoethanolamine~|~2-aminoethan-1-ol,141-43-5,argon,7440-37-1,1.0,1.0,1.0,1.0,10.1007/s10765-023-03263-6
sulfur dioxide,7446-09-5,methane,74-82-8,1.315534,1.119543,0.999432,1.115714,10.1007/s10765-023-03263-6
mea~|~ethanolamine~|~monoethanolamine~|~2-aminoethan-1-ol,141-43-5,methane,74-82-8,1.0,1.0,1.0,1.0,10.1007/s10765-023-03263-6
"dea~|~diethanolamine~|~2,2'-diethanolamine",111-42-2,methane,74-82-8,1.0,1.0,1.0,1.0,10.1007/s10765-023-03263-6
hcl~|~hydrogen chloride~|~hydrochloric acid,7647-01-0,methane,74-82-8,1.0,1.0,1.0,1.0,10.1007/s10765-023-03263-6
cl2~|~chlorine,7782-50-5,methane,74-82-8,1.0,1.0,1.0,1.0,10.1007/s10765-023-03263-6
methane,74-82-8,ammonia,7664-41-7,1.006058,1.069834,1.022371,0.940156,10.1007/s10765-023-03263-6
"mdea~|~methyl diethanolamine~|~n-methyldiethanolamine~|~2,2'-(methylimino)bis-ethanol",105-59-9,methane,74-82-8,1.074,1.0,1.0,1.625,10.1007/s10765-023-03263-6
sulfur dioxide,7446-09-5,hydrogen sulfide,7783-06-4,1.0,1.0,1.0,1.0,10.1007/s10765-023-03263-6
mea~|~ethanolamine~|~monoethanolamine~|~2-aminoethan-1-ol,141-43-5,hydrogen sulfide,7783-06-4,1.0,1.0,1.0,1.0,10.1007/s10765-023-03263-6
"dea~|~diethanolamine~|~2,2'-diethanolamine",111-42-2,hydrogen sulfide,7783-06-4,1.0,1.0,1.0,1.0,10.1007/s10765-023-03263-6
hcl~|~hydrogen chloride~|~hydrochloric acid,7647-01-0,hydrogen sulfide,7783-06-4,1.0,1.0,1.0,1.0,10.1007/s10765-023-03263-6
cl2~|~chlorine,7782-50-5,hydrogen sulfide,7783-06-4,1.0,1.0,1.0,1.0,10.1007/s10765-023-03263-6
ammonia,7664-41-7,hydrogen sulfide,7783-06-4,1.0,1.0,1.0,1.0,10.1007/s10765-023-03263-6
"mdea~|~methyl diethanolamine~|~n-methyldiethanolamine~|~2,2'-(methylimino)bis-ethanol",105-59-9,hydrogen sulfide,7783-06-4,1.0,1.1408,1.0,1.05943,10.1007/s10765-023-03263-6
mea~|~ethanolamine~|~monoethanolamine~|~2-aminoethan-1-ol,141-43-5,sulfur dioxide,7446-09-5,1.0,1.0,1.021293,1.200045,10.1007/s10765-023-03263-6
"dea~|~diethanolamine~|~2,2'-diethanolamine",111-42-2,sulfur dioxide,7446-09-5,1.0,1.0,1.021293,1.200045,10.1007/s10765-023-03263-6
sulfur dioxide,7446-09-5,hcl~|~hydrogen chloride~|~hydrochloric acid,7647-01-0,1.0,1.0,1.002605,1.04838,10.1007/s10765-023-03263-6
cl2~|~chlorine,7782-50-5,sulfur dioxide,7446-09-5,1.024354,1.016621,1.015678,0.92782,10.1007/s10765-023-03263-6
ammonia,7664-41-7,sulfur dioxide,7446-09-5,1.0,1.0,1.0,1.0,10.1007/s10765-023-03263-6
"mdea~|~methyl diethanolamine~|~n-methyldiethanolamine~|~2,2'-(methylimino)bis-ethanol",105-59-9,sulfur dioxide,7446-09-5,1.0,1.097897,1.0,1.037046,10.1007/s10765-023-03263-6
"dea~|~diethanolamine~|~2,2'-diethanolamine",111-42-2,mea~|~ethanolamine~|~monoethanolamine~|~2-aminoethan-1-ol,141-43-5,0.766762,0.852448,1.015703,1.020484,10.1007/s10765-023-03263-6
mea~|~ethanolamine~|~monoethanolamine~|~2-aminoethan-1-ol,141-43-5,hcl~|~hydrogen chloride~|~hydrochloric acid,7647-01-0,1.0,1.0,1.0,1.0,10.1007/s10765-023-03263-6
mea~|~ethanolamine~|~monoethanolamine~|~2-aminoethan-1-ol,141-43-5,cl2~|~chlorine,7782-50-5,1.0,1.0,1.0,1.0,10.1007/s10765-023-03263-6
ammonia,7664-41-7,mea~|~ethanolamine~|~monoethanolamine~|~2-aminoethan-1-ol,141-43-5,1.0,1.0,1.0,1.0,10.1007/s10765-023-03263-6
"mdea~|~methyl diethanolamine~|~n-methyldiethanolamine~|~2,2'-(methylimino)bis-ethanol",105-59-9,mea~|~ethanolamine~|~monoethanolamine~|~2-aminoethan-1-ol,141-43-5,1.0,1.0,1.0,0.805,10.1007/s10765-023-03263-6
"dea~|~diethanolamine~|~2,2'-diethanolamine",111-42-2,hcl~|~hydrogen chloride~|~hydrochloric acid,7647-01-0,1.0,1.0,1.0,1.0,10.1007/s10765-023-03263-6
"dea~|~diethanolamine~|~2,2'-diethanolamine",111-42-2,cl2~|~chlorine,7782-50-5,1.0,1.0,1.0,1.0,10.1007/s10765-023-03263-6
ammonia,7664-41-7,"dea~|~diethanolamine~|~2,2'-diethanolamine",111-42-2,1.0,1.0,1.0,1.0,10.1007/s10765-023-03263-6
"mdea~|~methyl diethanolamine~|~n-methyldiethanolamine~|~2,2'-(methylimino)bis-ethanol",105-59-9,"dea~|~diethanolamine~|~2,2'-diethanolamine",111-42-2,1.0,1.0,1.0,1.0,10.1007/s10765-023-03263-6
cl2~|~chlorine,7782-50-5,hcl~|~hydrogen chloride~|~hydrochloric acid,7647-01-0,0.9281,0.917288,1.007373,0.968865,10.1007/s10765-023-03263-6
ammonia,7664-41-7,hcl~|~hydrogen chloride~|~hydrochloric acid,7647-01-0,1.0,1.0,1.0,1.0,10.1007/s10765-023-03263-6
"mdea~|~methyl diethanolamine~|~n-methyldiethanolamine~|~2,2'-(methylimino)bis-ethanol",105-59-9,hcl~|~hydrogen chloride~|~hydrochloric acid,7647-01-0,1.0,1.173873,1.0,1.086325,10.1007/s10765-023-03263-6
ammonia,7664-41-7,cl2~|~chlorine,7782-50-5,1.0,1.0,1.0,1.0,10.1007/s10765-023-03263-6
"mdea~|~methyl diethanolamine~|~n-methyldiethanolamine~|~2,2'-(methylimino)bis-ethanol",105-59-9,cl2~|~chlorine,7782-50-5,1.0,1.096224,1.0,1.041648,10.1007/s10765-023-03263-6
"mdea~|~methyl diethanolamine~|~n-methyldiethanolamine~|~2,2'-(methylimino)bis-ethanol",105-59-9,ammonia,7664-41-7,1.0,1.207629,1.0,1.045755,10.1007/s10765-023-03263-6
