Clapeyron Database File
tc-RK parameters [csvtype = single,sep = ;]
species;Tc;Pc;acentricfactor;ZRA;L;M;N;Mw;v_shift
[3-(2,3-epoxyproxy)propyl]trimethoxysilane;701.4;1.812e6;0.7605;0.2347;0.3654;0.8084;3.3826;236.34;8.6417e-5
1,1,1,2,2-pentafluoropropane;380.11;3.137e6;0.3046;0.2658;0.2424;0.8413;2.6941;134.047936;1.44379e-5
r227ea~|~1,1,1,2,3,3,3-heptafluoropropane;374.83;2.912e6;0.3552;0.2654;0.2423;0.8331;2.843;170.028862;1.44017e-5
r236ea~|~1,1,1,2,3,3-hexafluoropropane;412.38;3.4119999999999995e6;0.3688;0.2654;0.2573;0.8342;2.8224;152.038399;1.31855e-5
2,2-difluorotetrachloroethane~|~1,1,1,2-tetrachlorodifluoroethane;552.0;3.34e6;0.257;0.2623;0.1571;0.8296;2.9108;203.8;2.49555e-5
1,1,1,2-tetrachloroethane;624.0;4.0200000000000005e6;0.2422;0.2611;0.2083;0.844;2.6479;167.84928;2.4739899999999997e-5
r134a~|~tetrafluoroethane~|~1,1,1,2-tetrafluoroethane;374.18;4.056e6;0.3269;0.2596;0.3226;0.8562;2.4524;102.030893;1.38434e-5
r236fa~|~1,1,1,3,3,3-hexafluoropropane;398.07;3.219e6;0.3905;0.2654;0.227;0.8245;3.0131;152.038399;1.3091599999999998e-5
r365mfc~|~1,1,1,3,3-pentafluorobutane;473.7;3.392e6;0.2571;0.273;0.9141;0.4607;0.7953;148.074516;1.3201e-5
r245fa~|~1,1,1,3,3-pentafluoropropane;427.2;3.64e6;0.3755;0.2636;0.1767;0.8163;3.1931;134.047936;1.40802e-5
1,1,1-trichloroethane;545.0;4.3e6;0.2183;0.2706;0.1922;0.8461;2.6132;133.40422;1.4050499999999999e-5
1,1,1-trichlorotrifluoroethane~|~1,1,1-trichloro-2,2,2-trifluoroethane;483.0;3.3200000000000005e6;0.2667;0.267;0.3948;0.8869;2.0464;187.37561;1.7201499999999998e-5
r143a~|~1,1,1-trifluoroethane;345.88;3.764e6;0.2614;0.2567;0.2957;0.8623;2.3633;84.04043;1.6509899999999996e-5
r245ca~|~1,1,2,2,3-pentafluoropropane;447.57;3.925e6;0.3531;0.2668;0.264;0.8382;2.749;134.047936;1.18042e-5
1,1,2,2-tetrachloroethane;645.0;4.09e6;0.2467;0.2545;0.9766;0.5267;0.7653;167.84928;3.2273899999999996e-5
1,1,2,2-tetrafluoroethane;391.8;4.64e6;0.266;0.2691;0.4855;0.9126;1.7733;102.030893;8.9898e-6
1,1,2-trichloroethane;602.0;4.48e6;0.2591;0.258;0.2009;0.8377;2.7031;133.40422;2.3465900000000002e-5
r113~|~1,1,2-trichlorotrifluoroethane~|~1,1,2-trichloro-1,2,2-trifluoroethane;487.25;3.41e6;0.2515;0.272;0.3986;0.8445;1.7893;187.37561;1.34025e-5
