Clapeyron Database File
tc-RK parameters [csvtype = single,sep = ;]
species;Tc;Pc;acentricfactor;ZRA;L;M;N;Mw;v_shift
1,1,2-trifluoroethane;429.8;5.241e6;0.3265;0.2625;0.237;0.8189;2.6126;84.04043;1.1106099999999999e-5
1,1,2-trimethylcyclopentane;579.54;2.939e6;0.2523;0.2622;0.196;0.8393;2.7206;112.21264;2.99024e-5
1,1,3-trimethylcyclohexane;611.3;2.978e6;0.2753;0.2776;0.2693;0.8526;2.5077;126.23922;1.09908e-5
1,1,3-trimethylcyclopentane;569.54;2.827e6;0.2119;0.2621;0.2914;0.7482;1.6169;112.21264;3.3104999999999996e-5
1,1-dibromoethane;628.0;6.03e6;0.125;0.2992;0.0;0.7026;2.0043;187.86116;-4.07e-6
r141b~|~1,1-dichloro-1-fluoroethane;478.85;4.34e6;0.2211;0.2753;0.2248;0.8529;2.504;116.949623;8.904199999999999e-6
1,1-dichloroethane;523.0;5.07e6;0.2339;0.2744;0.2625;0.8348;2.2026;98.95916;8.6827e-6
1,1-dichloroethene~|~1,1-dichloroethylene;482.0;5.19e6;0.2721;0.2763;0.5227;0.8609;1.4506;96.94328;6.5742e-6
1,1-dichloropropane;560.0;4.24e6;0.2529;0.2602;0.3115;0.8294;2.0332;112.98574;2.1631399999999998e-5
1,1-dichlorotetrafluoroethane;418.55;3.3e6;0.2533;0.2747;0.2689;0.8572;2.4376;170.921013;9.675700000000001e-6
1,1-diethylcyclohexane;643.0;2.57e6;0.4036;0.2567;0.1764;0.8538;2.4899;140.2658;5.13436e-5
r152a~|~difluoroethane~|~1,1-difluoroethane;386.44;4.52e6;0.2751;0.2538;0.3875;0.8831;2.0912;66.049966;1.64932e-5
1,1-difluoroethylene;302.8;4.46e6;0.1362;0.2713;0.135;0.8462;2.6118;64.034086;8.455399999999999e-6
1,1-dimethoxyethane;507.8;3.7729999999999995e6;0.3277;0.266;0.2083;0.8304;2.8954;90.121;1.54609e-5
1,1-dimethylcyclohexane;591.15;2.938e6;0.2326;0.2602;0.5948;0.8236;1.2206;112.21264;3.4058999999999994e-5
1,1-dimethylcyclopentane;547.0;3.4450000000000005e6;0.2724;0.2779;0.2719;0.8554;2.4651;98.18606;8.5782e-6
1,1-diphenylethane;775.0;2.68e6;0.4566;0.2548;1.2456;1.0;0.9183;182.26096;4.527689999999999e-5
tetralin~|~1,2,3,4-tetrahydronaphthalene;720.0;3.65e6;0.3353;0.2609;0.3329;0.8403;2.316;132.20228;2.806e-5
1,2,3,4-tetramethylbenzene;693.0;3.11e6;0.4172;0.2564;0.4355;0.8656;2.3167;134.21816;3.3463299999999995e-5
1,2,3,4-tetramethylcyclohexane;642.0;2.57e6;0.4016;0.2567;0.8838;0.8752;2.189;140.2658;1.84938e-5
1,2,3,5-tetraethylbenzene;708.0;2.07e6;0.594;0.2494;0.5511;0.8448;1.5902;190.32448;7.15943e-5
1,2,3,5-tetramethylbenzene;679.0;2.97e6;0.4242;0.2543;0.4361;0.8525;2.2609;134.21816;3.70917e-5
3-cyclohexene-1-carboxaldehyde~|~1,2,3,6-tetrahydrobenzaldehyde;655.0;4.0299999999999995e6;0.3638;0.2615;0.9242;0.8646;1.2782;110.1537;1.8239899999999998e-5
1,2,3-trichlorobenzene;734.0;4.51e6;0.4263;0.2818;0.5404;0.8515;1.9923;181.44702;-9.973e-7
1,2,3-trichloropropane;652.0;3.8700000000000005e6;0.3056;0.2419;0.8917;0.8196;0.9633;147.4308;4.414269999999999e-5
1,2,3-triethylbenzene;683.0;2.38e6;0.5054;-123.0;0.7376;0.7634;0.8322;162.27132;-0.00012299999999999998
1,2,3-trimethyl-4-ethylbenzene;702.7;2.795e6;0.4574;0.2543;0.2756;0.8254;2.9969;148.24474;3.96416e-5
1,2,3-trimethylbenzene;664.5;3.454e6;0.3666;0.2579;0.4074;0.8544;2.1899;120.19158;2.92915e-5
1,2,4,5-tetramethylbenzene;676.0;2.9e6;0.4217;0.2497;0.5424;0.8617;1.9036;134.21816;4.41617e-5
1,2,4-trichlorobenzene;725.0;3.7200000000000005e6;0.3581;-123.0;0.5627;0.8354;1.5941;181.44702;-0.00012299999999999998
1,2,4-triethylbenzene;684.0;2.38e6;0.5011;0.2513;1.953;1.0;0.3268;162.27132;7.03866e-5
1,2,4-trimethyl-3-ethylbenzene~|~benzene, 2-ethyl-1,3,4-trimethyl-;697.3;2.795e6;0.4569;0.2561;0.5892;0.8947;1.9586;148.24;3.62399e-5
1-ethyl-2,4,5-trimethylbenzene~|~1,2,4-trimethyl-5-ethylbenzene;687.3;2.678e6;0.4638;0.2531;0.3439;0.8385;2.7449;148.24;4.16414e-5
1,2,4-trimethylbenzene;649.1;3.232e6;0.3787;0.2564;0.333;0.8495;2.5571;120.19158;3.18858e-5
1,2-butadiene;452.0;4.36e6;0.1659;0.2619;1.3552;0.9943;0.5121;54.09044;1.82899e-5
1,2-dibromoethane;650.15;5.477e6;0.2067;0.2663;0.672;0.8457;1.0625;187.86116;1.66916e-5
1,2-dibromotetrafluoroethane~|~1,2-dibromo-1,1,2,2-tetrafluoroethane;487.8;3.393e6;0.2431;0.2712;0.2039;0.8433;2.6599;259.823013;1.4444399999999998e-5
1,2-dichloro-1,1,2-trifluoroethane;461.6;3.61e6;0.241;0.2642;0.2411;0.8528;2.5047;152.93055;1.8076099999999998e-5
1,2-dichlorobutane;600.0;3.6799999999999995e6;0.2988;0.2528;0.2706;0.849;2.5658;127.01232;3.18213e-5
dichloroethane~|~1,2-dichloroethane;561.6;5.37e6;0.2866;0.266;0.2791;0.8553;2.4661;98.95916;1.28665e-5
1,2-dichloropropane;572.0;4.24e6;0.2564;0.2604;0.2525;0.8499;2.4796;112.98574;2.16415e-5
r114~|~1,2-dichlorotetrafluoroethane~|~1,2-dichloro-1,1,2,2-tetrafluoroethane;418.85;3.26e6;0.252;0.2728;0.2211;0.8459;2.6166;170.921013;1.1414999999999998e-5
3,6-dioxaoctane~|~1,2-diethoxyethane;561.0;2.93e6;0.4818;0.2566;1.254;0.7705;0.8833;118.17416;2.90621e-5
1,2-dimethoxyethane;536.15;3.871e6;0.3475;0.2607;0.214;0.8283;2.9369;90.121;1.95774e-5
1,2-dimethoxypropane;543.0;3.446e6;0.3522;-123.0;0.2981;0.829;2.4834;104.14758;-0.00012299999999999998
1,2-diphenylethane~|~1,1'-(1,2-ethanediyl)bis-benzene;780.0;2.65e6;0.4885;0.2518;0.4179;0.8504;2.5431;182.26096;4.86164e-5
(phenoxymethyl)oxirane~|~(phenoxymethyl)-oxirane~|~1,2-epoxy-3-phenoxypropane;720.0;2.95e6;0.5943;0.2322;0.4416;0.84;2.7168;150.1745;6.27538e-5
butoxide~|~ethyloxirane~|~1,2-epoxybutane;526.0;4.39e6;0.2345;0.257;0.4843;0.8187;1.4237;72.10572;2.24204e-5
1,2-pentadiene;500.0;3.8e6;0.1542;0.2574;1.3918;0.4223;0.5417;68.11702;2.7487899999999998e-5
1,2-propanediamine;587.0;5.27e6;0.4738;0.2756;0.4852;0.8392;2.1545;74.1249;3.3645999999999995e-6
methyloxirane~|~1,2-epoxypropane~|~1,2-propylene oxide;482.25;4.92e6;0.2683;0.2473;0.2753;0.8567;2.4455;58.07914;2.2836099999999996e-5
1,3,5,7-cyclooctatetraene;641.4;4.42e6;0.287;-123.0;0.3038;0.7907;1.64;104.15;-0.00012299999999999998
1,3,5-trichlorobenzene;718.0;3.7200000000000005e6;0.3596;0.2559;1.0264;1.0;1.0;181.44702;3.21955e-5
1,3,5-triethylbenzene;678.0;2.3e6;0.5077;0.2485;0.5686;0.8617;2.3716;162.27132;4.7956e-5
resorcinol~|~1,3-benzenediol;810.0;7.490000000000001e6;0.6767;0.2904;0.4067;0.8237;3.0304;110.11064;-9.866899999999999e-6
butadiene~|~1,3-butadiene;425.0;4.32e6;0.195;0.2708;0.2223;0.8584;2.4193;54.09044;1.1208199999999999e-5
1,3-butanediol;676.0;4.0200000000000005e6;0.7043;0.2165;1.8217;1.0;0.7418;90.121;5.67291e-5
1,3-cyclohexadiene;558.0;4.73e6;0.2308;0.2796;0.2817;0.8655;2.3189;80.12772;6.0563e-6
1,3-dichloro-2-propanol;633.0;4.5e6;0.6997;0.2557;1.5069;0.8981;1.9215;128.98514;3.1926999999999995e-6
1,3-dichloropropane;603.0;4.15e6;0.2916;0.2468;0.3439;0.8678;2.2867;112.98574;3.3240099999999994e-5
1,3-dimethyladamantane~|~1,3-dimethyltricyclo[3.3.1.1(3,7)]decane;708.0;3.0e6;0.2935;0.2782;0.264;0.8488;2.5689;164.2872;1.11439e-5
1,3-dioxane;590.0;5.15e6;0.2891;0.2691;1.276;1.0;0.7036;88.10512;1.19457e-5
1,3-propanediol~|~propan-1,3-diol~|~1 3-propylene glycol~|~1,3-propylene glycol;724.0;9.5e6;0.7385;0.3052;0.6354;0.8616;2.3728;76.09442;-1.4630699999999999e-5
oxetane~|~1,3-propylene oxide;520.0;5.75e6;0.2005;0.2535;0.2107;0.8534;2.4955;58.07914;1.92664e-5
1,4-butanediisocyanate;724.3;2.947e6;0.4258;0.2245;0.4915;0.8445;1.9656;140.14;8.11303e-5
1,4-cyclohexadiene;569.0;4.73e6;0.2048;0.2721;0.3411;0.875;2.1915;80.12772;1.08612e-5
1,4-dibrombenzene~|~1,4-dibromobenzene;738.15;4.472e6;0.4257;0.2739;0.5867;0.9019;1.881;235.90396;7.911699999999999e-6
1,4-dichlorobutane;641.0;3.61e6;0.326;0.243;0.2085;0.8306;2.8926;127.01232;4.3768e-5
1,4-dicyano-2-butene~|~(e-)-3-hexenedinitrile;755.0;2.95e6;0.6668;-123.0;0.3681;0.818;3.1542;106.12524;-0.00012299999999999998
dioxane~|~p-dioxane~|~1,4-dioxane;587.0;5.208e6;0.2793;0.2682;0.2017;0.8369;2.7726;88.10512;1.26042e-5
1,4-di-tert-butylbenzene~|~1,4-bis(1,1-dimethylethyl)benzene~|~1,4-bis(1,1-dimethylethyl)-benzene;708.0;2.3e6;0.5023;0.269;0.3404;0.8325;2.8557;190.32448;1.97609e-5
1,4-hexadiene;510.0;3.35e6;0.28;0.2636;0.2031;0.8376;2.7609;82.1436;2.1147999999999998e-5
1,4-pentadiene;479.0;3.74e6;0.0837;0.273;1.7563;0.5238;0.4022;68.11702;1.67575e-5
1,5-cyclooctadiene;645.0;3.9e6;0.2858;0.2768;0.2202;0.8393;2.7303;108.18088;9.5264e-6
1,5-dichloropentane~|~1,5-dichloro-pentane;668.0;3.19e6;0.3766;0.2419;0.2172;0.8246;3.0078;141.0389;5.08353e-5
1,5-hexadiene;508.0;3.35e6;0.2259;0.2641;0.2155;0.8493;2.5601;82.1436;2.21386e-5
1,5-pentanediamine~|~1,5-diaminopentane;642.0;3.735e6;0.5874;0.2602;0.6287;0.8805;2.1234;102.17806;1.74574e-5
1,5-pentanediol;673.0;4.15e6;1.2216;0.237;1.027;0.8738;2.2072;104.14758;2.64599e-5
1,6-hexanediol;683.0;3.61e6;1.2162;-123.0;1.6856;0.9683;1.3023;118.17416;-0.00012299999999999998
1-amino-2-propanol;614.0;5.67e6;0.787;0.2592;0.675;0.8613;2.3783;75.10966;8.783799999999999e-6
1-bromobutane;570.4;4.0409999999999995e6;0.3113;0.2683;0.4813;0.899;1.9116;137.01826;1.42681e-5
1-bromoheptane;646.1;2.897e6;0.4527;0.2642;0.5789;0.8929;1.9777;179.098;2.21465e-5
1-bromonaphthalene;824.0;3.7e6;0.3692;0.2543;0.2529;0.8331;2.8429;207.06658;3.85881e-5
1-bromopropane;535.5;4.578e6;0.2811;0.2659;0.5;0.9126;1.7739;122.99168;1.4336299999999999e-5
butanol~|~n-butanol~|~1-butanol~|~butan-1-ol;563.1;4.414e6;0.5883;0.2549;1.5156;1.0;0.8554;74.1216;1.74514e-5
butene~|~1-butene;419.5;4.0200000000000005e6;0.1845;0.2738;0.2227;0.8594;2.4052;56.10632;1.0141999999999999e-5
r142b~|~1-chloro-1,1-difluoroethane;410.29;4.0409999999999995e6;0.2307;0.2668;0.2561;0.8585;2.4188;100.495026;1.3021599999999999e-5
1-chloronaphthalene;785.0;3.4e6;0.3827;0.2464;0.5273;0.8943;1.9628;162.61558;4.91402e-5
1-chloropentane;571.2;3.3520000000000005e6;0.2952;0.2567;0.2651;0.8479;2.5835;106.59384;2.9498e-5
1-cis-2-trans-4-trimethylcyclopentane~|~1,cis-2,trans-4-trimethylcyclopentane;579.26;2.878e6;0.2775;0.2605;0.2326;0.8437;2.6536;112.2126;3.12795e-5
1-decanol~|~decan-1-ol;688.0;2.308e6;0.607;0.2493;0.3907;0.7242;2.3291;158.28108;4.97173e-5
1-decene;616.6;2.223e6;0.4805;0.2556;0.3363;0.8347;2.8142;140.2658;4.0389e-5
1-decyne;619.85;2.37e6;0.5178;0.2577;1.0393;0.8707;2.248;138.24992;1.11576e-5
dodecanol~|~1-dodecanol~|~dodecan-1-ol;718.7;1.954e6;0.6556;0.2448;0.2645;0.8006;3.5889;186.33424;6.69414e-5
1-dodecene;657.1;1.888e6;0.562;0.2488;0.3825;0.8194;2.7458;168.31896;5.99827e-5
1-eicosene;771.0;1.22e6;0.8804;0.2388;0.6394;0.8438;2.6515;280.5316;0.00011745669999999999
1-ethyl-2-isopropylbenzene;666.0;2.67e6;0.4176;0.2561;1.6232;1.0;0.4709;148.24;4.92406e-5
1-ethylcyclohexene;614.9;3.3049999999999995e6;0.2922;0.2628;0.234;0.841;2.6998;110.19676;2.57753e-5
1-ethylnaphthalene;776.0;3.3200000000000005e6;0.4073;0.2572;0.3608;0.8505;2.5421;156.22368;3.4535899999999996e-5
1-heptadecene;736.0;1.41e6;0.7503;0.2421;0.5839;0.8484;2.5756;238.45186;9.53568e-5
1-heptanol~|~heptan-1-ol;632.3;3.085e6;0.5621;0.2617;2.3547;1.0;0.5067;116.20134;2.1346599999999997e-5
1-heptene;537.4;2.92e6;0.3432;0.2649;0.3055;0.8496;2.5564;98.18606;2.13847e-5
1-heptyne;547.0;3.21e6;0.3778;0.2677;0.4454;0.8757;2.1832;96.17018;1.55908e-5
1-hexadecanol;768.6;1.468e6;0.7788;0.2364;0.3364;0.8017;3.5601;242.44056;0.00011107089999999999
1-hexadecene;722.0;1.48e6;0.7242;0.2424;0.4335;0.8237;3.0314;224.42528;9.003019999999999e-5
1-hexanol~|~hexan-1-ol;611.3;3.446e6;0.5586;0.2544;2.0832;1.0;0.5783;102.17476;2.59066e-5
hexene~|~1-hexene~|~hex-1-ene;504.0;3.21e6;0.2851;0.2674;1.486;0.9996;0.4387;84.15948;2.3686299999999997e-5
hexyne~|~1-hexyne;516.2;3.6200000000000005e6;0.3327;0.2698;0.4211;0.8789;2.1422;82.1436;1.25605e-5
1-isopropoxy-2-propanol;562.0;3.36e6;0.7681;0.2768;1.3508;0.892;1.9882;118.17416;-1.5017099999999999e-5
2-propanol-1-methoxy-propanoate~|~1-methoxy-2-propanol propanoate;611.7;2.602e6;0.5099;-123.0;0.2056;0.7959;3.3301;146.18;-0.00012299999999999998
1-ethyl-1-methylcyclopentane~|~1-methyl-1-ethylcyclopentane;582.0;3.02e6;0.3298;0.2656;0.4979;0.8985;1.9174;98.18606;2.1779e-5
1-methyl-2-propylbenzene~|~1-methyl-2-n-propylbenzene;662.0;2.94e6;0.407;0.259;0.4829;0.8788;2.1441;134.21816;3.08148e-5
thymol~|~3-methyl-6-isopropylphenol~|~1-methyl-3-hydroxy-5-isopropyl benzene;726.8;3.408e6;0.5863;-123.0;0.2314;0.8024;3.5393;150.21756;-0.00012299999999999998
1-methyl-3-propylbenzene~|~1-methyl-3-propyl-benzene~|~1-methyl-3-n-propylbenzene;654.0;2.81e6;0.4128;0.2584;0.3652;0.8507;2.5381;134.21816;3.26915e-5
1-methyl-4-propylbenzene~|~1-methyl-4-n-propylbenzene;656.0;2.81e6;0.4134;0.2608;0.4002;0.8584;2.42;134.21816;2.94027e-5
1-methyl-4-vinylcyclohexene;626.0;3.12e6;0.3445;0.262;1.4765;1.0;0.3915;122.21;3.92477e-5
methylcyclopentene~|~1-methylcyclopentene;542.0;4.1299999999999995e6;0.2318;0.2728;1.1728;1.0;0.746;82.1436;1.13167e-5
1-methylindene;703.0;3.46e6;0.3349;0.2556;0.2513;0.8382;2.7501;130.1864;3.50046e-5
1-methylnaphthalene;772.0;3.6e6;0.3416;0.2561;0.9421;0.8784;1.0134;142.1971;3.6776099999999995e-5
isopropenylacetate~|~1-methylvinyl acetate~|~1-methylvinyl ethanoate;552.2;4.181e6;0.4027;0.2794;0.5043;0.8842;2.0783;100.11582;2.179e-6
1-nitropropane;605.0;4.35e6;0.4128;0.2447;0.5691;0.9001;1.9;89.09318;3.0403699999999998e-5
1-nonadecene;760.0;1.28e6;0.8325;0.2401;0.6255;0.8464;2.6082;266.50502;0.00010916909999999999
1-nonanol~|~nonan-1-ol;670.9;2.527e6;0.5841;0.2492;1.7248;0.7362;0.7901;144.2545;4.58586e-5
1-nonene;593.1;2.428e6;0.4367;0.2591;0.3208;0.8377;2.7581;126.23922;3.2521199999999996e-5
1-nonyne;598.05;2.61e6;0.471;0.2615;0.983;0.8717;2.1484;124.22334;7.798799999999999e-6
octadecanol~|~1-octadecanol;789.3;1.295e6;0.8322;0.2327;0.335;0.7973;3.6843;270.49372;0.000138068
1-octadecene;748.0;1.34e6;0.7943;0.2412;0.6144;0.8487;2.5697;252.47844;0.00010172729999999999
1-octanol~|~octan-1-ol;652.3;2.783e6;0.5697;0.2549;2.4352;1.0;0.4928;130.22792;3.3389099999999995e-5
octene~|~1-octene~|~oct-1-ene;566.9;2.663e6;0.3921;0.2625;0.3618;0.8535;2.4945;112.21264;2.55603e-5
octyne~|~1-octyne;574.0;2.88e6;0.4233;0.2642;0.4051;0.858;2.4259;110.19676;2.08036e-5
1-pentadecanol;757.3;1.569e6;0.7507;-123.0;0.3222;0.8019;3.5543;228.41398;-0.00012299999999999998
1-pentadecene;708.0;1.57e6;0.6815;0.2445;0.4209;0.8258;2.9873;210.3987;8.05686e-5
1-pentanol~|~pentan-1-ol;588.1;3.897e6;0.5748;0.2561;1.6372;1.0;0.7717;88.14818;1.99375e-5
pentene~|~1-pentene;464.8;3.56e6;0.2372;0.2702;0.2471;0.8552;2.4674;70.1329;1.3949899999999998e-5
pentyne~|~1-pentyne;481.2;4.1700000000000005e6;0.2899;0.2825;0.4331;0.8914;1.9947;68.11702;2.3348e-6
1-phenylnaphthalene;849.0;2.63e6;0.5309;0.2443;0.3142;0.8236;3.0342;204.26648;6.51696e-5
propanol~|~1-propanol~|~propan-1-ol;536.8;5.169e6;0.6209;0.2511;1.3735;1.0;0.9941;60.09502;1.5880299999999998e-5
1-tetradecanol;745.3;1.682e6;0.7168;0.2416;2.989;0.676;0.4773;214.3874;9.931839999999999e-5
1-tetradecene;691.0;1.627e6;0.6503;0.2425;0.4557;0.8141;2.6512;196.37212;8.27421e-5
1,3,5-trimethylcyclohexane~|~1-trans-3,5-trimethylcyclohexane;602.2;2.84e6;0.3671;0.2716;0.6708;0.8616;2.0592;126.23922;5.9664e-6
1-tridecanol;732.4;1.8100000000000002e6;0.6881;0.2423;0.2835;0.801;3.579;200.36082;7.75075e-5
1-tridecene;674.8;1.7489999999999998e6;0.6074;0.2456;0.4085;0.8204;2.7777;182.34554;7.05443e-5
1-undecanol;703.9;2.119e6;0.6236;0.2479;0.265;0.8037;3.5041;172.30766;5.59257e-5
1-undecene;637.8;2.0440000000000002e6;0.5225;0.2521;0.3427;0.8302;2.8986;154.29238;4.9635800000000003e-5
2-(2-hexoxyethoxy)ethanol~|~2-2-(hexyloxy)ethoxyethanol~|~2-(2-hexyloxyethoxy)ethanol;684.0;2.41e6;1.111;0.2669;1.446;0.8712;2.2414;190.27988;-1.59992e-5
2-(2-pentoxyethoxy)ethanol;705.3;2.503e6;0.7047;-123.0;0.1583;0.7809;4.2195;176.2533;-0.00012299999999999998
2-(alpha-methylbenzyloxy)-1-propanol;722.7;2.492e6;0.6421;-123.0;1.5366;0.9012;1.8888;60.09502;-0.00012299999999999998
2-(difluoromethoxy)-1,1,1-trifluoroethane~|~1,1,1-trifluoro-2-(difluoromethoxy)ethane;444.03;3.4200000000000005e6;0.3887;0.2638;0.2641;0.8327;2.852;150.047336;1.4872199999999998e-5
2,2,3,3-tetramethylbutane;568.0;2.87e6;0.245;0.2742;0.2274;0.849;2.5655;114.22852;1.6197299999999998e-5
2,2,3,3-tetramethylhexane;623.0;2.51e6;0.3659;0.2693;0.3255;0.8505;2.5418;142.28168;2.13157e-5
2,2,3,3-tetramethylpentane;607.5;2.741e6;0.3051;0.2708;0.2643;0.8465;2.6058;128.2551;1.98401e-5
2,2,3,4-tetramethylpentane;592.6;2.6e6;0.3138;0.2687;0.356;0.8391;2.1308;128.2551;2.2949e-5
2,2,3-trimethylbutane~|~2,2,3-trimethyl-butane;531.1;2.95e6;0.2501;0.2712;0.2356;0.8499;2.5508;100.20194;1.7756e-5
2,2,3-trimethylpentane;563.5;2.73e6;0.2971;0.266;0.2558;0.8442;2.6014;114.22852;2.4695799999999998e-5
2,2,4,4,6,8,8-heptamethylnonane;692.0;1.57e6;0.5482;0.2509;0.3398;0.8263;2.9785;226.44116;7.13081e-5
2,2,4,4-tetramethylpentane;574.6;2.49e6;0.3136;0.2697;0.3489;0.8492;2.2243;128.2551;2.16708e-5
2,2,4-trimethyl-1,3-pentanediol;697.9;2.704e6;0.5958;0.2363;0.2363;0.6932;2.6263;146.22732;6.27475e-5
isooctane~|~2,2,4-trimethylpentane;543.8;2.57e6;0.3035;0.2677;0.2946;0.8537;2.4912;114.22852;2.2722399999999998e-5
2,2,5,5-tetramethylhexane;581.4;2.19e6;0.3767;0.2653;0.6043;0.8066;1.5024;142.28168;2.94433e-5
2,2,5-trimethylhexane;569.8;2.33e6;0.3446;0.2635;0.4111;0.8217;1.9505;128.2551;3.07941e-5
r123~|~1,1-dichloro-2,2,2-trifluoroethane~|~2,2-dichloro-1,1,1-trifluoroethane;456.94;3.676e6;0.2825;0.2676;0.2958;0.8423;2.3053;152.93055;1.4091799999999998e-5
2,2-dimethyl-1-propanol;552.7;4.078e6;0.595;-123.0;0.3019;0.7528;2.7503;88.14818;-0.00012299999999999998
2,2-dimethyl-3-ethylpentane~|~3-ethyl-2,2-dimethyl-pentane;590.0;2.57e6;0.3353;0.269;0.2421;0.8362;2.786;128.2551;2.16723e-5
2,2-dimethylbutane;489.0;3.1e6;0.2341;0.2736;0.2388;0.8541;2.4854;86.17536;1.3910399999999998e-5
2,2-dimethylheptane;576.7;2.35e6;0.3911;0.2628;0.392;0.8464;2.2947;128.2551;2.9312399999999997e-5
2,2-dimethylhexane;549.8;2.53e6;0.3378;0.2641;0.2693;0.8386;2.6546;114.22852;2.66678e-5
2,2-dimethyloctane;602.0;2.16e6;0.4288;0.2582;0.266;0.8275;2.9536;142.28168;3.92249e-5
2,2-dimethylpentane;520.5;2.77e6;0.2871;0.2668;0.2762;0.8471;2.4652;100.20194;2.19094e-5
r1234yf~|~2,3,3,3-tetrafluoropropene~|~2,3,3,3-tetrafluoro-1-propene;367.85;3.382e6;0.282;0.2645;0.2429;0.8455;2.6236;114.04;1.4296099999999999e-5
2,3,3,4-tetramethylpentane;607.5;2.72e6;0.3144;0.2702;0.3428;0.8446;2.2231;128.2551;2.03729e-5
2,3,3-trimethyl-1-butene;531.0;3.14e6;0.2388;0.2767;0.1596;0.8343;2.8215;98.18606;1.19263e-5
2,3,3-trimethylpentane;573.5;2.82e6;0.2903;0.2687;0.238;0.8432;2.6613;114.22852;2.1410599999999998e-5
2,3,4-trimethylpentane;566.4;2.73e6;0.3153;0.266;0.2902;0.845;2.4927;114.22852;2.39126e-5
2,3-dichloro-1-propanol;647.0;4.5e6;0.6992;0.254;1.3795;0.9103;1.7963;128.98514;7.8864e-6
2 3-dichloropropene~|~2,3-dichloropropene~|~2,3-dichloro-1-propene;578.0;4.38e6;0.1945;0.2605;0.1017;0.827;2.9643;110.96986;2.31797e-5
2,3-dihydrofuran;524.0;5.5e6;0.2255;0.2686;0.2261;0.852;2.5175;70.08984;1.13722e-5
2,3-dimethyl-1,3-butadiene;526.0;3.5200000000000005e6;0.2142;0.2617;0.2766;0.7928;1.8398;82.1436;2.46965e-5
2,3-dimethyl-1-butene;501.0;3.3200000000000005e6;0.2333;0.2725;0.6266;0.8756;1.2436;84.15948;1.4384199999999999e-5
2,3-dimethyl-1-hexene;561.0;2.76e6;0.3249;0.2672;0.19;0.8265;2.9729;112.21264;2.20593e-5
2,3-dimethyl-2-butene;528.0;3.3200000000000005e6;0.2237;0.2598;1.2697;1.0;0.6245;84.15948;2.76397e-5
2,3-dimethylbutane;500.0;3.15e6;0.2493;0.2707;0.2318;0.8493;2.5603;86.17536;1.61697e-5
