Clapeyron Database File
CPCA Like Parameters
species,Mw,segment,a,b,n_e,n_H,source
2-methylpentane,86.177,3.2005,2.4189e-01,0.0249e-03,0,0,10.1021/acs.iecr.3c02774
3-methylpentane,86.177,3.1430,2.4934e-01,0.0251e-03,0,0,10.1021/acs.iecr.3c02774
2-methylhexane,100.204,3.4955,2.5414e-01,0.0256e-03,0,0,10.1021/acs.iecr.3c02774
cyclopentane,70.133,2.2459,3.3321e-01,0.0270e-03,0,0,10.1021/acs.iecr.3c02774
cyclohexane,84.161,2.5529,3.3794e-01,0.0275e-03,0,0,10.1021/acs.iecr.3c02774
methylcyclopentane,84.156,2.7889,2.8484e-01,0.0254e-03,0,0,10.1021/acs.iecr.3c02774
methylcyclohexane,98.188,2.8382,3.4418e-01,0.0290e-03,0,0,10.1021/acs.iecr.3c02774
ethylcyclopentane,98.188,2.9188,3.3117e-01,0.0282e-03,0,0,10.1021/acs.iecr.3c02774
ethylcyclohexane,112.213,3.1172,3.5322e-01,0.0294e-03,0,0,10.1021/acs.iecr.3c02774
ethylene,28.054,1.7063,1.5986e-01,0.0199e-03,0,0,10.1021/acs.iecr.3c02774
propylene,42.081,2.2181,1.7504e-01,0.0199e-03,0,0,10.1021/acs.iecr.3c02774
1-butene,56.108,2.4594,2.1510e-01,0.0225e-03,0,0,10.1021/acs.iecr.3c02774
1-pentene,70.134,2.7506,2.4010e-01,0.0242e-03,0,0,10.1021/acs.iecr.3c02774
1-hexene,84.161,3.1600,2.4087e-01,0.0242e-03,0,0,10.1021/acs.iecr.3c02774
1-octene,112.215,3.8495,2.5126e-01,0.0248e-03,0,0,10.1021/acs.iecr.3c02774
benzene,78.114,2.5357,2.9068e-01,0.0231e-03,0,0,10.1021/acs.iecr.3c02774
toluene,92.141,2.7853,3.1758e-01,0.0252e-03,0,0,10.1021/acs.iecr.3c02774
ethylbenzene,106.167,3.2422,2.9475e-01,0.0245e-03,0,0,10.1021/acs.iecr.3c02774
m-xylene,106.167,3.3855,2.7548e-01,0.0234e-03,0,0,10.1021/acs.iecr.3c02774
o-xylene,106.167,3.3266,2.8410e-01,0.0235e-03,0,0,10.1021/acs.iecr.3c02774
p-xylene,106.167,3.3978,2.7391e-01,0.0234e-03,0,0,10.1021/acs.iecr.3c02774
carbon monoxide,28.01,1.4282,0.7276e-01,0.0173e-03,0,0,10.1021/acs.iecr.3c02774
nitrogen,28.01,1.2710,0.8414e-01,0.0194e-03,0,0,10.1021/acs.iecr.3c02774
hydrogen sulfide,34.08,1.8137,1.3862e-01,0.0136e-03,0,0,10.1021/acs.iecr.3c02774
carbon dioxide,44.01,2.7000,0.5221e-01,0.0079e-03,0,0,10.1021/acs.iecr.3c02774
chlorine,70.905,1.4247,2.9798e-01,0.0224e-03,0,0,10.1021/acs.iecr.3c02774
dimethyl ether,46.069,2.6553,1.2852e-01,0.0148e-03,0,0,10.1021/acs.iecr.3c02774
diethyl ether,74.123,3.2593,1.6946e-01,0.0187e-03,0,0,10.1021/acs.iecr.3c02774
methyl-n-propyl ether,74.123,3.2630,1.6967e-01,0.0184e-03,0,0,10.1021/acs.iecr.3c02774
vinyl acetate,86.090,3.9730,1.2651e-01,0.0139e-03,0,0,10.1021/acs.iecr.3c02774
n-propyl acetate,102.133,4.3901,1.4245e-01,0.0156e-03,0,0,10.1021/acs.iecr.3c02774
n-butyl acetate,116.160,4.5145,1.6598e-01,0.0176e-03,0,0,10.1021/acs.iecr.3c02774
acetone,58.08,3.2892,1.4075e-01,0.0140e-03,0,0,10.1021/acs.iecr.3c02774
methyl ethyl ketone,72.107,3.6218,1.5325e-01,0.0154e-03,0,0,10.1021/acs.iecr.3c02774
diisopropyl ketone,114.188,4.0892,1.8979e-01,0.0188e-03,0,0,10.1021/acs.iecr.3c02774
methanol,,2.1900,1.1221e-01,0.012320e-03,1,1,10.1021/acs.iecr.3c02774
ethanol,,2.5961,1.7648e-01,0.015527e-03,1,1,10.1021/acs.iecr.3c02774
1-propanol,,2.9200,1.9174e-01,0.017312e-03,1,1,10.1021/acs.iecr.3c02774
1-butanol,,3.2941,2.0034e-01,0.018480e-03,1,1,10.1021/acs.iecr.3c02774
1-pentanol,,3.5234,2.2098e-01,0.020250e-03,1,1,10.1021/acs.iecr.3c02774
1-heptanol,,4.2807,2.2440e-01,0.021199e-03,1,1,10.1021/acs.iecr.3c02774
1-octanol,,4.6723,2.2200e-01,0.021366e-03,1,1,10.1021/acs.iecr.3c02774
1-decanol,,5.3043,2.3264e-01,0.022506e-03,1,1,10.1021/acs.iecr.3c02774
1-dodecanol,,5.9400,2.4049e-01,0.023347e-03,1,1,10.1021/acs.iecr.3c02774
1-pentadecanol,,6.8900,2.4599e-01,0.024253e-03,1,1,10.1021/acs.iecr.3c02774
t-butanol,,3.2017,1.8625e-01,0.019150e-03,1,1,10.1021/acs.iecr.3c02774
water,,1.4925,0.7979e-01,0.009086e-03,2,2,10.1021/acs.iecr.3c02774
methylamine,,2.2616,1.3790e-01,0.013372e-03,1,1,10.1021/acs.iecr.3c02774
ethylamine,,2.5601,1.6684e-01,0.016439e-03,1,1,10.1021/acs.iecr.3c02774
1-propylamine,,2.6085,2.2417e-01,0.020477e-03,1,1,10.1021/acs.iecr.3c02774
2-propylamine,,2.5779,2.1965e-01,0.021021e-03,1,1,10.1021/acs.iecr.3c02774
aniline,,3.3995,2.4098e-01,0.018174e-03,1,1,10.1021/acs.iecr.3c02774
