Clapeyron Database File
EOS-CG-2021 departure unlike Parameters [sep = ;, csvtype = pair]
species1;species2;F;parameters
hydrogen sulfide;water;1.0;[{"l":[0.0,0.0,1.0,1.0,2.0,1.0],"n":[0.17,-0.1116,0.121,-0.002352,-0.0431,0.7764],"d":[1.0,1.0,2.0,4.0,8.0,1.0],"type":"ResidualHelmholtzPower","t":[0.9,4.04,6.88,8.15,5.35,2.7]}]
ethanolamine;water;1.0;[{"l":[2.0,2.0],"n":[0.0436,0.0437],"d":[1.0,3.0],"type":"ResidualHelmholtzPower","t":[0.1,0.1]},{"beta":[0.55,1.83],"gamma":[2.42,1.42],"n":[-0.0217,-0.0187],"d":[2.0,1.0],"type":"ResidualHelmholtzGaussian","eta":[0.69,0.25],"epsilon":[2.8,2.16],"t":[3.06,4.39]}]
diethanolamine;water;1.0;[{"l":[2.0],"n":[0.151],"d":[1.0],"type":"ResidualHelmholtzPower","t":[0.58]},{"beta":[0.72,1.32],"gamma":[1.9,2.29],"n":[-0.0817,0.326],"d":[2.0,1.0],"type":"ResidualHelmholtzGaussian","eta":[1.36,2.4],"epsilon":[2.1,2.33],"t":[4.19,3.03]}]
ammonia;water;1.0;[{"l":[2.0,1.0],"n":[-2.00211,3.0813],"d":[1.0,1.0],"type":"ResidualHelmholtzPower","t":[0.25,2.0]},{"beta":[0.27,0.86,3.0,0.5,4.0],"gamma":[2.8,1.8,1.5,0.8,1.3],"n":[-1.75352,2.9816,-3.82588,-1.7385,0.42008],"d":[1.0,1.0,1.0,1.0,3.0],"type":"ResidualHelmholtzGaussian","eta":[0.0,0.746,4.25,0.7,3.0],"epsilon":[0.0,2.0,-0.25,1.85,0.3],"t":[0.5,2.0,1.0,4.0,4.0]}]
methyldiethanolamine;water;1.0;[{"l":[2.0,2.0],"n":[0.058,0.0497],"d":[1.0,2.0],"type":"ResidualHelmholtzPower","t":[3.3,1.66]},{"beta":[2.09,2.6,1.89],"gamma":[1.96,1.0,2.6],"n":[0.02,-0.063,0.00316],"d":[3.0,2.0,1.0],"type":"ResidualHelmholtzGaussian","eta":[2.6,2.6,0.4],"epsilon":[2.129,2.486,2.254],"t":[3.1,1.44,3.5]}]
nitrogen;hydrogen;1.0;{"l":[1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0],"beta":[0.0,0.0,0.0,0.0,0.93,0.36,0.99,0.24],"gamma":[0.0,0.0,0.0,0.0,1.3,0.8,1.5,0.23],"n":[-1.659,-0.268,-0.502,0.323,2.976,5.084,-3.866,-5.474],"d":[1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0],"type":"Gaussian+Exponencial","eta":[0.0,0.0,0.0,0.0,1.86,0.03,1.85,0.13],"epsilon":[0.0,0.0,0.0,0.0,2.51,0.39,2.51,1.22],"t":[0.724,0.097,2.953,3.5,2.939,0.694,2.329,1.066]}
methane;nitrogen;1.0;[{"l":[0.0,0.0],"n":[-0.0098038985517335,0.00042487270143005],"d":[1.0,4.0],"type":"ResidualHelmholtzPower","t":[0.0,1.85]},{"beta":[1.0,1.0,2.5,3.0,3.0,3.0,3.0],"gamma":[0.5,0.5,0.5,0.5,0.5,0.5,0.5],"n":[-0.034800214576142,-0.13333813013896,-0.011993694974627,0.069243379775168,-0.31022508148249,0.24495491753226,0.22369816716981],"d":[1.0,2.0,2.0,2.0,2.0,2.0,3.0],"type":"ResidualHelmholtzGERG2008","eta":[1.0,1.0,0.25,0.0,0.0,0.0,0.0],"epsilon":[0.5,0.5,0.5,0.5,0.5,0.5,0.5],"t":[7.85,5.4,0.0,0.75,2.8,4.45,4.25]}]
argon;ammonia;1.0;[{"l":[1.0],"n":[0.2350785],"d":[3.0],"type":"ResidualHelmholtzPower","t":[2.3]},{"beta":[0.6,0.5],"gamma":[0.9,1.5],"n":[-1.913776,1.624062],"d":[1.0,1.0],"type":"ResidualHelmholtzGaussian","eta":[1.3,1.5],"epsilon":[0.31,0.39],"t":[1.65,0.42]}]
carbon monoxide;hydrogen;1.0;{"l":[0.0,0.0,0.0,0.0],"beta":[0.0,0.0,0.751,0.66],"gamma":[0.0,0.0,1.86,2.23],"n":[-0.521,-0.387,-2.59,4.35],"d":[1.0,2.0,1.0,2.0],"type":"Gaussian+Exponencial","eta":[0.0,0.0,0.647,0.344],"epsilon":[0.0,0.0,1.38,0.773],"t":[2.25,0.473,0.585,0.091]}
methane;hydrogen;1.0;{"l":[0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0],"beta":[0.0,0.0,0.0,0.0,0.97,0.2,0.26,0.18],"gamma":[0.0,0.0,0.0,0.0,0.77,1.74,0.79,0.4],"n":[1.28,-0.774,-0.914,0.36,-2.45,4.462,-0.972,-2.07],"d":[1.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0],"type":"Gaussian+Exponencial","eta":[0.0,0.0,0.0,0.0,0.83,0.34,0.57,0.44],"epsilon":[0.0,0.0,0.0,0.0,1.36,1.44,1.69,1.53],"t":[0.34,0.42,0.8,3.29,0.05,0.254,0.41,2.63]}
hydrogen;ammonia;1.0;[{"l":[1.0,1.0],"n":[-3.73558,-7.47092],"d":[1.0,2.0],"type":"ResidualHelmholtzPower","t":[1.28,2.05]},{"beta":[2.06,1.74],"gamma":[0.79,2.1],"n":[1.98413,1.87191],"d":[1.0,2.0],"type":"ResidualHelmholtzGaussian","eta":[0.61,1.6],"epsilon":[0.8,1.62],"t":[2.6,3.13]}]
