JuliaSAFT database,,,,,,,,
SAFT-VR Mie,,,,,,,,
Compound,DIPPR Number,Mw,m,sigma,epsilon,lambdaR,lambdaA,Source
Methane,,16.04,1,3.7412,153.36,12.65,6,10.1063/1.4819786
Ethane,,30.07,1.4373,3.7257,206.12,12.4,6,10.1063/1.4819787
Propane,,44.1,1.6845,3.9056,239.89,13.006,6,10.1063/1.4819788
n-butane,,58.12,1.8514,4.0887,273.64,13.65,6,10.1063/1.4819789
n-pentane,,72.15,1.9606,4.2928,321.94,15.847,6,10.1063/1.4819790
n-hexane,,86.177,2.1097,4.423,354.38,17.203,6,10.1063/1.4819791
n-heptane,,100.204,2.3949,4.4282,358.51,17.092,6,10.1063/1.4819792
n-octane,,114.231,2.6253,4.4696,369.18,17.378,6,10.1063/1.4819793
n-nonane,,128.258,2.8099,4.5334,387.55,18.324,6,10.1063/1.4819794
n-decane,,142.285,2.9976,4.589,400.79,18.885,6,10.1063/1.4819795
n-dodecane,,156.312,3.2519,4.7484,437.72,20.862,6,10.1063/1.4819796
n-pentadecane,,212.421,3.9325,4.7738,444.51,20.822,6,10.1063/1.4819797
n-eicosane,,282.5475,4.8794,4.8788,475.76,22.926,6,10.1063/1.4819798
Perfluoromethane,,88.003,1,4.3372,232.62,42.553,5.1906,10.1063/1.4819803
Perfluoroethane,,138.01,1.8529,3.9336,211.46,19.192,5.7506,10.1063/1.4819804
Perfluoropropane,,188.017,1.9401,4.2983,263.26,22.627,5.7506,10.1063/1.4819805
n-perfluorobutane,,238.024,2.1983,4.4495,290.49,24.761,5.7506,10.1063/1.4819806
n-perfluoropentane,,288.031,2.3783,4.6132,328.56,29.75,5.7506,10.1063/1.4819807
n-perfluorohexane,,338.038,2.5202,4.7885,349.3,30.741,5.7506,10.1063/1.4819808
Fluorine,,38,1.3211,2.9554,96.268,11.606,6,10.1063/1.4819809
Carbon dioxide,,44.01,1.5,3.1916,231.88,27.557,5.1646,10.1063/1.4819810
Benzene,,78.11,1.9163,4.0549,372.59,14.798,6,10.1063/1.4819811
Toluene,,92.14,1.9977,4.2777,409.73,16.334,6,10.1063/1.4819812
