JuliaSAFT database,,,,,,
PC-SAFT,,,,,,
Compound,DIPPR Number,Mw,m,sigma,epsilon,Source
1-Ethylnaphthalene,704,156.22,3.7865,3.8809,333.55,
1-Hexylnaphthalene,714,212.33,5.5795,3.8581,300.4,
1-Methylnaphthalene,702,142.2,3.5975,3.81733,335.57,
1-Nonylnaphthalene,711,254.41,5.5274,4.1881,319.52,
1-Phenylnaphthalene,710,204.27,4.917,3.8225,331.06,
1-Propylnaphthalene,718,170.25,3.8084,4.0307,338.48,
2-Methylnaphthalene,703,142.2,3.3234,3.9533,347.55,
Acenaphthene,808,154.21,3.6387,3.856,355.5,
Adamantane,810,136.23,1.8837,4.7979,452.13,
Anthracene,804,178.23,3.3811,4.1423,411.47,
Camphene,839,136.23,3.0322,4.147,300.83,
Dibenzofuran,1480,168.19,2.3829,4.5718,452.21,
Indane,820,118.18,3.1093,3.8233,316.99,
Indene,803,116.16,2.8969,3.88,334.88,
Naphthalene,701,128.17,3.0047,3.9133,353.63,
Pyrene,717,202.25,3.7597,4.1574,421.04,
Carbon disulfide,1938,76.143,1.7173,3.6107,332.23,
Oxygen,901,32,1.1217,3.2098,114.96,
"1,2-Dichloroethane",1523,98.96,2.5964,3.4463,285.01,
"1,1,1-Trichloroethane",1527,133.4,2.4646,3.7558,279.13,
Chlorobenzene,1571,112.558,2.6929,3.7367,312.11,
Dichloromethane,1511,84.93,2.2632,3.338,274.2,
o-Dichlorobenzene,1572,147.01,2.8409,3.847,338.4,
m-Dibromobenzene,1678,235.9,2.8806,3.9138,363.31,
Bromobenzene,1680,157.01,2.5899,3.8534,338.55,
p-Bromotoluene,2661,171.03,3.3482,3.7082,308.97,
1-Bromonaphthalene,1697,207.07,3.6549,3.8328,358.2,
Benzyl ethyl ether,1460,136.19,4.0145,3.6513,277.75,
Dibenzyl ether,1463,198.26,7.083,3.3098,258.77,
Dibutyl ether,1404,130.23,4.62,3.6404,228.48,
Dipropryl ether,1446,102.17,3.493,3.6928,234.16,
Diphenyl ether,1465,170.21,3.5961,4.0205,340.4,
Methyl-n-pentyl ether,1429,102.17,3.8886,3.5478,227.85,
Methyl-n-propyl ether,1415,74.123,3.1934,3.3897,215.43,
p-Dioxane,1421,88.11,2.9724,3.3762,275.88,
Vinyl methyl ether,1470,58.08,2.7079,3.2431,215.05,
1Br-Perfluoro-n-octane,1864,498.96,4.4272,4.2492,229.97,
1H-Perfluoro-n-octane,,420.07,5.3504,3.8249,195.41,
Perfluorobenzene,,186.05,3.2897,3.5601,239.92,
Perfluorodecalin,,462.08,2.2527,3.4135,341.35,
Perfluoro-n-hexane,,338.04,4.9669,3.6172,171.45,
Perfluoro-n-nonane,,488.06,5.9846,3.8425,188.62,
Perfluorotoluene,,236.06,4.4079,3.449,215.95,
Octafluorocyclobutane,2654,200.03,3.7354,3.3674,164.66,
Nitroethane,1761,75.07,2.9556,3.2322,290.55,
Tetranitromethane,1768,151.04,4.0979,3.2294,290.53,
Nitromethane,1760,61.04,2.5325,3.1174,314.19,
1-Nitropropane,1762,89.09,3.1377,3.4066,289.01,
2-Nitropropane,1763,89.09,3.1019,3.4243,281.65,
m-Dinitrobenzene,2740,168.11,6.0678,3.0025,293.97,
o-Dinitrobenzene,2741,168.11,6.2837,3.0511,297.61,
p-Dinitrobenzene,2742,168.11,6.4161,3.0433,283.69,
m-Nitrotoluene,1780,137.14,3.5459,3.6719,331.95,
o-Nitrotoluene,1778,137.14,3.9917,3.5014,306.03,
Nitrobenzene,1886,123.11,3.1442,3.6415,344.88,
Acetonitrile,1772,41.05,1.9693,3.3648,344.9,
Allyl acetate,1318,100.12,3.334,3.5146,254.64,
Benzyl acetate,1359,150.17,4.3419,3.6165,283.7,
Cyclohexyl aceteta,1364,142.2,4.2248,3.6151,263.35,
Decyl acetate,1370,200.32,6.8956,3.5745,234.94,
Ethyl acetate,1313,88.11,3.6,3.2719,228.92,
Ethylhexyl acetate,1358,172.26,5.9074,3.5313,231.85,
Heptyl acetate,1367,158.24,5.3796,3.5874,239.08,
Hexyl acetate,1363,144.21,4.8447,3.5834,241.42,
Isobutyl acetate,1316,116.16,4.2012,3.4519,229.69,
Isopentyl acetate,1317,130.18,4.179,3.6303,244.76,
Isopropyl acetate,1319,102.13,3.6084,3.4818,231.91,
Nonyl acetate,1369,186.29,6.8356,3.495,227.63,
Octyl acetate,1368,172.26,5.9596,3.5603,236.43,
Pentyl acetate,1357,130.18,4.7077,3.4729,234.57,
sec-Butyl acetate,1320,116.16,4.1424,3.4735,228.31,
Vinyl acetate,1321,86.09,3.4674,3.2482,231.45,
Benzaldehyde,1041,106.12,3.1474,3.576,321.19,
Methyl isobutyl ketone,1054,100.16,3.3628,3.6799,259.89,
2-Methylhexanal,1016,114.19,4.42903,3.4976,238.15,
2-Ethylhexanal,1013,128.21,4.8693,3.5037,236.37,
2-Methylpropanal,1006,72.11,3.5582,3.2003,222.71,
Cyclopentanone,1079,84.12,2.80919,3.5344,307.24,
Camphor,2850,152.23,3.74411,3.8866,301.73,
Isophorone,1077,138.21,3.2635,4.0318,328.86,
Acetic anhydride,1291,102.09,4.2175,3.1329,250.93,
Propionic anhydride,1292,130.14,4.8138,3.322,244.8,
Butyric anhydride,1293,158.19,5.2497,3.5274,246.88,
Terephthaldehyde,1044,134.13,5.157,3.1091,286.91,
p-Tolualdehyde,1040,120.15,4.1695,3.4261,289.34,
Diketene,1099,84.07,3.8331,3.027,258.6,
Glutaric anhydride,1296,114.1,4.1265,3.1949,353.59,
beta-Propiolactone,1091,72.06,2.9031,3.1538,336.84,
Carbon disulfide,1938,76.14,1.7072,3.6171,333.44,
Carbon sulfide,1893,44.08,1.5799,3.4631,240.33,
Diethyl disulfide,1824,122.25,3.1372,3.7905,297.77,
Diethyl sulfide,1818,90.19,2.9078,3.6599,266.25,
Dimethyl disulfide,1828,94.2,2.643,3.5836,300.67,
Dimethyl sulfide,1820,62.14,2.1985,3.4975,273.25,
Dipropyl disulfide,1829,150.31,3.9145,3.8224,285.78,
Dipropyl sulfide,1817,118.24,3.5494,3.7766,267.42,
Ethyl-t-butyl sulfide,2816,118.24,3.1483,3.9335,268.45,
Hydrogen sulfide,1922,34.08,1.6941,3.0214,226.79,
Methyl ethyl sulfide,1813,76.16,2.5289,3.6109,271.4,
Methyl-n-butyl sulfide,2815,104.21,3.2429,3.7186,270.11,
Methyl-n-propyl sulfide,1814,90.19,2.9283,3.6524,267.83,
Methyl-t-butyl sulfide,1815,104.21,2.8002,3.909,273.18,
Methyl-t-pentyl sulfide,1816,118.24,2.965,4.0306,299.81,
Dichloro silane,1935,101.01,2.0805,3.6551,251.49,
Dimethyl chlorosilane,3987,94.62,2.5167,3.7771,240.78,
Dimethyl dichlorosilane,3989,129.06,3.0756,3.6923,238.85,
Dimethyl silane,3985,60.17,1.78211,4.0532,241.95,
Disilane,1980,62.22,1.4751,4.0212,284,
Hexamethyl disilazane,1964,161.39,4.4767,3.9173,219.01,
Hexamethyl disiloxane,1965,162.38,4.053,4.0466,214.19,
Methyl chlorosilane,3935,80.6,2.0443,3.7866,251.97,
Methyl dichlorosilane,3936,115.03,2.439,3.7565,251.73,
Methyl silane,3984,46.14,1.9149,3.6541,198.36,
Methyl trichlorosilane,3937,149.48,2.6034,3.8815,259.26,
Silane,1982,32.12,1.2356,3.8939,191.99,
Tetrachloro silane,1937,169.9,2.7298,3.768,246.27,
Tetraethyl silane,2994,144.33,3.7427,4.0716,259.04,
Tetramethyl silane,1984,88.22,2.744,3.915,217.89,
Trichloro silane,1936,135.45,2.4885,3.6894,241.65,
Trimethyl chlorosilane,3988,108.64,2.9076,3.8116,235.77,
Trimethyl silane,3986,74.2,2.2372,3.9955,230.66,
Benzyl benzoate,1364,212.24,5.7986,3.6609,299.33,
Butyl benzoate,1365,178.23,4.9127,3.7073,283.08,
Propyl benzoate,2392,164.2,4.6655,3.653,281.56,
Diethyl maleate,2386,172.18,5.3643,3.5877,257.45,
Dimethyl maleate,2387,144.13,5.0101,3.2679,262.83,
Dipropyl maleate,2388,200.23,7.2628,3.1371,235.22,
Dibutyl maleate,2382,228.28,8.2638,3.3552,234.78,
Diallyl maleate,2381,196.2,7.3289,3.2317,235.29,
Dimethyl phthalate,2377,194.18,5.6798,3.4496,284.56,
Diethyl phthalate,2375,222.24,6.8389,3.4744,262.72,
Dipropyl phthalate,1375,250.29,6.9781,3.6095,268.8,
Dibutyl phthalate,2376,278.34,7.7283,3.6571,265.37,
Diethyl succinate,2378,174.19,6.2233,3.3197,238.21,
Methyl oleate,1362,296.49,9.6659,3.6507,240.45,
Dihexyl adipate,2379,314.46,10.5322,3.5584,234.09,
Di(2-ethyl hexyl)adipate,3379,370.57,9.87444,3.9007,264.12,
dibutyl sebacate,1384,314.46,10.2719,3.5908,237.05,
