JuliaSAFT database,,,,,,
PC-SAFT,,,,,,
Compound,DIPPR Number,Mw,m,sigma,epsilon,Source
"2,2,3-Trimethylpentane",40,114.23,3.0954,4.067,260.59,
"2,3-Dimethylpentane",22,100.2,3.0643,3.9278,249.83,
"2,3-Dimethylhexane",33,114.23,3.4634,3.9298,249.02,
"3,4-Dimethylhexane",37,114.23,3.40258,3.9431,253.13,
"2,3,4-Trimethylpentane",43,114.23,3.2154,4.0164,257.82,
"2,2,3-Trimethylbutane",25,100.2,2.7373,4.0914,258.65,
"2,3,3-Trimethylpentane",42,114.23,3.01703,4.1001,268,
"2,2,4,4-Tetramethylpentane",53,128.26,3.17458,4.2086,262.92,
3-Ethylpentane,20,100.2,3.13961,3.9068,249.17,
"2,2-Dimethylhexane",32,114.23,3.44763,3.9603,243,
"2,2,4-Trimethylpentane",41,114.23,3.14126,4.0862,249.77,
"2,2,5-Trimethylhexane",47,128.26,3.762,3.9841,241.1,
"2,2-Dimethylheptane",96,128.26,3.8706,3.9496,243.3,
"2,2-Dimethyloctane",72,142.28,4.0461,4.0217,251.01,
"2,2-Dimethyl-3-ethylpentane",190,128.26,3.45027,4.0698,259.84,
"1,1-Dimethylcyclohexane",141,112.21,2.7196,4.1593,290.06,
Butylcyclohexane,152,140.27,3.6023,4.0637,285.97,
Butylcyclopentane,122,126.24,3.6442,3.9149,269.66,
Cyclobutane,102,56.11,2.0988,3.6189,254.45,
Cycloheptane,159,98.19,2.6975,3.9336,296.09,
Cyclooctane,160,112.21,2.8856,4.0117,307.03,
Cyclopropane,101,42.02,1.8258,3.5084,234.45,
Cis-decahydronaphthalene,153,138.25,2.985,4.1803,331.18,
Decylcyclohexane,158,224.43,6.0329,4.0083,272.23,
Isopropylcyclohexane,150,126.24,3.2678,4.0418,284.66,
Isopropylcyclopentane,115,112.21,3.032,4.0022,278.15,
Propylcyclohexane,149,126.24,3.2779,4.0499,285.91,
Propylcyclopentane,114,112.21,3.2639,3.9042,270.48,
Trans-decahydronaphthalene,154,138.25,2.9477,4.2365,325.91,
"1,1-Dimethylcyclopentane",108,98.19,2.7863,3.946,264.12,
Propadiene,301,40.06,1.5506,3.7082,257.73,
"1,2-Butadiene",302,54.09,2.2979,3.5395,239.01,
"1,3-Butadiene",303,54.09,2.2309,3.5892,228.6,
3-Methyl-1-hexene,240,98.19,3.3079,3.8017,236.03,
3-Methyl-1-pentene,222,84.16,2.6583,3.9175,245.25,
"2,3-Dimethyl-1-butene",230,84.16,2.9529,3.7347,247.15,
3-Methyl-1-butene,213,70.13,2.4541,3.8146,231.15,
"2,4,4-Trimethyl-1-pentene",256,112.21,3.065,4.0683,256.32,
"2,3-Dimethyl-1,3-butadiene",319,28.14,2.7005,3.7841,257.7,
Cycloheptene,273,96.17,2.9438,3.7689,279.23,
Cyclohexene,270,82.14,2.4475,3.8085,287.44,
Cyclooctene,274,110.2,3.011,3.8277,296.24,
Cyclopentadiene,315,66.1,1.9327,3.8126,294.29,
Vinylcyclohexene,285,108.18,2.8461,3.9732,291.41,
"1,3-Cyclohexadiene",331,80.13,2.5354,3.6946,280.68,
Cyclopentadiene,315,66.1,1.8823,3.8494,298.88,
Methylcyclopentadiene,312,80.13,2.7727,3.5933,260.55,
1-Heptyne,2414,96.17,3.2242,3.7744,252.76,
1-Hexyne,413,82.14,3.1555,3.5961,237.56,
1-Octyne,416,110.2,3.7647,3.7327,247.34,
1-Pentene-3-yne,421,66.1,2.1395,3.8483,291.31,
1-Pentene-4-yne,420,66.1,1.9914,3.8972,288,
1-Pentyne,405,68.13,2.8902,3.5105,228.48,
1-Propyne,402,40.06,2.4826,3.1024,205.18,
2-Hexyne,407,82.14,2.8604,3.7368,261.66,
2-Pentyne,412,68.13,2.3963,3.7472,269.25,
3-Hexyne,406,82.14,2.9295,3.7,255.43,
3-Methyl-1-butyne,414,66.1,2.7145,3.6141,227.51,
Ethyne,401,26.04,2.487,2.7578,156.17,
tert-Butylbenzene,521,134.22,3.4461,3.9669,287.79,
p-tert-Butylstyrene,621,160.26,3.8619,4.0487,303.56,
1-Butylnaphthalene,713,184.28,4.695,3.8582,311.66,
1-Decylnaphthalene,712,268.44,5.7671,4.2172,318.51,
