Clapeyron Database File,,,,,,,
Antoine Like Parameters for saturation pressure,,,,,,,
CAS,species,A,B,C,Tmin,Tmax,source
108-11-2,4-methyl-2-pentanol,9.6618,1566.76,204.79,315.0,427.65,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
108-88-3,toluene,9.05043,1327.62,217.625,286.44,409.61,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
95-48-7,o-cresol~|~2-methylphenol,9.183399999999999,1534.54,176.3,357.8,492.11,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
108-39-4,m-cresol~|~in-cresol~|~3-methylphenol~|~3-hydroxytoluene,9.2153,1556.83,167.6,368.8,503.28,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
106-44-5,p-cresol~|~4-methylphenol,9.1805,1525.32,163.4,369.1,502.93,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
583-61-9,"2,3-dimethylpyridine",9.1857,1536.35,206.4,327.9,462.24,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
108-47-4,"2,4-dimethylpyridine",9.209620000000001,1542.94,208.63,325.65,459.28,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
589-93-5,"2,5-dimethylpyridine",9.20857,1541.78,209.85,324.2,457.87,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
108-48-5,"2,6-dimethylpyridine",9.08748,1407.25,201.001,315.34,443.79,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
583-58-4,"3,4-dimethylpyridine",9.1892,1605.14,204.55,341.1,481.43,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
591-22-0,"3,5-dimethylpyridine",9.212900000000001,1595.15,207.24,335.73,473.68,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
291-64-5,cycloheptane,8.9633,1322.21997,215.297,291.4,418.89,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
108-87-2,methylcyclohexane,8.98232,1290.968,223.701,276.68,400.13,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
1640-89-7,ethylcyclopentane,9.00408,1293.712,220.12,279.88,402.39,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
2532-58-3,"(z)-1,3-dimethylcyclopentane~|~1,cis-3-dimethylcyclopentane~|~cis-1,3-dimethylcyclopentane",9.00405,1259.821,223.53,270.52,389.83,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
1759-58-6,"trans-1,3-dimethylcyclopentane~|~(1r,3r)-1,3-dimethylcyclopentane",8.95279,1232.161,221.42,269.74,389.15,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
592-76-7,1-heptene,9.026769999999999,1258.34,219.3,273.62,391.59,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
105-66-8,propylbutyrate~|~n-propylbutyrate~|~propyl butanoate~|~n-propylbutanoate~|~n-propyl n-butyrate~|~butanoic acid propyl ester,8.40455,1019.49,156.6,316.0,445.04,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
540-42-1,2-methylpropyl propanoate,8.5618,1042.3,156.5,321.6,436.3,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
142-82-5,heptane~|~n-heptane,9.02023,1263.909,216.432,277.71,396.53,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
591-76-4,2-methylhexane,8.99739,1235.52,219.497,270.55,387.88,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
589-34-4,3-methylhexane~|~3-methyl-hexane,8.995709999999999,1242.018,219.435,271.9,389.82,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
617-78-7,3-ethylpentane,9.00449,1254.055,220.136,272.9,391.62,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
590-35-2,"2,2-dimethylpentane",8.94392,1191.959,223.498,260.9,376.84,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
565-59-3,"2,3-dimethylpentane",8.98066,1238.986,221.942,281.56,387.89,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
108-08-7,"2,4-dimethylpentane",8.954419999999999,1193.612,221.807,262.4,378.01,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
562-49-2,"3,3-dimethylpentane",8.94912,1227.02,225.121,265.2,384.36,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
464-06-2,"2,2,3-trimethylbutane",8.91555,1199.397,225.908,260.9,379.04,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
111-70-6,1-heptanol~|~heptan-1-ol,9.01991,1274.89,140.94,355.1,475.03,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
98-86-2,acetophenone~|~methyl phenyl ketone,9.011610000000001,1627.23,187.547,360.46,520.0,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
100-41-4,ethylbenzene,9.06861,1415.77,212.3,306.32,436.63,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
95-47-6,"oxylene~|~o-xylene~|~1,2-dimethylbenzene",9.09789,1458.706,212.041,312.75,445.3,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
108-38-3,"mxylene~|~m-xylene~|~1,3-dimethylbenzene",9.140509999999999,1468.703,216.12,308.54,439.56,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
106-42-3,"pxylene~|~p-xylene~|~1,4-dimethylbenzene",9.10494,1446.832,214.627,307.81,438.88,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
90-00-6,2-ethylphenol,9.13365,1550.44,171.074,367.9,506.61,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
620-17-7,m-ethylphenol~|~3-ethylphenol,9.16568,1572.26,159.52399,381.72,520.46,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
123-07-9,4-ethyl-phenol,9.13227,1545.23999,156.468,381.67,520.01,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
526-75-0,"2,3-xylenol~|~2,3-dimethylphenol",9.12202,1576.78,166.173,377.86,519.64,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
105-67-9,"2,4-xylenol~|~2,4-dimethylphenol",9.18688,1592.78,170.004,373.76,513.04,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
95-87-4,"2,5-xylenol~|~2,5-dimethylphenol",9.13449,1563.14,167.453,373.66,513.46,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
576-26-1,"2,6-xylenol~|~2,6-dimethylphenol",9.19336,1627.23,187.547,361.76,503.66,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
95-65-8,"3,4-xylenol~|~3,4-dimethylphenol",9.211829999999999,1627.78,160.041,388.5,529.34,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
108-68-9,"3,5-xylenol~|~3,5-dimethylphenol",9.26229,1645.27,164.821,384.32,523.67,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
292-64-8,cyclooctane,8.98125,1434.67,209.712,316.0,453.27,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
2207-04-7,"1-1,4-dimethylcyclohexane",9.02425,1457.08,205.99,321.75,458.51,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
111-66-0,octene~|~1-octene~|~oct-1-ene,9.05985,1355.46,213.05,295.47,420.71,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
111-65-9,octane~|~n-octane,9.05075,1356.36,209.635,299.42,425.23,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
592-27-8,2-methylheptane,9.03877,1335.22,213.415,299.81,416.95,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
589-81-1,3-methylheptane,9.015329999999999,1326.14,211.813,306.32,418.36,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
589-53-7,4-methylheptane,9.02214,1325.704,212.367,292.5,417.05,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
619-99-8,3-ethylhexane,9.015329999999999,1327.93,212.645,292.9,418.01,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
590-73-8,"2,2-dimethylhexane",8.95748,1271.18,214.83,283.0,405.96,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
584-94-1,"2,3-dimethylhexane",8.99236,1314.29,214.059,290.0,415.13,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
589-43-5,"2,4-dimethylhexane~|~2 4-dimethylhexane",8.97399,1285.85,214.6,285.2,408.63,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
592-13-2,"2,5-dimethylhexane",8.98112,1285.47,214.248,285.2,408.2,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
563-16-6,"3,3-dimethylhexane",8.974029999999999,1306.96,217.376,286.1,411.59,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
583-48-2,"3,4-dimethylhexane",9.0031,1329.4,214.836,291.4,417.4,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
609-26-7,2-methyl-3-ethylpentane~|~3-ethyl-2-methylpentane~|~2-methyl-3-ethyl-pentane,8.9861,1317.05,215.229,289.5,415.31,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
1067-08-9,3-ethyl-3-methylpentane,8.9895,1345.92,219.584,290.1,418.46,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
564-02-3,"2,2,3-trimethylpentane",8.94826,1293.94,218.355,283.9,409.56,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
540-84-1,"isooctane~|~2,2,4-trimethylpentane",8.93646,1257.85,220.767,275.5,398.38,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
560-21-4,"2,3,3-trimethylpentane",8.96421,1325.81,220.161,287.0,414.91,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
565-75-3,"2,3,4-trimethylpentane",8.977,1314.31,217.481,300.19,413.19,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
594-82-1,"2,2,3,3-tetramethylbutane",8.9042,1270.1,219.5,375.2,406.0,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
111-87-5,1-octanol~|~octan-1-ol,8.90225,1274.8,131.99,368.8,495.15,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
123-96-6,2-octanol,8.5137,1060.4,122.5,354.0,480.72,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
589-62-8,4-octanol,10.08522,1816.393,190.02,283.0,353.0,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
91-22-5,chinoline~|~quinoline,9.1949,1812.25,195.45,385.18,543.11,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
103-65-1,propylbenzene~|~n-propylbenzene,9.076640000000001,1491.8,207.25,324.19,461.01,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
98-82-8,cumene~|~isopropylbenzene,9.061119999999999,1460.766,207.83,318.92,453.81,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
622-96-8,p-ethyltoluene~|~1-ethyl-4-methylbenzene,9.10862,1517.577,207.9,326.56,463.82,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
526-73-8,"1,2,3-trimethylbenzene",9.1711,1598.241,207.62,337.8,478.5,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
95-63-6,"1,2,4-trimethylbenzene",9.176919999999999,1579.353,209.29,332.64,471.34,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
108-67-8,"mesitylene~|~1,3,5-trimethylbenzene",9.22541,1581.36,210.01,330.06,466.1,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
124-11-8,1-nonene,9.0792,1436.2,205.69,316.02,447.59,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
106-27-4,isoamyl butyrate~|~isopentylbutanoate~|~isopentyl butyrate~|~3-methylbutyl butanoate,9.504470000000001,1805.08,222.3,342.0,480.28,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
111-84-2,nonane~|~n-nonane,9.07356,1438.03,202.694,319.57,451.64,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
3221-61-2,2-methyloctane,9.0366,1399.9,204.0,313.0,444.0,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
1071-26-7,"2,2-dimethylheptane",8.9553,1346.1,208.0,303.0,433.0,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
3522-94-9,"2,2,5-trimethylhexane",8.97372,1332.86,211.81,296.3,424.25,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
7154-79-2,"2,2,3,3-tetramethylpentane",8.95319,1397.69,213.78,306.6,442.0,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
1186-53-4,"2,2,3,4-tetramethylpentane",8.95552,1373.79,214.78,301.4,434.2,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
1070-87-7,"2,2,4,4-tetramethylpentane",8.92055,1324.65,216.08,292.79,423.04,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
16747-38-9,"2,3,3,4-tetramethylpentane",8.99105,1422.03,215.256,307.81,443.27,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
143-08-8,1-nonanol,8.83303,1297.75,125.0,382.1,515.58,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
91-20-3,naphthalene,9.13555,1733.71,201.859,368.44,523.4,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
104-51-8,butylbenzene~|~n-butylbenzene,9.103449999999999,1575.47,201.2,343.5,486.2,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
538-93-2,isobutylbenzene~|~2-methylpropyl benzene~|~(2-methylpropyl)benzene,9.05978,1529.96,204.64,334.19,475.5,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
105-05-5,"1,4-diethylbenzene",9.12958,1592.59,202.44,343.95,486.6,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
99-87-6,p-cymene~|~p-isopropyltoluene~|~4-isopropyltoluene~|~1-methyl-4-isopropylbenzene~|~1-(1-methylethyl)-4-methylbenzene,9.17215,1606.89,208.57,338.28,479.6,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
95-93-2,"1,2,4,5-tetramethylbenzene",9.18329,1660.56,200.64,354.8,500.2,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
493-01-6,cis-bicyclo[4.4.0]decane (cis-decalin),9.00019,1594.46,203.392,349.53,500.79,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
493-02-7,trans-bicyclo[4.4.0]decane (trans-decalin),8.98171,1564.683,206.259,342.33,492.0,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
124-18-5,decane~|~n-decane,9.068529999999999,1495.17,193.858,338.53,476.15,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
20291-95-6,"2,2,5-trimethylheptane",9.00345,1417.4,203.8,318.0,452.0,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
7154-80-5,"3,3,5-trimethylheptane",8.98014,1435.43,205.49,320.0,458.0,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
13475-81-5,"2,2,3,3-tetramethylhexane",8.96928,1464.03,209.06,322.38,463.2,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
1071-81-4,"2,2,5,5-tetramethylhexane",9.00614,1377.98,207.0,307.68,438.06,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
112-30-1,1-decanol~|~decan-1-ol,8.84905,1369.0,125.078,394.8,533.92,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
90-12-0,1-methylnaphthalene,9.160820000000001,1826.948,195.002,389.93,551.4,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
91-57-6,2-methylnaphthalene,9.1934,1840.268,198.395,387.07,547.5,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
1120-21-4,undecane~|~n-undecane,9.097100000000001,1569.57,187.7,356.25,499.0,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
92-52-4,biphenyl,9.1887,1841.48,185.15,400.77,561.6,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
112-40-3,dodecane~|~n-dodecane,9.12285,1639.27,181.84,372.89,520.24,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
101-81-5,diphenylmethane,9.1806,1862.64,181.65,408.2,571.7,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
629-50-5,tridecane~|~n-tridecane,9.13246,1690.67,174.22,388.85,540.19,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
85-01-8,phenanthrene,9.370809999999999,2329.54,195.28,461.6,650.0,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
120-12-7,anthracene,9.79891,2819.63,247.02,460.0,653.0,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
629-59-4,tetradecane~|~n-tetradecane,9.1379,1740.88,167.72,403.69,559.15,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
629-62-9,pentadecane~|~n-pentadecane,9.148489999999999,1789.95,161.38,417.8,576.9,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
544-76-3,hexadecane~|~n-hexadecane,9.15357,1830.51,154.45,431.47,593.8,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
629-78-7,heptadecane~|~n-heptadecane,9.139199999999999,1865.1,149.2,443.5,610.0,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
593-45-3,octadecane~|~n-octadecane,9.1271,1894.3,143.3,455.0,625.0,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
629-92-5,nonadecane~|~n-nonadecane,9.1402,1932.8,137.6,466.5,639.0,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
112-95-8,eicosane~|~n-eicosane,9.2771,2032.7,132.1,481.1,652.0,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
7698-05-7,deuterium chloride,9.06086,668.2,249.499,160.44,201.37,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
7616-94-6,perchloryl fluoride,9.02009,791.727,243.88,167.8,242.15,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
13637-63-3,chlorine fluoride (clf5)~|~chlorine pentafluoride,8.39423,653.06,206.6,194.8,277.68,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
7647-01-0,hydrogen chloride,9.2949,745.78,258.88,159.97,201.0,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
12125-02-9,ammonium chloride,11.480599999999999,3703.7,232.0,494.0,640.5,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
2696-92-6,nitrosyl chloride,9.48644,1094.73,249.7,209.4,285.01,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
7782-50-5,cl2~|~chlorine,9.0628,861.34,246.33,176.31,255.79,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
13983-20-5,deuterium hydride,8.141020000000001,77.1349,275.62,15.73,24.69,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
14104-45-1,deuterium iodide,7.72964,414.68,187.87,217.8,256.03,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
7782-39-0,deuterium,8.141020000000001,77.1349,275.62,15.2,18.97,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
800000-54-8,"deuterium, normal",8.25315,83.5251,275.22,17.57,26.23,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
7789-20-0,water-d2~|~heavywater~|~deuterium oxide,10.04327,1616.76,219.54,335.17,394.54,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
13550-49-7,ammonia-d3,9.61234,966.226,240.8,195.75,256.46,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
7664-39-3,hydrogen fluoride,9.80588,1475.6,287.88,212.1,312.83,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
10022-50-1,nitrogen dioxyfluoride,8.9583,654.55,238.0,151.0,214.12,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
7782-41-4,fluorine,8.89078,304.35,266.54,61.0,91.39,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
7783-41-7,oxygen difluoride,9.36109,545.05,269.91,93.1,137.4,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
7783-54-2,nitrogen trifluoride,8.90456,501.913,216.0,146.72,196.43,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
7783-60-0,sulfur tetrafluoride,8.9644,823.4,248.0,170.0,249.92,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
2551-62-4,sulfur hexafluoride,10.5409,1096.5,262.0,162.0,220.4,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
10034-85-2,hydrogen iodide,7.69803,405.33,186.13,217.9,256.12,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
1333-74-0,hydrogen,7.93954,66.7954,275.65,10.25,22.82,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
800000-51-5,"hydrogen, normal",7.94928,67.5078,275.7,13.33,22.94,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
7732-18-5,water,10.115639999999999,1687.537,230.17,273.2,473.2,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
7783-06-4,hydrogen sulfide,9.228819999999999,806.933,251.39,185.51,227.2,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
13465-07-1,dihydrogen disulfide,9.055,1199.0,225.0,256.0,367.55,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
13845-23-3,dihydrogen trisulfide,8.932,1488.0,209.0,328.0,473.96,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
13845-25-5,dihydrogen tetrasulfide,9.07,1772.0,196.0,384.0,547.3,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
13845-24-4,dihydrogen pentasulfide,9.445,2104.0,189.0,426.0,591.88,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
7783-07-5,hydrogen selenide,9.7603,927.6,240.0,177.0,213.0,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
7664-41-7,ammonia,9.4854,926.132,240.17,193.03,254.31,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
7803-51-2,phosphine~|~phosphorous trihydride,8.840489999999999,645.512,256.07,137.44,199.46,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
302-01-2,hydrazine,9.9268,1679.07,227.7,298.9,408.43,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
7440-59-7,helium~|~helium-4,6.6836,8.1548,273.71,1.85,5.34,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
14762-55-1,helium-3,6.3975,5.594,273.84,1.12,4.41,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
7553-56-2,i2~|~iodine,9.1431,1611.9,205.18,392.49,487.51,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
7439-90-9,krypton,8.7556,416.38,264.45,111.34,129.23,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
10102-43-9,nitric oxide~|~nitrogen oxide~|~nitrogen oxide (no),10.867899999999999,682.9386,268.27,106.94,127.56,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
7727-37-9,nitrogen,8.61947,255.68,266.55,60.81,83.65,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
10024-97-2,nitrous oxide~|~dinitrogen monoxide,9.12884,654.26,247.16,180.82,196.91,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
10544-72-6,dinitrogen tetroxide,9.50989,1185.722,234.18,254.17,320.69,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
7440-01-9,neon,8.209340000000001,78.38,270.55,24.33,29.55,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
7782-44-7,oxygen,8.81634,319.013,266.7,64.29,97.2,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
7446-09-5,sulfur dioxide,9.4072,999.9,237.19,199.71,279.47,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
10028-15-6,ozone,8.962,552.5,251.0,120.0,173.07,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
7446-11-9,sulfur trioxide,11.17575,1735.31,236.5,284.5,332.04,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
10043-92-2,radon,9.6204,884.41,255.0,158.0,222.9,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
7704-34-9,sulfur,8.96853,2500.12,186.3,527.98,768.55,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
7782-49-2,selenium,9.756499999999999,4213.0,202.0,724.0,1017.0,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
7440-63-3,xenon,8.76779,566.282,258.66,156.43,177.84,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
