Clapeyron Database File
DIPPR101 Like Parameters for molar volume (from Perry)
CAS,species,A,B,C,D,E,Tmin,Tmax
513-35-9,2-methyl-2-butene,83.927,-5640.5,-9.6453,1.1121e-5,2.0,139.39,470.0
513-53-1,2-butanethiol~|~sec-butyl mercaptan,60.649,-5785.9,-5.6113,1.5877e-17,6.0,133.02,554.0
526-73-8,"1,2,3-trimethylbenzene",78.341,-8019.8,-8.1458,3.8971e-6,2.0,247.79,664.5
534-15-6,"1,1-dimethoxyethane",53.637,-5251.2,-4.5649,1.6754e-17,6.0,159.95,507.8
539-30-0,benzyl ethyl ether~|~(ethoxymethyl)-benzene,68.541,-7886.2,-6.5804,2.4285e-6,2.0,275.65,662.0
540-54-5,propyl chloride~|~1-chloropropane,79.24,-5718.8,-8.789,8.4486e-6,2.0,150.35,503.15
540-67-0,methylethylether~|~ethyl methyl ether,78.586,-5176.3,-8.7501,9.1727e-6,2.0,160.0,437.8
540-84-1,"isooctane~|~2,2,4-trimethylpentane",84.912,-6722.2,-9.5157,7.2244e-6,2.0,165.78,543.8
541-73-1,"m-dichlorobenzene~|~1,3-dichlorobenzene",53.187,-6827.5,-4.3233,2.3112e-18,6.0,248.39,683.95
543-49-7,2-heptanol,124.23,-11637.0,-14.148,6.9486e-17,5.7,230.0,608.3
544-76-3,hexadecane~|~n-hexadecane,156.06,-15015.0,-18.941,6.8172e-6,2.0,291.31,723.0
554-12-1,methylpropionate~|~methyl propanoate,70.717,-6439.7,-6.9845,2.0129e-17,6.0,185.65,530.6
557-17-5,1-methoxypropane~|~methylpropyl ether~|~methyl-n-propylether~|~methyl n-propyl ether,67.942,-5419.1,-6.8067,4.7778e-17,6.0,133.97,476.25
557-91-5,"1,1-dibromoethane",62.711,-6503.5,-5.7669,1.0427e-6,2.0,210.15,628.0
560-21-4,"2,3,3-trimethylpentane",83.105,-6903.7,-9.1858,6.4703e-6,2.0,172.22,573.5
563-46-2,2-methyl-1-butene,93.131,-5525.4,-11.852,0.014205,1.0,135.58,465.0
563-80-4,3-methyl-2-butanone~|~methyl isopropyl ketone,45.242,-5324.4,-3.2551,3.0363e-18,6.0,180.15,553.4
565-59-3,"2,3-dimethylpentane",78.335,-6348.7,-8.5105,6.4311e-6,2.0,160.0,537.3
565-69-5,2-methyl-3-pentanone~|~ethyl isopropyl ketone,57.459,-6356.8,-4.9545,5.2015e-18,6.0,204.15,567.0
565-80-0,"diisopropyl ketone~|~di-isopropyl ketone~|~2,4-dimethyl-3-pentanone",50.868,-6036.5,-4.066,1.1326e-6,2.0,204.81,576.0
584-03-2,"1,2-butanediol",103.28,-11548.0,-10.925,4.256e-18,6.0,220.0,680.0
589-38-8,3-hexanone,73.155,-7242.9,-7.2569,1.2741e-17,6.0,217.5,582.82
590-18-1,(z)-2-butene~|~cis-2-butene,72.541,-4691.2,-7.9776,1.0368e-5,2.0,134.26,435.5
590-19-2,"1,2-butadiene",39.714,-3769.9,-2.6407,6.9379e-18,6.0,136.95,452.0
590-66-9,"1,1-dimethylcyclohexane",81.184,-6927.0,-8.8498,5.458e-6,2.0,239.66,591.15
590-67-0,1-methylcyclohexanol,134.63,-10682.0,-16.511,8.4427e-6,2.0,299.15,686.0
591-78-6,2-hexanone,107.44,-8528.6,-12.679,8.4606e-6,2.0,217.35,587.61
592-41-6,hexene~|~1-hexene~|~hex-1-ene,51.024,-4986.4,-4.2463,1.6768e-17,6.0,133.39,504.0
592-76-7,1-heptene,65.922,-6189.0,-6.3629,2.0091e-17,6.0,154.12,537.4
593-45-3,octadecane~|~n-octadecane,157.68,-16093.0,-18.954,5.9272e-6,2.0,301.31,747.0
593-53-3,r41~|~fluoromethane~|~methyl fluoride,59.123,-3043.7,-6.1845,1.6637e-5,2.0,131.35,317.42
594-82-1,"2,2,3,3-tetramethylbutane",57.963,-5901.5,-5.2048,9.1301e-18,6.0,373.96,568.0
598-23-2,3-methyl-1-butyne,69.459,-5250.0,-7.1125,7.9289e-17,6.0,183.45,463.2
598-25-4,"3-methyl-1,2-butadiene",66.575,-5213.4,-6.7693,4.8106e-6,2.0,159.53,490.0
598-53-8,methylisopropylether~|~isopropyl methyl ether,53.867,-4701.0,-4.7052,2.8791e-17,6.0,127.93,464.48
623-42-7,methylbutyrate~|~methyl butanoate~|~methyl n-butyrate,71.87,-6885.7,-7.0944,1.4903e-17,6.0,187.35,554.5
624-64-6,(e)-2-butene~|~trans-2-butene,71.704,-4563.1,-7.9053,1.1319e-5,2.0,167.62,428.6
624-72-6,"1,2-difluoroethane",84.625,-5217.4,-9.871,1.305e-5,2.0,215.0,445.0
624-83-9,methyl isocyanate,57.612,-5197.9,-5.1269,2.1702e-17,6.0,256.15,488.0
624-89-5,2-thiabutane~|~(methylthio)-ethane~|~methyl ethyl sulfide,79.07,-6114.1,-8.631,6.5333e-6,2.0,167.23,533.0
624-92-0,"2,3-dithiabutane~|~dimethyldisulfide",81.045,-6941.3,-8.777,5.5501e-6,2.0,188.44,615.0
625-44-5,methylisobutylether,57.984,-5339.6,-5.2362,2.0767e-17,6.0,150.0,497.0
625-54-7,2-ethoxy-propane~|~ethyl isopropyl ether,57.723,-5236.9,-5.2136,2.2998e-17,6.0,140.0,489.0
627-19-0,pentyne~|~1-pentyne,82.805,-5683.8,-9.4301,1.0767e-5,2.0,167.45,481.2
627-21-4,2-pentyne,137.29,-7447.1,-19.01,0.021415,1.0,163.83,519.0
628-28-4,methylbutyl ether~|~butyl methyl ether~|~methyl-n-butylether~|~methyl n-butyl ether,60.164,-5621.7,-5.53,1.8629e-17,6.0,157.48,512.74
628-29-5,2-thiahexane~|~methylbutyl sulfide~|~1-(methylthio)butane~|~methyl-n-butyl sulfide~|~methyl n-butyl sulfide,96.344,-7856.3,-11.058,7.308e-6,2.0,175.3,593.0
628-32-0,ethyl propyl ether,86.898,-6646.4,-9.5758,5.9615e-17,6.0,145.65,500.23
628-71-7,1-heptyne,59.083,-6031.8,-5.3072,1.4357e-17,6.0,192.22,547.0
628-80-8,1-methoxy-pentane~|~methyl pentyl ether~|~methyl-n-pentyl ether~|~methyl n-pentyl ether,61.907,-6188.9,-5.706,1.1767e-17,6.0,176.0,546.49
629-05-0,octyne~|~1-octyne,64.612,-6802.5,-6.0261,1.1013e-17,6.0,193.55,574.0
629-50-5,tridecane~|~n-tridecane,137.45,-12549.0,-16.543,7.1275e-6,2.0,267.76,675.0
629-59-4,tetradecane~|~n-tetradecane,140.47,-13231.0,-16.859,6.5877e-6,2.0,279.01,693.0
629-62-9,pentadecane~|~n-pentadecane,135.57,-13478.0,-16.022,5.6136e-6,2.0,283.07,708.0
629-78-7,heptadecane~|~n-heptadecane,156.95,-15557.0,-18.966,6.4559e-6,2.0,295.13,736.0
629-92-5,nonadecane~|~n-nonadecane,182.54,-17897.0,-22.498,7.4008e-6,2.0,305.04,758.0
630-08-0,carbon monoxide,45.698,-1076.6,-4.8814,7.5673e-5,2.0,68.15,132.92
689-97-4,butenyne~|~1-buten-3-yne~|~vinylacetylene,55.682,-4439.3,-5.0136,1.965e-17,6.0,173.15,454.0
693-02-7,hexyne~|~1-hexyne,133.2,-7492.9,-18.405,0.022062,1.0,141.25,516.2
693-89-0,methylcyclopentene~|~1-methylcyclopentene,52.732,-5286.9,-4.4509,1.0883e-17,6.0,146.62,542.0
764-35-2,2-hexyne,123.71,-7639.0,-16.451,0.016495,1.0,183.65,549.0
764-93-2,1-decyne,142.94,-11119.0,-17.818,1.102e-5,2.0,229.15,619.85
872-05-9,1-decene,68.401,-7776.9,-6.4637,6.375e-18,6.0,206.89,616.6
928-49-4,3-hexyne,47.091,-5104.0,-3.6371,0.00051621,1.0,170.05,544.0
992-94-9,methylsilane,37.205,-2590.3,-2.5993,6.0508e-6,2.0,116.34,352.5
993-00-0,methyl chlorosilane,95.984,-5401.7,-11.829,1.8092e-5,2.0,139.05,442.0
1111-74-6,dimethylsilane,63.08,-4062.3,-6.425,1.5115e-16,6.0,122.93,402.0
1120-21-4,undecane~|~n-undecane,131.0,-11143.0,-15.855,8.1871e-6,2.0,247.57,639.0
1120-62-3,3-methylcyclopentene,52.601,-5120.3,-4.4554,1.3288e-17,6.0,115.0,526.0
1333-74-0,hydrogen,12.69,-94.896,1.1125,0.00032915,2.0,13.95,33.19
1455-21-6,1-nonanethiol~|~nonyl mercaptan~|~n-nonyl mercaptan,106.2,-10982.0,-11.696,8.8955e-18,6.0,253.05,681.0
1551-21-9,3-methyl-2-thiabutane~|~methyl isopropyl sulfide,52.82,-5437.7,-4.442,9.5103e-18,6.0,171.64,553.1
1569-69-3,cyclohexanethiol~|~cyclohexyl mercaptan,85.146,-7843.7,-9.2982,5.1788e-6,2.0,189.64,664.0
1634-04-4,methyl-t-butylether~|~methyl tert-butyl ether~|~2-methoxy-2-methylpropane,57.1511,-5201.7,-5.1429,1.6529e-17,6.0,164.55,497.1
1639-09-4,1-heptanethiol~|~heptyl mercaptan~|~n-heptyl mercaptan,79.858,-8501.8,-8.1043,8.1501e-18,6.0,229.92,645.0
1640-89-7,ethylcyclopentane,88.671,-7012.7,-10.045,7.4578e-6,2.0,134.71,569.5
1678-91-7,ethylcyclohexane,80.208,-7203.2,-8.6023,4.5901e-6,2.0,161.84,609.15
2084-19-7,2-pentanethiol~|~2-pentyl mercaptan,58.985,-6193.1,-5.2746,7.3986e-18,6.0,160.75,584.3
2207-01-4,"cis-1,2-dimethylcyclohexane",78.952,-7075.4,-8.4344,4.5035e-6,2.0,223.16,606.15
2551-62-4,sulfur hexafluoride,29.16,-2383.6,-1.1342,0.0,0.0,223.15,318.69
3004-93-1,2-methyloctanoic acid~|~2-methyl-octanoicacid,105.7,-12458.0,-11.234,4.4629e-18,6.0,240.0,694.0
3452-09-3,1-nonyne,114.77,-9430.8,-13.631,8.1918e-6,2.0,223.15,598.05
3877-15-4,2-thiapentane~|~methylpropyl sulfide~|~1-(methylthio)-propane~|~methyl-n-propyl sulfide~|~methyl n-propyl sulfide,83.711,-6786.9,-9.2526,6.6666e-6,2.0,160.17,565.0
5756-43-4,1-ethoxy-hexane~|~ethylhexyl ether,77.523,-7978.8,-7.7757,1.0076e-17,6.0,180.0,583.0
6876-23-9,"trans-1,2-dimethylcyclohexane~|~(1r,2r)-1,2-dimethylcyclohexane",78.429,-6882.1,-8.4129,4.9831e-6,2.0,184.99,596.15
7440-01-9,neon,29.755,-271.06,-2.6081,0.000527,2.0,24.56,44.4
7440-37-1,argon,42.127,-1093.1,-4.1425,5.7254e-5,2.0,83.78,150.86
7440-59-7,helium~|~helium-4,11.533,-8.99,0.6724,0.2743,1.0,1.76,5.2
7443-52-9,trans-2-methylcyclohexanol,54.179,-7477.2,-4.22,3.5225e-18,6.0,269.15,617.0
7443-70-1,cis-2-methylcyclohexanol,125.1,-10288.0,-15.157,1.0918e-5,2.0,280.15,614.0
7446-09-5,sulfur dioxide,47.365,-4084.5,-3.6469,1.799e-17,6.0,197.67,430.75
7446-11-9,sulfur trioxide,180.99,-12060.0,-22.839,7.235e-17,6.0,289.95,490.85
7647-01-0,hcl~|~hydrogen chloride~|~hydrochloric acid,104.27,-3731.2,-15.047,0.03134,1.0,158.97,324.65
7664-39-3,hydrogen fluoride,59.544,-4143.8,-6.1764,1.4161e-5,2.0,189.79,461.15
7664-41-7,ammonia,90.483,-4669.7,-11.607,0.017194,1.0,195.41,405.65
7726-95-6,bromine,108.26,-6592.0,-14.16,0.016043,1.0,265.85,584.15
7727-37-9,nitrogen,58.282,-1084.1,-8.3144,0.044127,1.0,63.15,126.2
7732-18-5,water,73.649,-7258.2,-7.3037,4.1653e-6,2.0,273.16,647.096
7778-85-0,"1,2-dimethoxypropane",62.097,-6174.9,-5.715,1.2323e-17,6.0,226.1,543.0
7782-39-0,deuterium,18.947,-154.47,-0.5723,0.038899,1.0,18.73,38.35
7782-41-4,fluorine,42.393,-1103.3,-4.1203,5.7815e-5,2.0,53.48,144.12
7782-44-7,oxygen,51.245,-1200.2,-6.4361,0.028405,1.0,54.36,154.58
7782-50-5,cl2~|~chlorine,71.334,-3855.0,-8.5171,0.012378,1.0,172.12,417.15
7783-06-4,hydrogen sulfide,85.584,-3839.9,-11.199,0.018848,1.0,187.68,373.53
7783-54-2,nitrogen trifluoride,68.149,-2257.9,-8.9118,0.023233,1.0,66.46,234.0
7783-61-1,tetrafluorosilane~|~silicon tetrafluoride,272.85,-9548.9,-40.089,6.3699e-15,6.0,186.35,259.0
10024-97-2,nitrous oxide,96.512,-4045.0,-12.277,2.886e-5,2.0,182.3,309.57
10028-15-6,ozone,40.067,-2204.8,-2.9351,7.752e-16,6.0,80.15,261.0
10035-10-6,hydrogen bromide,29.315,-2424.5,-1.1354,2.3806e-18,6.0,185.15,363.15
10102-43-9,nitric oxide~|~nitrogen oxide (no),72.974,-2650.0,-8.261,9.7e-15,6.0,109.5,180.15
13511-13-2,propenylcyclohexene~|~1-allylcyclohexene~|~1-(2-propenyl)cyclohexene,64.268,-7298.9,-5.9109,4.8482e-18,6.0,199.0,636.0
132259-10-0,air,21.662,-692.39,-0.392,0.0047574,1.0,59.15,132.45
