Clapeyron Database File
DIPPR101 Like Parameters for molar volume (from Perry)
CAS,species,A,B,C,D,E,Tmin,Tmax
75-00-3,chloroethane~|~ethyl chloride,65.988,-4661.3,-6.8586,7.9404e-6,2.0,134.8,460.35
75-01-4,chloroethene~|~vinyl chloride,91.432,-5141.7,-10.981,1.4318e-5,2.0,119.36,432.0
75-04-7,ethylamine~|~ethanamine,81.56,-5596.9,-9.0779,8.792e-6,2.0,192.15,456.15
75-05-8,acetonitrile,58.302,-5385.6,-5.4954,5.3634e-6,2.0,229.32,545.5
75-07-0,ethanal~|~acetaldehyde,193.69,-8036.7,-29.502,0.043678,1.0,150.15,466.0
75-08-1,ethyl mercaptan,65.551,-5027.4,-6.6853,6.3208e-6,2.0,125.26,499.15
75-09-2,ch2cl2~|~dichloromethane,101.6,-6541.6,-12.247,1.2311e-5,2.0,178.01,510.0
75-10-5,r32~|~difluoromethane,69.132,-3847.7,-7.5868,1.5065e-5,2.0,136.95,351.255
75-12-7,formamide,100.3,-10763.0,-10.946,3.8503e-6,2.0,275.6,771.0
75-15-0,cs2~|~carbon disulfide,67.114,-4820.4,-7.5303,0.0091695,1.0,161.11,552.0
75-18-3,2-thiapropane~|~dimethylsulfide,84.39,-5740.6,-9.6454,1.0073e-5,2.0,174.88,503.04
75-19-4,cyclopropane,40.608,-3179.6,-2.8937,5.6131e-17,6.0,145.59,398.0
75-21-8,oxirane~|~ethyleneoxide,91.944,-5293.4,-11.682,0.014902,1.0,160.65,469.15
75-28-5,isobutane~|~2-methylpropane,108.43,-5039.9,-15.012,0.022725,1.0,113.54,407.8
75-29-6,2-chloropropane~|~isopropyl chloride,46.854,-4445.5,-3.6533,1.326e-17,6.0,155.97,489.0
75-31-0,2-propylamine~|~2-propanamine~|~isopropylamine,136.66,-7201.5,-18.934,0.022255,1.0,177.95,471.85
75-33-2,2-propanethiol~|~2-propyl mercaptan~|~isopropyl mercaptan,60.43,-5276.9,-5.6572,2.6039e-17,6.0,142.61,517.0
75-34-3,"1,1-dichloroethane",66.611,-5493.1,-6.7301,5.3579e-6,2.0,176.19,523.0
75-37-6,"r152a~|~difluoroethane~|~1,1-difluoroethane",73.491,-4385.9,-8.1851,1.2978e-5,2.0,154.56,386.44
75-50-3,trimethylamine,134.68,-6055.8,-19.415,0.028619,1.0,156.08,433.25
75-52-5,nitromethane,57.278,-6089.0,-4.9821,1.2154e-17,6.0,244.6,588.15
75-54-7,dichloromethylsilane~|~methyl dichlorosilane,79.788,-5420.0,-9.0702,1.1489e-5,2.0,182.55,483.0
75-65-0,tert-butanol~|~2-methyl-2-propanol~|~2-methylpropan-2-ol,172.27,-11589.0,-22.113,1.3703e-5,2.0,298.97,506.2
75-73-0,r14~|~perfluoromethane~|~tetrafluoromethane~|~carbon tetrafluoride,61.89,-2296.3,-7.086,3.4687e-5,2.0,89.56,227.51
75-94-5,vinyltrichlorosilane,54.571,-5561.5,-4.712,1.0702e-17,6.0,178.35,543.15
78-78-4,isopentane~|~methylbutane~|~2-methylbutane,71.308,-4976.0,-7.7169,8.7271e-6,2.0,113.25,460.4
78-80-8,isopropenylacetylene~|~2-methyl-1-buten-3-yne~|~2-methyl-1-butene-3-yne,95.453,-5448.8,-12.384,0.015643,1.0,160.15,492.0
78-87-5,"1,2-dichloropropane",65.955,-6015.6,-6.5509,4.3172e-6,2.0,172.71,572.0
78-93-3,butanone~|~2-butanone~|~methyl ethyl ketone,72.698,-6143.6,-7.5779,5.6476e-6,2.0,186.48,535.5
78-99-9,"1,1-dichloropropane",83.495,-6661.4,-9.2386,6.7652e-6,2.0,200.0,560.0
79-00-5,"1,1,2-trichloroethane",54.153,-6041.8,-4.5383,4.9833e-18,6.0,236.5,602.0
79-09-4,propionicacid~|~propanoic acid~|~n-propanoicacid,54.552,-7149.4,-4.2769,1.1843e-18,6.0,252.45,600.81
79-10-7,acrylicacid~|~propenoic acid,46.745,-6587.1,-3.2208,5.2253e-7,2.0,286.15,615.0
