Clapeyron Database File
PPCSAFT Unlike Parameters; Rehner et al.(2023)
species1,species2,k
acetonitrile,ethylformate~|~ethyl methanoate~|~formic acid ethyl ester,-0.0579766361971184
acetonitrile,aniline,-0.1535915120302881
acetonitrile,anisole~|~methoxybenzene~|~methyl phenyl ether,-0.1294212495454511
acetonitrile,2-methylpyridine,-0.041313974762384
acetonitrile,ethylacetate~|~ethyl ethanoate,-0.0721434388773096
acetonitrile,2-butanol~|~butan-2-ol,-0.0993123564323969
acetonitrile,ethylbenzene,-0.0562558465788071
acetonitrile,bromobenzene,-0.0262707178888793
acetonitrile,chlorobenzene~|~monochlorobenzene,-0.0247600561107456
acetonitrile,benzene,-0.0626940102935854
acetonitrile,hydrogen cyanide,-0.0365028387018074
acetonitrile,butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,-0.0985115590428584
acetonitrile,butanone~|~2-butanone~|~methyl ethyl ketone,-0.0181989194986215
acetonitrile,butane~|~n-butane,0.0101370125689732
acetonitrile,1-chlorobutane~|~butyl chloride~|~n-butyl chloride,-0.0109697001729079
acetonitrile,chcl3~|~chloroform~|~trichloromethane,-0.0864705731591901
acetonitrile,cyclohexane,0.0270439802358256
acetonitrile,cyclohexene,0.00363288282163
acetonitrile,methylcyclohexane,0.0050404555296642
acetonitrile,"diethylamine~|~n,n-diethylamine",-0.0687099246383701
acetonitrile,"dichloroethane~|~1,2-dichloroethane",-0.053110506838196
acetonitrile,ch2cl2~|~dichloromethane,-0.0616486169480122
acetonitrile,"dmf~|~dimethylformamide~|~n,n-dimethylformamide",-0.0382585841604793
acetonitrile,"dioxane~|~p-dioxane~|~1,4-dioxane",-0.0981926451241045
acetonitrile,butylacetate~|~n-butylacetate~|~butyl ethanoate~|~n-butylethanoate,-0.0707526229573235
acetonitrile,methylacetate~|~methyl ethanoate,-0.0684346783468696
acetonitrile,acetic acid,-0.0882586782772489
acetonitrile,hexane~|~n-hexane,0.0129143185072413
acetonitrile,heptane~|~n-heptane,0.0009181296434485
acetonitrile,isopentane~|~methylbutane~|~2-methylbutane,-0.0087981195922753
acetonitrile,2-propanol~|~propan-2-ol~|~isopropanol,-0.1060771915481881
acetonitrile,"isooctane~|~2,2,4-trimethylpentane",-0.0121740001053096
acetonitrile,"isoprene~|~2-methyl-1,3-butadiene",-0.0329534526386073
acetonitrile,methanol,-0.1474066573140803
acetonitrile,2-methoxyethanol~|~2-methoxyethan-1-ol,-0.1399885312535908
acetonitrile,"morpholine~|~tetrahydro-1,4-oxazine",-0.1352928975714422
acetonitrile,isobutanol~|~2-methyl-1-propanol,-0.1147968594416153
acetonitrile,nitromethane,-0.0096682136316601
acetonitrile,octane~|~n-octane,0.0251621035023883
acetonitrile,pentane~|~n-pentane,-0.0034345669555857
acetonitrile,propanol~|~1-propanol~|~propan-1-ol,-0.1006491510412745
acetonitrile,propionic acid~|~propanoic acid~|~n-propanoic acid,-0.0845204125099649
acetonitrile,pyridine,-0.0369996176063479
acetonitrile,dmso~|~dimethyl sulfoxide,0.0083404185639461
acetonitrile,tert-butanol~|~2-methyl-2-propanol~|~2-methylpropan-2-ol,-0.1018833068836565
acetonitrile,ccl4~|~tetrachloromethane~|~carbon tetrachloride,-0.0181161059116434
acetonitrile,thf~|~tetrahydrofuran,-0.0410509628140918
acetonitrile,toluene,-0.0664241356616724
acetonitrile,triethylamine,-0.0304045637425558
acetonitrile,tetrachloroethene~|~tetrachloroethylene,-0.014304672333365
acetonitrile,"r140a~|~1,1,1-trichloroethane",-0.0195319954591936
acetonitrile,trichloroethene~|~trichloroethylene,-0.0323012967804126
acetonitrile,vinyl acetate,-0.0607716436772512
acetonitrile,water,-0.1045085369400023
acetonitrile,"mxylene~|~m-xylene~|~1,3-dimethylbenzene",-0.0672856735166875
acetonitrile,"pxylene~|~p-xylene~|~1,4-dimethylbenzene",-0.0645661260393405
acetonitrile,trimethylchlorosilane~|~chlorotrimethylsilane,-0.0224626397367044
acetonitrile,"1,1,2,2-tetrachloroethane",-0.0955555531237937
acetonitrile,ammonia,-0.0599106701757101
acetonitrile,chloroethene~|~vinyl chloride,-0.0169009102347297
acetonitrile,acrylonitrile~|~2-propenenitrile,0.0104966590798798
acetonitrile,acrolein~|~2-propenal,-0.0033435147853578
acetonitrile,glycerol,-0.1540191732487185
acetonitrile,propane~|~n-propane,-0.0068080813653957
acetonitrile,propylacetate~|~n-propylacetate~|~propyl ethanoate~|~n-propylethanoate,-0.0647552684318999
acetonitrile,butylamine~|~1-butylamine~|~n-butylamine~|~1-butanamine,-0.1103400266877139
acetonitrile,pentene~|~1-pentene,-0.0222555195380845
acetonitrile,methyl methacrylate~|~methacrylic acid methyl ester,-0.0671963814647797
acetonitrile,2-methyl-2-butene,-0.0181738404777065
acetonitrile,isopentanol~|~3-methylbutan-1-ol~|~3-methyl-1-butanol,-0.1436358597740568
acetonitrile,1-hexanol~|~hexan-1-ol,-0.0651387420402479
acetonitrile,perfluorobenzene~|~hexafluorobenzene,-0.083781511985129
acetonitrile,acrylic acid~|~propenoic acid,-0.0984832352881147
acetonitrile,isobutyric acid~|~2-methylpropanoic acid,-0.0804468531716016
acetonitrile,isobutane~|~2-methylpropane,0.0088634108666989
acetonitrile,propionitrile~|~propanenitrile,-1.272150623374261e-5
acetonitrile,1-decene,-0.0217372495561605
acetonitrile,"1-trans-3-pentadiene~|~(e)-1,3-pentadiene~|~trans-1,3-pentadiene",-0.0550626750475185
acetonitrile,"butadiene~|~1,3-butadiene",-0.0489139569283334
acetonitrile,butenyne~|~1-buten-3-yne~|~vinylacetylene,-0.0915541889927217
acetonitrile,butene~|~1-butene,0.0013718600840415
acetonitrile,isopropylacetate~|~1-methylethyl ethanoate~|~acetic acid isopropyl ester,-0.0729713786949102
acetonitrile,"1,3-dioxolane",-0.1028918956313076
acetonitrile,nonane~|~n-nonane,0.0314652933263471
acetonitrile,methyl hexanoate~|~hexanoic acid methyl ester,-0.0910989155315018
acetonitrile,isobutene~|~isobutylene~|~2-methylpropene,-0.0180450248343592
acetonitrile,2-butene~|~(z)-2-butene~|~cis-2-butene,-0.0179568613039929
acetonitrile,sulfolane,-0.0202747519782041
acetonitrile,"2,4,4-trimethyl-1-pentene",-0.0242654438927273
acetonitrile,methanethiol~|~methyl mercaptan,-0.0662275205374421
acetonitrile,hexyne~|~1-hexyne,-0.0595795805846917
acetonitrile,1-heptyne,-0.0585897059006297
acetonitrile,gamma-butyrolactone~|~.gamma.-butyrolactone,-0.0385373869825658
acetonitrile,1-bromopropane~|~propyl bromide,-0.0028498351122652
acetonitrile,methylbutyrate~|~methyl butanoate~|~methyl n-butyrate,-0.0585853142497863
acetonitrile,octyne~|~1-octyne,-0.0482956519800149
acetonitrile,"acetylacetone~|~2,4-pentanedione",-0.0045877646298291
acetonitrile,methyl-t-butylether~|~methyl tert-butyl ether~|~2-methoxy-2-methylpropane~|~methyl tert-butyl ether~|~mtbe,-0.0475781653561294
acetonitrile,"1,4-cyclohexadiene",-0.0294815079618161
acetonitrile,methyl valerate~|~methyl pentanoate,-0.0847015272304699
acetonitrile,carbon dioxide,-0.1055360870294816
acetonitrile,ethane,-0.045735952683754
acetonitrile,ethylsuccinate~|~diethyl succinate~|~diethyl butanedioate,-0.0917098200626907
acetonitrile,tetraethoxysilane,-0.0859888965322727
acetonitrile,"pivalic acid~|~2,2-dimethylpropanoic acid~|~2,2-dimethyl-propanoic acid",-0.0613220229551931
acetonitrile,sec-butylacetate~|~1-methylpropyl ethanoate,-0.0843910453538709
acetonitrile,etbe~|~tert-butyl ethyl ether~|~ethyl tert-butyl ether~|~2-ethoxy-2-methylpropane~|~2-ethoxy-2-methyl-propane,-0.0429345843586812
acetonitrile,"dibutyl succinate~|~butanedioic acid, dibutyl ester",-0.1589189752940732
acetonitrile,butyne~|~1-butyne~|~ethylacetylene,-0.0604448718236034
acetonitrile,"2,2,4-trimethyl-2-pentene~|~2,4,4-trimethyl-2-pentene",-0.0275679992361422
acetonitrile,"ethyl tert-amyl ether~|~ethyl tert-pentyl ether~|~4,4-dimethyl-3-oxahexane~|~1,1-dimethylpropyl ethyl ether",-0.0387465691099224
acetonitrile,"2-methyl-6-methylene-2,7-octadiene~|~7-methyl-3-methylene-1,6-octadiene",-0.0749866686080991
acetone~|~propanone,bromoethane~|~ethyl bromide,0.012272656079657
acetone~|~propanone,diethyl ether,0.0034368521321907
acetone~|~propanone,2-propenol~|~2-propen-1-ol~|~allyl alcohol,-0.0835145556973127
acetone~|~propanone,ethylformate~|~ethyl methanoate~|~formic acid ethyl ester,-0.0090203506283719
acetone~|~propanone,aniline,-0.0626943145946061
acetone~|~propanone,anisole~|~methoxybenzene~|~methyl phenyl ether,0.0024564868465697
acetone~|~propanone,ethylacetate~|~ethyl ethanoate,-0.0091066543826652
acetone~|~propanone,2-butanol~|~butan-2-ol,-0.0484374561599695
acetone~|~propanone,ethylbenzene,0.0101621137324655
acetone~|~propanone,chlorobenzene~|~monochlorobenzene,0.0068259427611578
acetone~|~propanone,benzene,-0.0100245025251731
acetone~|~propanone,butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,-0.048614785563208
acetone~|~propanone,butanone~|~2-butanone~|~methyl ethyl ketone,0.0023950134788558
acetone~|~propanone,butane~|~n-butane,0.0322077576589451
acetone~|~propanone,"cis-1,2-dichloroethene~|~(z)-1,2-dichloroethene~|~cis-1,2-dichloroethylene",-0.025018214862754
acetone~|~propanone,1-chlorobutane~|~butyl chloride~|~n-butyl chloride,0.0155407006919157
acetone~|~propanone,chcl3~|~chloroform~|~trichloromethane,-0.0582730137502529
acetone~|~propanone,cyclohexane,0.0513118471295929
acetone~|~propanone,methylcyclohexane,0.0607146995948177
acetone~|~propanone,dibutyl ether~|~di-n-butylether,0.0210954777699177
acetone~|~propanone,decane~|~n-decane,0.0313850400681242
acetone~|~propanone,"diethylamine~|~n,n-diethylamine",-0.011778300999899
acetone~|~propanone,"diacetyl~|~butadione~|~2,3-butanedione",-0.0300143753697132
acetone~|~propanone,"dichloroethane~|~1,2-dichloroethane",-0.0161699783563671
acetone~|~propanone,"trans-1,2-dichloroethene~|~trans-1,2-dichloroethylene",-0.0280464265901905
acetone~|~propanone,ch2cl2~|~dichloromethane,-0.0373773023320584
acetone~|~propanone,"dmf~|~dimethylformamide~|~n,n-dimethylformamide",-0.0010995561656013
acetone~|~propanone,methylal~|~dimethoxymethane,-0.0123339156972549
acetone~|~propanone,"dioxane~|~p-dioxane~|~1,4-dioxane",-0.0204876560345675
acetone~|~propanone,dodecane~|~n-dodecane,0.0321888567681189
acetone~|~propanone,butylacetate~|~n-butylacetate~|~butyl ethanoate~|~n-butylethanoate,-0.0056870331852688
acetone~|~propanone,methylacetate~|~methyl ethanoate,-0.0063203216975294
acetone~|~propanone,acetic acid,-0.0554398987094738
acetone~|~propanone,furfural~|~2-furaldehyde,-0.000150301201889
acetone~|~propanone,hexane~|~n-hexane,0.038454601563984
acetone~|~propanone,heptane~|~n-heptane,0.0382624424926615
acetone~|~propanone,isopentane~|~methylbutane~|~2-methylbutane,0.0381826449756012
acetone~|~propanone,diisopropyl ether~|~di-isopropyl ether,0.0098666133797534
acetone~|~propanone,"isooctane~|~2,2,4-trimethylpentane",0.0448306598017063
acetone~|~propanone,"isoprene~|~2-methyl-1,3-butadiene",0.003152758924961
acetone~|~propanone,ch3i~|~iodomethane~|~methyl iodide,0.0208706125537374
acetone~|~propanone,hexene~|~1-hexene~|~hex-1-ene,0.0248101280407107
acetone~|~propanone,2-methoxyethanol~|~2-methoxyethan-1-ol,-0.0410290034342081
acetone~|~propanone,"morpholine~|~tetrahydro-1,4-oxazine",-0.0885947615950033
acetone~|~propanone,diacetone alcohol~|~4-oh-4-me-2-pentanone~|~4-hydroxy-4-methylpentan-2-one,-0.0924566781015495
acetone~|~propanone,4-methylpentan-2-one~|~4-methyl-2-pentanone~|~methyl isobutyl ketone,0.0005859721757629
acetone~|~propanone,isobutanol~|~2-methyl-1-propanol,-0.0493094639533299
acetone~|~propanone,alpha-methylstyrene~|~(1-methylethenyl)benzene,-0.0027816395139954
acetone~|~propanone,nitromethane,-0.0221444119175206
acetone~|~propanone,octane~|~n-octane,0.044461104876999
acetone~|~propanone,o-cresol~|~2-methylphenol,-0.0982943240429156
acetone~|~propanone,pentane~|~n-pentane,0.0358669797216786
acetone~|~propanone,phenol,-0.1269092765590445
acetone~|~propanone,propionic acid~|~propanoic acid~|~n-propanoic acid,-0.0406470332176134
acetone~|~propanone,"methyloxirane~|~1,2-epoxypropane~|~1,2-propylene oxide",-0.0034231891625151
acetone~|~propanone,pyridine,0.0022624672509506
acetone~|~propanone,cs2~|~carbon disulfide,0.0474365151530405
acetone~|~propanone,dmso~|~dimethyl sulfoxide,0.0009214141108434
acetone~|~propanone,tert-butanol~|~2-methyl-2-propanol~|~2-methylpropan-2-ol,-0.0411398916527233
acetone~|~propanone,tetradecane~|~n-tetradecane,0.0379824644511487
acetone~|~propanone,ccl4~|~tetrachloromethane~|~carbon tetrachloride,0.0161494836238417
acetone~|~propanone,thf~|~tetrahydrofuran,0.0042246730239231
acetone~|~propanone,toluene,0.0006282949010203
acetone~|~propanone,triethylamine,0.0201533602760918
acetone~|~propanone,tetrachloroethene~|~tetrachloroethylene,0.0376971319375702
acetone~|~propanone,"r140a~|~1,1,1-trichloroethane",0.0120546918815428
acetone~|~propanone,trichloroethene~|~trichloroethylene,-0.0030148405996346
acetone~|~propanone,vinyl acetate,-0.0055850691238935
acetone~|~propanone,"pxylene~|~p-xylene~|~1,4-dimethylbenzene",0.0142937364313404
acetone~|~propanone,"1,1,2,2-tetrachloroethane",-0.0573101818935819
acetone~|~propanone,butylpropionate~|~butyl propanoate~|~n-butylpropionate~|~propanoic acid butyl ester,-0.0002156075100951
acetone~|~propanone,chloroethene~|~vinyl chloride,-0.0262625354651627
acetone~|~propanone,"r113~|~1,1,2-trichlorotrifluoroethane~|~1,1,2-trichloro-1,2,2-trifluoroethane",0.0077442617464329
acetone~|~propanone,methylformamide~|~n-methylformamide,-0.0352878412382655
acetone~|~propanone,"n,n-dimethylacetamide~|~n,n-dimethylethanamide",-0.0212188763458479
acetone~|~propanone,acrolein~|~2-propenal,-0.003329768393204
acetone~|~propanone,3-buten-2-one~|~methyl vinyl ketone,0.0056332036611757
acetone~|~propanone,methacrylic acid~|~2-methyl-2-propenoic acid,-0.0561585604516141
acetone~|~propanone,acetic anhydride~|~ethanoic anhydride,-0.0046468712069342
acetone~|~propanone,propane~|~n-propane,1.2819883181372511e-5
acetone~|~propanone,propylacetate~|~n-propylacetate~|~propyl ethanoate~|~n-propylethanoate,-0.0076914354217652
acetone~|~propanone,oleic acid~|~cis-9-octadecenoic acid~|~(z)-9-octadecenoic acid,-0.0105484718407923
acetone~|~propanone,r22~|~chf2cl~|~chlorodifluoromethane~|~difluorochloromethane,-0.0571352441782775
acetone~|~propanone,r12~|~dichlorodifluoromethane,-0.0121204613111697
acetone~|~propanone,r20b3~|~chbr3~|~bromoform~|~tribromomethane,-0.0089828931274151
acetone~|~propanone,methyl methacrylate~|~methacrylic acid methyl ester,-1.2840743497071585e-5
acetone~|~propanone,2-methyl-2-butene,0.0231192667247859
acetone~|~propanone,2-methyl-1-butene,0.0210743382430446
acetone~|~propanone,ethoxyethanol~|~2-ethoxyethanol~|~2-ethoxyethan-1-ol,-0.0677321148878543
acetone~|~propanone,n-methylpyrrolidone~|~n-methyl-2-pyrrolidone~|~methyl-2-pyrrolidinone~|~n-methyl-2-pyrrolidinone,0.0048800927562491
acetone~|~propanone,3-pentanone~|~pentan-3-one~|~diethylketone,0.0016177740763893
acetone~|~propanone,1-hexanol~|~hexan-1-ol,-0.0239020722792494
acetone~|~propanone,perfluorobenzene~|~hexafluorobenzene,-0.0242723168315154
acetone~|~propanone,crotonaldehyde,0.011098134805994
acetone~|~propanone,isobutane~|~2-methylpropane,0.0287531467043239
acetone~|~propanone,"halothane~|~2-bromo-2-chloro-1,1,1-trifluoroethane~|~1-bromo-1-chloro-2,2,2-trifluoroethane",-0.0946441832992543
acetone~|~propanone,"oxylene~|~o-xylene~|~1,2-dimethylbenzene",0.0077031610142356
acetone~|~propanone,3-chloropropene~|~3-chloro-1-propene,0.0155751371584587
acetone~|~propanone,dipropyl ether~|~di-n-propylether,0.0039183071840258
acetone~|~propanone,cumene~|~isopropylbenzene,0.0135907172465951
acetone~|~propanone,"2,3-dimethylbutane",0.0416178341683004
acetone~|~propanone,butene~|~1-butene,0.0184596592685411
acetone~|~propanone,acetophenone~|~methyl phenyl ketone,0.0061063304264255
acetone~|~propanone,"1,3-dioxolane",-0.0258420222049528
acetone~|~propanone,tridecane~|~n-tridecane,0.0208851979329283
acetone~|~propanone,p-cymene~|~p-isopropyltoluene~|~4-isopropyltoluene~|~1-methyl-4-isopropylbenzene~|~1-(1-methylethyl)-4-methylbenzene,0.0705550465353534
acetone~|~propanone,nonane~|~n-nonane,0.0421055606316837
acetone~|~propanone,propanal~|~1-propanal~|~propionaldehyde,2.776227516297464e-5
acetone~|~propanone,mm~|~hexamethyldisiloxane,0.0150576737284302
acetone~|~propanone,"epichlorohydrin~|~alpha-epichlorohydrin~|~(chloromethyl)-oxirane~|~1-chloro-2,3-epoxypropane",0.0104086499975869
acetone~|~propanone,(e)-2-butene~|~trans-2-butene,0.0169824861338467
acetone~|~propanone,dimethyl carbonate~|~carbonic acid dimethyl ester,-0.0250607879388461
acetone~|~propanone,isobutene~|~isobutylene~|~2-methylpropene,0.0115789577207987
acetone~|~propanone,isobutanal~|~2-methylpropanal,0.0016481421899917
acetone~|~propanone,2-butene~|~(z)-2-butene~|~cis-2-butene,0.0145520501869823
acetone~|~propanone,methylacrylate~|~methyl propenoate~|~2-propenoic acid methyl ester,-0.0011223216581276
acetone~|~propanone,hexadecane~|~n-hexadecane,0.0414370194554739
acetone~|~propanone,sulfolane,0.003323185036782
acetone~|~propanone,"di-t-butyl peroxide~|~di-tert-butylperoxide~|~di-tert.butyl peroxide~|~bis(1,1-dimethylethyl)peroxide",-0.010672510699806
acetone~|~propanone,mesityl oxide~|~4-methyl-3-penten-2-one,-0.012933025207412
acetone~|~propanone,"n,n-diethylformamide",-0.0262909676823136
acetone~|~propanone,methanethiol~|~methyl mercaptan,-0.0227330758807973
acetone~|~propanone,dimethyl ether,0.0035814157765179
acetone~|~propanone,hexyne~|~1-hexyne,-0.0111411232823518
acetone~|~propanone,allyl acetate~|~aceticacid-2-propenylester~|~acetic acid 2-propenyl ester,-0.0291480491674617
acetone~|~propanone,trifluoroacetic acid~|~trifluoroethanoic acid,-0.1753668156618763
acetone~|~propanone,"isophorone~|~3,5,5-trimethyl-2-cyclohexen-1-one",0.020866632610466
acetone~|~propanone,"1,3-dichloropropane",-0.0052303230125789
acetone~|~propanone,formamide,-0.1134346923559948
acetone~|~propanone,2-nitrophenol~|~o-nitrophenol,-0.0439796670418796
acetone~|~propanone,guaiacol~|~2-methoxyphenol,-0.0645207704363767
acetone~|~propanone,methyl-t-butylether~|~methyl tert-butyl ether~|~2-methoxy-2-methylpropane~|~methyl tert-butyl ether~|~mtbe,0.0047345108264609
acetone~|~propanone,"2,2-dimethoxypropane~|~3,3-dimethyl-2,4-dioxapentane",-0.0109850194297107
acetone~|~propanone,isopropenylacetate~|~1-methylvinyl acetate~|~1-methylvinyl ethanoate,-0.01192723665576
acetone~|~propanone,"acetal~|~1,1-diethoxyethane",-0.0047589537131354
acetone~|~propanone,carbon dioxide,-0.004847947898652
acetone~|~propanone,methane,-0.0041662714078008
acetone~|~propanone,ethene~|~ethylene~|~1-ethylene,-0.0176661506975047
acetone~|~propanone,ethane,0.0408587853224324
acetone~|~propanone,propene~|~propylene,0.0004539966089404
acetone~|~propanone,ethine~|~ethyne~|~acetylene,-0.0664954435682299
acetone~|~propanone,"1,7-octadiene",0.0316786938145038
acetone~|~propanone,"1,4-dichlorobutane",0.0024601072872904
acetone~|~propanone,1-bromohexane,-0.0114374523650511
acetone~|~propanone,formylmorpholine~|~n-formylmorpholine,-0.0047523963159636
acetone~|~propanone,"2,3-dithiabutane~|~dimethyldisulfide",0.0158326388573759
acetone~|~propanone,1-chloropentane,0.0179136015464818
acetone~|~propanone,sulfur dioxide,-0.0932265472348847
acetone~|~propanone,etbe~|~tert-butyl ethyl ether~|~ethyl tert-butyl ether~|~2-ethoxy-2-methylpropane~|~2-ethoxy-2-methyl-propane,0.0063297392963113
acetone~|~propanone,gamma-valerolactone~|~tetrahydro-5-methyl-2-furanone~|~dihydro-5-methyl-2(3h)-furanone,0.0295956386870521
acetone~|~propanone,diethyl carbonate~|~carbonic acid diethyl ester,-0.0309221980559051
acetone~|~propanone,acetone cyanohydrin~|~2-hydroxy-2-methylpropionitrile,-0.0620719517069288
acetone~|~propanone,methyl 2-hydroxy-2-methylpropanoate~|~alpha-hydroxy-isobutyric acid methyl ester,-0.1456364504136064
acetone~|~propanone,n-methylimidazole,-0.0313041934560577
"ethylenediamine~|~1,2-diaminoethane~|~ethane-1,2-diamine",ethanol,-0.1351256139443519
"ethylenediamine~|~1,2-diaminoethane~|~ethane-1,2-diamine",benzene,0.0513480702069324
"ethylenediamine~|~1,2-diaminoethane~|~ethane-1,2-diamine","dmf~|~dimethylformamide~|~n,n-dimethylformamide",-0.0161473419313805
"ethylenediamine~|~1,2-diaminoethane~|~ethane-1,2-diamine",2-propanol~|~propan-2-ol~|~isopropanol,-0.0759746651548184
"ethylenediamine~|~1,2-diaminoethane~|~ethane-1,2-diamine",methanol,-0.1793514325316589
"ethylenediamine~|~1,2-diaminoethane~|~ethane-1,2-diamine",dmso~|~dimethyl sulfoxide,-0.0367575198528999
"ethylenediamine~|~1,2-diaminoethane~|~ethane-1,2-diamine",toluene,0.0662309543634573
"ethylenediamine~|~1,2-diaminoethane~|~ethane-1,2-diamine","oxylene~|~o-xylene~|~1,2-dimethylbenzene",0.0716449384924922
"ethylenediamine~|~1,2-diaminoethane~|~ethane-1,2-diamine",n-aminoethyl ethanolamine~|~n-(2-aminoethyl)ethanolamine~|~2-(2-aminoethyl)aminoethanol,0.014825985237108
"1,2-dibromoethane",2-butanol~|~butan-2-ol,0.0180661458747403
"1,2-dibromoethane",bromobenzene,0.0046637093264571
"1,2-dibromoethane",benzene,0.0034905000830457
"1,2-dibromoethane",butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,0.0209096537433605
"1,2-dibromoethane",chcl3~|~chloroform~|~trichloromethane,0.0045789336330706
"1,2-dibromoethane",cyclohexane,0.0305558512133867
"1,2-dibromoethane","dichloroethane~|~1,2-dichloroethane",0.0035430669295651
"1,2-dibromoethane","dioxane~|~p-dioxane~|~1,4-dioxane",0.0013196071616604
"1,2-dibromoethane",isobutanol~|~2-methyl-1-propanol,0.0187763919791795
"1,2-dibromoethane",tert-butanol~|~2-methyl-2-propanol~|~2-methylpropan-2-ol,0.0364425297307804
"1,2-dibromoethane",ccl4~|~tetrachloromethane~|~carbon tetrachloride,0.0156443373280381
"1,2-dibromoethane",toluene,0.0069506938644255
"1,2-dibromoethane","mxylene~|~m-xylene~|~1,3-dimethylbenzene",-0.0082784899689936
"1,2-dibromoethane","pxylene~|~p-xylene~|~1,4-dimethylbenzene",-0.0053938485638321
"1,2-dibromoethane",fluorobenzene,0.0103971796997633
"1,2-dibromoethane","1,1,2,2-tetrachloroethane",0.0017083576968382
"1,2-dibromoethane","oxylene~|~o-xylene~|~1,2-dimethylbenzene",-0.0064164180217349
"glycol~|~1,2-ethanediol~|~ethylene glycol",ethanol,0.0378434717754821
"glycol~|~1,2-ethanediol~|~ethylene glycol",2-propenol~|~2-propen-1-ol~|~allyl alcohol,-0.0033409984919248
"glycol~|~1,2-ethanediol~|~ethylene glycol",aniline,0.0121494708798426
"glycol~|~1,2-ethanediol~|~ethylene glycol",butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,0.006794349687811
"glycol~|~1,2-ethanediol~|~ethylene glycol","dmf~|~dimethylformamide~|~n,n-dimethylformamide",-0.2061228933409588
"glycol~|~1,2-ethanediol~|~ethylene glycol",2-propanol~|~propan-2-ol~|~isopropanol,0.01353464081625
"glycol~|~1,2-ethanediol~|~ethylene glycol",methanol,0.045520794061554
"glycol~|~1,2-ethanediol~|~ethylene glycol",naphthalene,-0.0289069952116886
"glycol~|~1,2-ethanediol~|~ethylene glycol",p-cresol~|~4-methylphenol,-0.0596158798588989
"glycol~|~1,2-ethanediol~|~ethylene glycol",phenol,-0.072334674793213
"glycol~|~1,2-ethanediol~|~ethylene glycol",propanol~|~1-propanol~|~propan-1-ol,0.0250657046273462
"glycol~|~1,2-ethanediol~|~ethylene glycol","methyloxirane~|~1,2-epoxypropane~|~1,2-propylene oxide",-0.0722924860164297
