Clapeyron Database File
PPCSAFT Unlike Parameters; Rehner et al.(2023)
species1,species2,k
ethanal~|~acetaldehyde,acetonitrile,-0.0047396817781802
ethanal~|~acetaldehyde,acetone~|~propanone,-0.0031209441610868
ethanal~|~acetaldehyde,ethanol,-0.1489635762249906
ethanal~|~acetaldehyde,diethyl ether,-0.0074796124636563
ethanal~|~acetaldehyde,oxirane~|~ethyleneoxide,-0.0050901934709135
ethanal~|~acetaldehyde,ethylacetate~|~ethyl ethanoate,-0.0379499135264164
ethanal~|~acetaldehyde,butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,-0.094146771790279
ethanal~|~acetaldehyde,"r150a~|~1,1-dichloroethane",-0.0004508383764894
ethanal~|~acetaldehyde,"dmf~|~dimethylformamide~|~n,n-dimethylformamide",-0.0015140118492983
ethanal~|~acetaldehyde,methylacetate~|~methyl ethanoate,-0.0272313480049679
ethanal~|~acetaldehyde,acetic acid,-0.0545744823038085
ethanal~|~acetaldehyde,2-propanol~|~propan-2-ol~|~isopropanol,-0.0549069732782016
ethanal~|~acetaldehyde,"isoprene~|~2-methyl-1,3-butadiene",-0.00908838089796
ethanal~|~acetaldehyde,ch3i~|~iodomethane~|~methyl iodide,0.0318948343293239
ethanal~|~acetaldehyde,"methyloxirane~|~1,2-epoxypropane~|~1,2-propylene oxide",-0.0055368617501635
ethanal~|~acetaldehyde,vinyl acetate,-0.0196970984117714
ethanal~|~acetaldehyde,water,-0.0731048441807234
ethanal~|~acetaldehyde,chloroethene~|~vinyl chloride,-0.0113642482238271
ethanal~|~acetaldehyde,acetic anhydride~|~ethanoic anhydride,-0.024180948156429
ethanal~|~acetaldehyde,pentene~|~1-pentene,0.007426677387099
ethanal~|~acetaldehyde,methylformate~|~methyl methanoate,-0.006027654289102
ethanal~|~acetaldehyde,crotonaldehyde,0.0172296774149397
ethanal~|~acetaldehyde,allyl acetate~|~aceticacid-2-propenylester~|~acetic acid 2-propenyl ester,-0.0609862194492458
ethanal~|~acetaldehyde,"ethylidene diacetate~|~ethylidene diethanoate~|~1,1-ethanedioldiacetate",-0.0193829701007464
ethanal~|~acetaldehyde,carbon dioxide,-0.0168055340807048
ethanal~|~acetaldehyde,methane,-0.0305499523796333
ethanal~|~acetaldehyde,butylvinylether~|~1-(ethenyloxy)butane,-0.0105128769378307
acetamide~|~ethanamide,2-butanol~|~butan-2-ol,-0.0785368306589695
acetamide~|~ethanamide,acetic acid,-0.0493822929432623
acetamide~|~ethanamide,water,0.0553509236834142
acetamide~|~ethanamide,sec-butylacetate~|~1-methylpropyl ethanoate,-0.0743693599280208
acetonitrile,acetone~|~propanone,-0.028130737122414
acetonitrile,"glycol~|~1,2-ethanediol~|~ethylene glycol",-0.1737591248982175
acetonitrile,ethanol,-0.1259855018060474
acetonitrile,diethyl ether,-0.0495398872644424
acetonitrile,2-propenol~|~2-propen-1-ol~|~allyl alcohol,-0.1357322972959583
