Clapeyron Database File
PCPSAFT Assoc Parameters; Rehner et al. (2023) [csvtype = assoc]
species1,site1,species2,site2,epsilon_assoc,bondvol
ethanal~|~acetaldehyde,e,2-propenol~|~2-propen-1-ol~|~allyl alcohol,H,2319.833028,0.04087
acetonitrile,e,formic acid~|~methanoic acid,H,2576.200877,0.60493
acetonitrile,e,methylformamide~|~n-methylformamide,H,2533.797104,0.9
acetone~|~propanone,e,"glycol~|~1,2-ethanediol~|~ethylene glycol",H,2034.475011,0.01627
acetone~|~propanone,e,ethanol,H,2038.447053,0.05533
acetone~|~propanone,e,formic acid~|~methanoic acid,H,2585.013595,0.60493
acetone~|~propanone,e,2-propanol~|~propan-2-ol~|~isopropanol,H,1574.379307,0.03508
acetone~|~propanone,e,methanol,H,2029.661646,0.08716
acetone~|~propanone,e,propanol~|~1-propanol~|~propan-1-ol,H,1669.54019,0.03853
acetone~|~propanone,e,water,H,1554.79088,0.35319
acetone~|~propanone,e,cyclopentanol,H,2073.17035,0.00178
acetone~|~propanone,e,glycerol,H,1817.19061,0.01123
acetone~|~propanone,e,cyclohexanol,H,1199.876356,0.00171
acetone~|~propanone,e,furfuryl alcohol~|~2-hydroxymethylfuran,H,2237.082808,0.19141
acetone~|~propanone,e,"resorcinol~|~1,3-benzenediol~|~1,3-dihydroxybenzene",H,2344.067417,0.02401
"glycol~|~1,2-ethanediol~|~ethylene glycol",e,oxirane~|~ethyleneoxide,H,1553.589456,0.01627
"glycol~|~1,2-ethanediol~|~ethylene glycol",e,ethylformate~|~ethyl methanoate~|~formic acid ethyl ester,H,967.0148473,0.01627
"glycol~|~1,2-ethanediol~|~ethylene glycol",e,ethylacetate~|~ethyl ethanoate,H,1390.983237,0.01627
"glycol~|~1,2-ethanediol~|~ethylene glycol",e,"n,n-dimethylaniline~|~n n-dimethylaniline",H,1423.726375,0.01627
"glycol~|~1,2-ethanediol~|~ethylene glycol",e,"dioxane~|~p-dioxane~|~1,4-dioxane",H,1585.382858,0.01627
"glycol~|~1,2-ethanediol~|~ethylene glycol",e,butylacetate~|~n-butylacetate~|~butyl ethanoate~|~n-butylethanoate,H,1795.982129,0.01627
"glycol~|~1,2-ethanediol~|~ethylene glycol",e,thf~|~tetrahydrofuran,H,1899.972054,0.01627
"glycol~|~1,2-ethanediol~|~ethylene glycol",e,"n,n-dimethylacetamide~|~n,n-dimethylethanamide",H,2650.42802,0.01627
"glycol~|~1,2-ethanediol~|~ethylene glycol",e,n-methylpyrrolidone~|~n-methyl-2-pyrrolidone~|~methyl-2-pyrrolidinone~|~n-methyl-2-pyrrolidinone,H,2877.053977,0.01627
"glycol~|~1,2-ethanediol~|~ethylene glycol",e,dimethyl carbonate~|~carbonic acid dimethyl ester,H,1018.364015,0.01627
"glycol~|~1,2-ethanediol~|~ethylene glycol",e,"ethylene diacetate~|~1,2-ethanedioldiacetate~|~ethylene glycol diacetate",H,1444.327439,0.01627
"glycol~|~1,2-ethanediol~|~ethylene glycol",e,hexanal~|~1-hexanal,H,2135.588882,0.01627
"glycol~|~1,2-ethanediol~|~ethylene glycol",e,formylmorpholine~|~n-formylmorpholine,H,2266.630505,0.01627
ethanol,e,ethylformate~|~ethyl methanoate~|~formic acid ethyl ester,H,1252.075357,0.05533
ethanol,e,2-methylpyridine,H,2098.558122,0.05533
ethanol,e,ethylacetate~|~ethyl ethanoate,H,1445.198872,0.05533
ethanol,e,nitrobenzene,H,2155.202212,0.05533
ethanol,e,butanone~|~2-butanone~|~methyl ethyl ketone,H,1973.386013,0.05533
ethanol,e,"diacetyl~|~butadione~|~2,3-butanedione",H,1391.291716,0.05533
ethanol,e,"n,n-dimethylaniline~|~n n-dimethylaniline",H,1126.892112,0.05533
ethanol,e,"dmf~|~dimethylformamide~|~n,n-dimethylformamide",H,2660.832308,0.05533
ethanol,e,"dioxane~|~p-dioxane~|~1,4-dioxane",H,1271.280198,0.05533
ethanol,e,"2,6-dimethylpyridine",H,2035.328385,0.05533
