Clapeyron Database File
PCPSAFT Assoc Parameters; Esper et al. (2023) [csvtype = assoc]
species1,site1,species2,site2,bondvol,epsilon_assoc,source
acetamide~|~ethanamide,a,acetamide~|~ethanamide,b,0.01458,1624.88542,10.1021/acs.iecr.3c02255
"ethylenediamine~|~1,2-diaminoethane~|~ethane-1,2-diamine",a,"ethylenediamine~|~1,2-diaminoethane~|~ethane-1,2-diamine",b,0.00021,1044.99964,10.1021/acs.iecr.3c02255
"glycol~|~1,2-ethanediol~|~ethylene glycol",a,"glycol~|~1,2-ethanediol~|~ethylene glycol",b,0.01627,2120.07538,10.1021/acs.iecr.3c02255
ethanol,a,ethanol,b,0.05533,2462.30577,10.1021/acs.iecr.3c02255
2-propenol~|~2-propen-1-ol~|~allyl alcohol,a,2-propenol~|~2-propen-1-ol~|~allyl alcohol,b,0.04087,2121.43119,10.1021/acs.iecr.3c02255
formic acid~|~methanoic acid,a,formic acid~|~methanoic acid,b,0.60493,2287.69614,10.1021/acs.iecr.3c02255
aniline,a,aniline,b,0.02373,1288.02766,10.1021/acs.iecr.3c02255
2-butanol~|~butan-2-ol,a,2-butanol~|~butan-2-ol,b,0.00622,2290.34273,10.1021/acs.iecr.3c02255
"2,3-butanediol",a,"2,3-butanediol",b,0.03413,2912.47798,10.1021/acs.iecr.3c02255
benzylalcohol~|~benzenemethanol,a,benzylalcohol~|~benzenemethanol,b,0.00222,3018.90586,10.1021/acs.iecr.3c02255
"acetoin~|~2,3-butanolone~|~3-hydroxy-2-butanone",a,"acetoin~|~2,3-butanolone~|~3-hydroxy-2-butanone",b,0.0001,2989.63941,10.1021/acs.iecr.3c02255
2-butoxyethanol~|~2-butoxyethan-1-ol,a,2-butoxyethanol~|~2-butoxyethan-1-ol,b,0.0001,2099.19184,10.1021/acs.iecr.3c02255
butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,a,butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,b,0.01435,2163.47788,10.1021/acs.iecr.3c02255
2-chloroethanol~|~1-chloro-2-hydroxyethane,a,2-chloroethanol~|~1-chloro-2-hydroxyethane,b,0.0001,2105.29294,10.1021/acs.iecr.3c02255
2-butoxime~|~2-butanone oxime~|~methyl ethyl ketoxime,a,2-butoxime~|~2-butanone oxime~|~methyl ethyl ketoxime,b,0.01161,3121.70164,10.1021/acs.iecr.3c02255
m-cresol~|~in-cresol~|~3-methylphenol~|~3-hydroxytoluene,a,m-cresol~|~in-cresol~|~3-methylphenol~|~3-hydroxytoluene,b,0.00017,2918.11841,10.1021/acs.iecr.3c02255
"diethylamine~|~n,n-diethylamine",a,"diethylamine~|~n,n-diethylamine",b,0.01197,875.08525,10.1021/acs.iecr.3c02255
acetic acid,a,acetic acid,b,0.0001,200.0,10.1021/acs.iecr.3c02255
dipropylamine~|~1-propanamine~|~di-n-propylamine,a,dipropylamine~|~1-propanamine~|~di-n-propylamine,b,0.9,1770.79743,10.1021/acs.iecr.3c02255
hydrazine,a,hydrazine,b,0.46362,1429.71353,10.1021/acs.iecr.3c02255
2-propanol~|~propan-2-ol~|~isopropanol,a,2-propanol~|~propan-2-ol~|~isopropanol,b,0.03508,1898.4667,10.1021/acs.iecr.3c02255
diisopropylamine~|~di-isopropyl amine,a,diisopropylamine~|~di-isopropyl amine,b,0.36957,428.58459,10.1021/acs.iecr.3c02255
hexylamine~|~n-hexylamine~|~1-hexanamine,a,hexylamine~|~n-hexylamine~|~1-hexanamine,b,0.38457,2222.44907,10.1021/acs.iecr.3c02255
methanol,a,methanol,b,0.08716,2465.13545,10.1021/acs.iecr.3c02255
2-methoxyethanol~|~2-methoxyethan-1-ol,a,2-methoxyethanol~|~2-methoxyethan-1-ol,b,0.22091,1151.53518,10.1021/acs.iecr.3c02255
"morpholine~|~tetrahydro-1,4-oxazine",a,"morpholine~|~tetrahydro-1,4-oxazine",b,0.0001,1849.45327,10.1021/acs.iecr.3c02255
