Clapeyron Estimator,,,,
heat_capacity,,,,
p,T,Cid,Aid,out_heat_capacity
100000.00,283.15,2,1,300.20
100000.00,288.15,2,1,301.70
100000.00,293.15,2,1,303.20
100000.00,298.15,2,1,304.90
100000.00,303.15,2,1,306.60
100000.00,308.15,2,1,308.40
100000.00,313.15,2,1,310.20
100000.00,318.15,2,1,312.20
100000.00,323.15,2,1,314.20
2000000.00,283.15,2,1,300.20
2000000.00,288.15,2,1,301.70
2000000.00,293.15,2,1,303.30
2000000.00,298.15,2,1,304.90
2000000.00,303.15,2,1,306.60
2000000.00,308.15,2,1,308.40
2000000.00,313.15,2,1,310.30
2000000.00,318.15,2,1,312.20
2000000.00,323.15,2,1,314.20
4000000.00,283.15,2,1,300.20
4000000.00,288.15,2,1,301.70
4000000.00,293.15,2,1,303.30
4000000.00,298.15,2,1,304.90
4000000.00,303.15,2,1,306.60
4000000.00,308.15,2,1,308.40
4000000.00,313.15,2,1,310.30
4000000.00,318.15,2,1,312.20
4000000.00,323.15,2,1,314.20
6000000.00,283.15,2,1,300.30
6000000.00,288.15,2,1,301.80
6000000.00,293.15,2,1,303.30
6000000.00,298.15,2,1,305.00
6000000.00,303.15,2,1,306.70
6000000.00,308.15,2,1,308.50
6000000.00,313.15,2,1,310.30
6000000.00,318.15,2,1,312.30
6000000.00,323.15,2,1,314.30
8000000.00,283.15,2,1,300.30
8000000.00,288.15,2,1,301.80
8000000.00,293.15,2,1,303.40
8000000.00,298.15,2,1,305.00
8000000.00,303.15,2,1,306.70
8000000.00,308.15,2,1,308.50
8000000.00,313.15,2,1,310.40
8000000.00,318.15,2,1,312.30
8000000.00,323.15,2,1,314.30
10000000.00,283.15,2,1,300.30
10000000.00,288.15,2,1,301.80
10000000.00,293.15,2,1,303.40
10000000.00,298.15,2,1,305.00
10000000.00,303.15,2,1,306.70
10000000.00,308.15,2,1,308.50
10000000.00,313.15,2,1,310.40
10000000.00,318.15,2,1,312.30
10000000.00,323.15,2,1,314.30
12000000.00,283.15,2,1,300.40
12000000.00,288.15,2,1,301.90
12000000.00,293.15,2,1,303.40
12000000.00,298.15,2,1,305.10
12000000.00,303.15,2,1,306.80
12000000.00,308.15,2,1,308.60
12000000.00,313.15,2,1,310.40
12000000.00,318.15,2,1,312.40
12000000.00,323.15,2,1,314.40
14000000.00,283.15,2,1,300.40
14000000.00,288.15,2,1,301.90
14000000.00,293.15,2,1,303.40
14000000.00,298.15,2,1,305.10
14000000.00,303.15,2,1,306.80
14000000.00,308.15,2,1,308.60
14000000.00,313.15,2,1,310.40
14000000.00,318.15,2,1,312.40
14000000.00,323.15,2,1,314.40
20000000.00,283.15,2,1,300.50
20000000.00,288.15,2,1,302.00
20000000.00,293.15,2,1,303.50
20000000.00,298.15,2,1,305.20
20000000.00,303.15,2,1,306.90
20000000.00,308.15,2,1,308.70
20000000.00,313.15,2,1,310.50
20000000.00,318.15,2,1,312.50
20000000.00,323.15,2,1,314.50
30000000.00,283.15,2,1,300.60
30000000.00,288.15,2,1,302.10
30000000.00,293.15,2,1,303.70
30000000.00,298.15,2,1,305.30
30000000.00,303.15,2,1,307.10
30000000.00,308.15,2,1,308.80
30000000.00,313.15,2,1,310.70
30000000.00,318.15,2,1,312.60
30000000.00,323.15,2,1,314.60
40000000.00,283.15,2,1,300.70
40000000.00,288.15,2,1,302.20
40000000.00,293.15,2,1,303.80
40000000.00,298.15,2,1,305.50
40000000.00,303.15,2,1,307.20
40000000.00,308.15,2,1,309.00
40000000.00,313.15,2,1,310.90
40000000.00,318.15,2,1,312.80
40000000.00,323.15,2,1,314.80
50000000.00,283.15,2,1,300.90
50000000.00,288.15,2,1,302.40
50000000.00,293.15,2,1,304.00
50000000.00,298.15,2,1,305.60
50000000.00,303.15,2,1,307.40
50000000.00,308.15,2,1,309.20
50000000.00,313.15,2,1,311.00
50000000.00,318.15,2,1,312.90
50000000.00,323.15,2,1,314.90
60000000.00,283.15,2,1,301.00
60000000.00,288.15,2,1,302.50
60000000.00,293.15,2,1,304.10
60000000.00,298.15,2,1,305.80
60000000.00,303.15,2,1,307.50
60000000.00,308.15,2,1,309.30
60000000.00,313.15,2,1,311.20
60000000.00,318.15,2,1,313.10
60000000.00,323.15,2,1,315.10
