Clapeyron Estimator,,,,
speedofsound,,,,
p,T,Cid,Aid,out_speedofsound
101325.00,283.15,3,1,1604.50
101325.00,288.15,3,1,1591.10
101325.00,293.15,3,1,1578.00
101325.00,298.15,3,1,1565.10
101325.00,303.15,3,1,1552.60
101325.00,308.15,3,1,1540.30
101325.00,313.15,3,1,1528.30
101325.00,318.15,3,1,1516.50
101325.00,323.15,3,1,1505.10
101325.00,328.15,3,1,1493.90
101325.00,333.15,3,1,1483.00
101325.00,338.15,3,1,1472.00
101325.00,343.15,3,1,1462.10
