Clapeyron Estimator,,,,
density_,,,,
p,T,Cid,Aid,out_density
100000.0,283.15,2,1,1297.00
100000.0,288.15,2,1,1293.20
100000.0,293.15,2,1,1289.40
100000.0,298.15,2,1,1285.50
100000.0,303.15,2,1,1281.70
100000.0,308.15,2,1,1277.90
100000.0,313.15,2,1,1274.20
100000.0,318.15,2,1,1270.40
100000.0,323.15,2,1,1266.70
2000000.0,283.15,2,1,1297.80
2000000.0,288.15,2,1,1294.00
2000000.0,293.15,2,1,1290.20
2000000.0,298.15,2,1,1286.30
2000000.0,303.15,2,1,1282.60
2000000.0,308.15,2,1,1278.80
2000000.0,313.15,2,1,1275.00
2000000.0,318.15,2,1,1271.30
2000000.0,323.15,2,1,1267.60
4000000.0,283.15,2,1,1298.70
4000000.0,288.15,2,1,1294.90
4000000.0,293.15,2,1,1291.00
4000000.0,298.15,2,1,1287.20
4000000.0,303.15,2,1,1283.40
4000000.0,308.15,2,1,1279.70
4000000.0,313.15,2,1,1275.90
4000000.0,318.15,2,1,1272.20
4000000.0,323.15,2,1,1268.50
6000000.0,283.15,2,1,1299.50
6000000.0,288.15,2,1,1295.70
6000000.0,293.15,2,1,1291.90
6000000.0,298.15,2,1,1288.10
6000000.0,303.15,2,1,1284.30
6000000.0,308.15,2,1,1280.60
6000000.0,313.15,2,1,1276.80
6000000.0,318.15,2,1,1273.10
6000000.0,323.15,2,1,1269.50
8000000.0,283.15,2,1,1300.40
8000000.0,288.15,2,1,1296.60
8000000.0,293.15,2,1,1292.80
8000000.0,298.15,2,1,1289.00
8000000.0,303.15,2,1,1285.30
8000000.0,308.15,2,1,1281.50
8000000.0,313.15,2,1,1277.70
8000000.0,318.15,2,1,1274.00
8000000.0,323.15,2,1,1270.40
10000000.0,283.15,2,1,1301.20
10000000.0,288.15,2,1,1297.50
10000000.0,293.15,2,1,1293.60
10000000.0,298.15,2,1,1289.80
10000000.0,303.15,2,1,1286.10
10000000.0,308.15,2,1,1282.30
10000000.0,313.15,2,1,1278.60
10000000.0,318.15,2,1,1275.00
10000000.0,323.15,2,1,1271.30
12000000.0,283.15,2,1,1302.00
12000000.0,288.15,2,1,1298.30
12000000.0,293.15,2,1,1294.50
12000000.0,298.15,2,1,1290.70
12000000.0,303.15,2,1,1287.00
12000000.0,308.15,2,1,1283.20
12000000.0,313.15,2,1,1279.50
12000000.0,318.15,2,1,1275.90
12000000.0,323.15,2,1,1272.20
14000000.0,283.15,2,1,1302.80
14000000.0,288.15,2,1,1299.10
14000000.0,293.15,2,1,1295.30
14000000.0,298.15,2,1,1291.50
14000000.0,303.15,2,1,1287.80
14000000.0,308.15,2,1,1284.10
14000000.0,313.15,2,1,1280.40
14000000.0,318.15,2,1,1276.70
14000000.0,323.15,2,1,1273.10
20000000.0,283.15,2,1,1305.30
20000000.0,288.15,2,1,1301.60
20000000.0,293.15,2,1,1297.80
20000000.0,298.15,2,1,1294.00
20000000.0,303.15,2,1,1290.40
20000000.0,308.15,2,1,1286.70
20000000.0,313.15,2,1,1283.00
20000000.0,318.15,2,1,1279.40
20000000.0,323.15,2,1,1275.80
30000000.0,283.15,2,1,1309.30
30000000.0,288.15,2,1,1305.60
30000000.0,293.15,2,1,1301.90
30000000.0,298.15,2,1,1298.20
30000000.0,303.15,2,1,1294.50
30000000.0,308.15,2,1,1290.80
30000000.0,313.15,2,1,1287.30
30000000.0,318.15,2,1,1283.70
30000000.0,323.15,2,1,1280.10
40000000.0,283.15,2,1,1313.30
40000000.0,288.15,2,1,1309.50
40000000.0,293.15,2,1,1305.80
40000000.0,298.15,2,1,1302.20
40000000.0,303.15,2,1,1298.60
40000000.0,308.15,2,1,1295.00
40000000.0,313.15,2,1,1291.40
40000000.0,318.15,2,1,1287.80
40000000.0,323.15,2,1,1284.30
50000000.0,283.15,2,1,1317.10
50000000.0,288.15,2,1,1313.40
50000000.0,293.15,2,1,1309.70
50000000.0,298.15,2,1,1306.10
50000000.0,303.15,2,1,1302.60
50000000.0,308.15,2,1,1298.90
50000000.0,313.15,2,1,1295.40
50000000.0,318.15,2,1,1291.90
50000000.0,323.15,2,1,1288.40
60000000.0,283.15,2,1,1320.80
60000000.0,288.15,2,1,1317.20
60000000.0,293.15,2,1,1313.50
60000000.0,298.15,2,1,1310.00
60000000.0,303.15,2,1,1306.40
60000000.0,308.15,2,1,1302.80
60000000.0,313.15,2,1,1299.40
60000000.0,318.15,2,1,1295.90
60000000.0,323.15,2,1,1292.40
