Clapeyron Database File,,,,,,,,,,,,,,,
SaftVRMie like Parameters [csvtype=like],,,,,,,,,,,,,,,
species,Mw,N_a,N_h,vst,S,lambda_r,lambda_a,sigma,sigma_born,epsilon,charge,n_H,n_e1,n_e2,source
H2O,18.,1,2,1.,1.0000,17.020,6.0000,3.0063,,266.68,0,2,2,0,
CH3,15.,1,3,1.,0.5726,15.050,6.0000,4.0772,,256.77,0,0,0,0,
CH2,14.,1,2,1.,0.2293,19.871,6.0000,4.8801,,473.39,0,0,0,0,
iCOO,18.,3,0,1.,0.5559,8.0000,6.0000,4.3331,4.6364,21.264,-1,0,4,0,
Na,23.,1,0,1.,1.0000,12.000,6.0000,2.3200,3.3600,31.711,1,0,0,0,
