Clapeyron Estimator,,,,
heat_capacity,,,,
p,T,Cid,Aid,out_heat_capacity
101325.00,283.15,2,1,303.40
101325.00,288.15,2,1,304.90
101325.00,293.15,2,1,306.50
101325.00,298.15,2,1,308.10
101325.00,303.15,2,1,309.80
101325.00,308.15,2,1,311.50
101325.00,313.15,2,1,313.20
101325.00,318.15,2,1,315.00
101325.00,323.15,2,1,316.80
101325.00,328.15,2,1,318.70
101325.00,333.15,2,1,320.60
101325.00,338.15,2,1,322.50
101325.00,343.15,2,1,324.50
101325.00,348.15,2,1,326.50
101325.00,353.15,2,1,328.60
101325.00,358.15,2,1,330.70
