Clapeyron Estimator,,,,
density_,,,,
p,T,Cid,Aid,out_density
101325.00,273.15,2,4,1115.30
101325.00,278.15,2,4,1112.10
101325.00,283.15,2,4,1109.00
101325.00,288.15,2,4,1105.80
101325.00,293.15,2,4,1102.70
101325.00,298.15,2,4,1099.70
101325.00,303.15,2,4,1096.60
101325.00,308.15,2,4,1093.60
101325.00,313.15,2,4,1090.60
101325.00,323.15,2,4,1084.50
101325.00,328.15,2,4,1081.50
101325.00,333.15,2,4,1078.50
101325.00,338.15,2,4,1075.50
101325.00,343.15,2,4,1072.60
101325.00,348.15,2,4,1069.60
101325.00,353.15,2,4,1066.70
101325.00,358.15,2,4,1063.70
101325.00,363.15,2,4,1060.80
