Clapeyron Estimator,,,,
density_,,,,
p,T,Cid,Aid,out_density
101325,278.15,2,1,1299.1
101325,283.15,2,1,1295.1
101325,288.15,2,1,1291.2
101325,293.15,2,1,1287.2
101325,298.15,2,1,1283.3
101325,303.15,2,1,1279.5
101325,308.15,2,1,1275.7
101325,313.15,2,1,1271.9
101325,318.15,2,1,1268.1
101325,323.15,2,1,1264.4
101325,328.15,2,1,1260.6
101325,333.15,2,1,1257
101325,338.15,2,1,1253.3
101325,343.15,2,1,1249.7
101325,348.15,2,1,1246.1
101325,353.15,2,1,1242.6
101325,358.15,2,1,1239
101325,363.15,2,1,1235.5
