Clapeyron Estimator,,,,
density_,,,,
p,T,Cid,Aid,out_density
101325.00,278.15,3,1,1215.33
101325.00,283.15,3,1,1211.72
101325.00,288.15,3,1,1208.08
101325.00,293.15,3,1,1204.47
101325.00,298.15,3,1,1200.85
101325.00,303.15,3,1,1197.26
101325.00,308.15,3,1,1193.69
101325.00,313.15,3,1,1190.14
101325.00,318.15,3,1,1186.61
101325.00,323.15,3,1,1183.1
101325.00,328.15,3,1,1179.61
101325.00,333.15,3,1,1176.13
101325.00,338.15,3,1,1172.67
101325.00,343.15,3,1,1169.22
101325.00,348.15,3,1,1165.78
101325.00,353.15,3,1,1162.36
101325.00,358.15,3,1,1158.95
101325.00,363.15,3,1,1155.55
