Clapeyron Estimator,,,,
speedofsound,,,,
p,T,Cid,Aid,out_speedofsound
101325.00,293.15,2,1,1640.40
101325.00,298.15,2,1,1628.40
101325.00,303.15,2,1,1616.00
101325.00,308.15,2,1,1604.90
101325.00,313.15,2,1,1593.40
101325.00,318.15,2,1,1582.00
101325.00,323.15,2,1,1570.60
101325.00,328.15,2,1,1559.40
101325.00,333.15,2,1,1548.20
101325.00,338.15,2,1,1537.20
101325.00,343.15,2,1,1526.20
