Clapeyron Database File,,,,
SaftVRMie unlike Parameters [csvtype=unlike],,,,
species1,species2,epsilon,lambda_r,source
H2O,CH3,358.18,100.00,
H2O,CH2,423.63,100.00,
H2O,iCOO,171.61,,
H2O,Na,539.68,,
CH3,CH2,350.77,,
CH3,iCOO,255.99,,
CH2,iCOO,413.74,,
iCOO,Na,9.9125,,
