OpenSAFT Database File;;;;;
RK Like Parameters;;;;;
species;DIPPR Number;Mw;Tc;pc;w
1,1-Dimethylcyclohexane;590669;112.215;591.15;2.94;0.233
Ethylcyclohexane;1678917;112.215;609.15;3.04;0.246
Cyclopentene;142290;68.119;507;4.81;0.196
1-Methylcyclopentene;693890;82.145;542;4.13;0.232
Cyclohexene;110838;82.145;560.4;4.39;0.216
Benzene;71432;78.114;562.16;4.88;0.209
Toluene;108883;92.141;591.8;4.1;0.262
o-Xylene;95476;106.167;630.33;3.74;0.311
m-Xylene;108383;106.167;617.05;3.53;0.325
p-Xylene;106423;106.167;616.23;3.5;0.32
Ethylbenzene;100414;106.167;617.2;3.6;0.301
Propylbenzene;103651;120.194;638.32;3.2;0.344
1,2,4-Trimethylbenzene;95636;120.194;649.13;3.25;0.38
Isopropylbenzene;98828;120.194;631.1;3.18;0.322
1,3,5-Trimethylbenzene;108678;120.194;637.36;3.11;0.397
p-Isopropyltoluene;99876;134.221;653.15;2.8;0.366
Naphthalene;91203;128.174;748.35;3.99;0.296
Biphenyl;92524;154.211;789.26;3.86;0.367
Styrene;100425;104.152;636;3.82;0.295
m-Terphenyl;92068;230.309;924.85;3.53;0.561
methanol;67561;32.042;512.64;8.14;0.566
Ethanol;64175;46.069;513.92;6.12;0.643
1-Propanol;71238;60.096;536.78;5.12;0.617
1-Butanol;71363;74.123;563.05;4.34;0.585
2-Butanol;78922;74.123;536.05;4.2;0.574
2-Propanol;67630;60.096;508.3;4.79;0.67
2-Methyl-2-propanol;75650;74.123;506.21;3.99;0.613
1-Pentanol;71410;88.15;586.15;3.87;0.592
2-Methyl-1-butanol;137326;88.15;565;3.87;0.678
3-Methyl-1-butanol;123513;88.15;577.2;3.9;0.586
1-Hexanol;111273;102.177;611.35;3.46;0.572
1-Heptanol;111706;116.203;631.9;3.18;0.592
Cyclohexanol;108930;100.161;650;4.25;0.371
Ethylene glycol;107211;62.068;719.7;7.71;0.487
1,2-Propylene glycol;57556;76.095;626;6.04;1.102
Phenol;108952;94.113;694.25;6.06;0.438
o-Cresol;95487;108.14;697.55;5.06;0.438
in-Cresol;108394;108.14;705.85;4.52;0.444
p-Cresol;106445;108.14;704.65;5.15;0.507
Dimethyl ether;115106;46.069;400.1;5.27;0.192
Methyl ethyl ether;540670;60.096;437.8;4.47;0.229
Methyl n-propyl ether;557175;74.123;476.3;3.77;0.264
Methyl isopropyl ether;598538;74.123;464.5;3.89;0.28
Methyl n-butyl ether;628284;88.15;510;3.31;0.335
Methyl isobutyl ether;625445;88.15;497;3.41;0.31
Methyl tert-butyl ether;1634044;88.15;497.1;3.41;0.264
Diethyl ether;60297;74.123;466.7;3.64;0.281
Ethyl propyl ether;628320;88.15;500.23;3.37;0.347
Ethyl isopropyl ether;625547;88.15;489;3.41;0.306
Methyl phenyl ether;100663;108.14;645.6;4.27;0.353
Diphenyl ether;101848;170.211;766.8;3.1;0.441
Formaldehyde;50000;30.026;408;6.59;0.282
Acetaldehyde;75070;44.053;466;5.57;0.292
1-Propanal;123386;58.08;504.4;4.92;0.256
1-Butanal;123728;72.107;537.2;4.32;0.278
1-Pentanal;110623;86.134;566.1;3.97;0.347
1-Hexanal;66251;100.161;591;3.46;0.387
