OpenSAFT Database File;;;;;;;;
SaftVRMie Assoc Parameters;;;;;;;;
species1;SMILES1;site1;species2;SMILES2;site2;epsilon_assoc;bond_vol;source
water;O;H;water;O;e;1985.4;101.69e-30;10.1080/00268976.2015.1029027
methanol;CO;H;methanol;CO;e;2062.1;106.57e-30;10.1016/j.fluid.2015.12.041
methanol;CO;H;water;O;e;1993.5;104.11e-30;10.1016/j.fluid.2015.12.042
methanol;CO;e;water;CO;H;1993.5;104.11e-30;10.1016/j.fluid.2015.12.043
water;O;e;carbon dioxide;O=C(=O);H;1398.1;91.419e-30;10.1016/j.fluid.2015.12.044
