OpenSAFT Database File;;;;;;;;
SAFTVRMie Like Parameters;;;;;;;;
species;DIPPR Number;Mw;m;sigma;epsilon;lambda;n_H;n_e;source
methane;;16;1.0000;3.9785;167.29;4.5456;0;0;
