Clapeyron Database File,,,,,
ogSAFT Unlike Parameters,,,,,
species1,SMILES1,species2,SMILES2,k,source
water,,ethylene glycol,,0.0302,
hexane,,TEG,,0.139,
water,,propylene glycol,,0.0128,
butane,,methanol,,0.0009,
