Clapeyron Database File,,,,,,,,
PCSAFT Like Parameters,,,,,,,,
species,DIPPR Number,Mw,segment,sigma,epsilon,n_H,n_e,source
"2,2,3-trimethylpentane",40,114.23,3.0954,4.067,260.59,0,0,10.1016/j.fluid.2006.07.006
"2,3-dimethylhexane",33,114.23,3.4634,3.9298,249.02,0,0,10.1016/j.fluid.2006.07.006
"3,4-dimethylhexane",37,114.23,3.4026,3.9431,253.13,0,0,10.1016/j.fluid.2006.07.006
"2,3,4-trimethylpentane",43,114.23,3.2154,4.0164,257.82,0,0,10.1016/j.fluid.2006.07.006
"2,3,3-trimethylpentane",42,114.23,3.017,4.1001,268.0,0,0,10.1016/j.fluid.2006.07.006
"2,2-dimethylhexane",32,114.23,3.4476,3.9603,243.0,0,0,10.1016/j.fluid.2006.07.006
"isooctane~|~2,2,4-trimethylpentane",41,114.23,3.1413,4.0862,249.77,0,0,10.1016/j.fluid.2006.07.006
2-methylheptane,28,114.23,3.7035,3.8676,241.21,0,0,10.1016/j.fluid.2006.07.006
3-methylheptane,29,114.23,3.6225,3.881,245.39,0,0,10.1016/j.fluid.2006.07.006
4-methylheptane,30,114.23,3.6536,3.8703,243.36,0,0,10.1016/j.fluid.2006.07.006
"2,5-dimethylhexane",35,114.23,3.548,3.928,240.85,0,0,10.1016/j.fluid.2006.07.006
2-methyl-3-ethylpentane~|~3-ethyl-2-methylpentane,38,114.23,3.332,3.961,254.65,0,0,10.1016/j.fluid.2006.07.006
3-ethyl-3-methylpentane~|~3-methyl-3-ethylpentane,39,114.23,3.0983,4.0683,266.66,0,0,10.1016/j.fluid.2006.07.006
"2,2,3,3-tetramethylbutane",44,114.23,2.9241,4.1423,266.48,0,0,10.1016/j.fluid.2006.07.006
3-ethylhexane,31,114.23,3.5658,3.8849,247.45,0,0,10.1016/j.fluid.2006.07.006
"2,4-dimethylhexane~|~2 4-dimethylhexane",34,114.23,3.4949,3.9447,242.99,0,0,10.1016/j.fluid.2006.07.006
"3,3-dimethylhexane",36,114.23,3.2197,4.0177,256.55,0,0,10.1016/j.fluid.2006.07.006
"isooctane~|~2,2,4-trimethylpentane",41,114.23,3.1366,4.0875,249.987,0,0,10.1021/ie034258k
"2,2,4,4-tetramethylpentane",53,128.26,3.1746,4.2086,262.92,0,0,10.1016/j.fluid.2006.07.006
"2,2,5-trimethylhexane",47,128.26,3.762,3.9841,241.1,0,0,10.1016/j.fluid.2006.07.006
"2,2-dimethylheptane",96,128.26,3.8706,3.9496,243.3,0,0,10.1016/j.fluid.2006.07.006
"2,2-dimethyl-3-ethylpentane~|~3-ethyl-2,2-dimethyl-pentane",190,128.26,3.4503,4.0698,259.84,0,0,10.1016/j.fluid.2006.07.006
2-methyloctane,91,128.26,4.0707,3.8889,243.85,0,0,10.1016/j.fluid.2006.07.006
3-methyloctane,92,128.26,3.9748,3.9126,247.57,0,0,10.1016/j.fluid.2006.07.006
4-methyloctane,93,128.26,3.9538,3.9162,247.13,0,0,10.1016/j.fluid.2006.07.006
"2,6-dimethylheptane~|~2,6-dimethyl-heptane",176,128.26,4.0443,3.8888,239.47,0,0,10.1016/j.fluid.2006.07.006
"3-ethyl-2,4-dimethylpentane~|~2,4-dimethyl-3-ethylpentane",192,128.26,3.5106,4.0456,259.44,0,0,10.1016/j.fluid.2006.07.006
3-ethylheptane,94,128.26,3.9113,3.9254,248.56,0,0,10.1016/j.fluid.2006.07.006
