Clapeyron Database File,,,,
COSMOSAC Like Parameters,,,,
species,DIPPR Number,A,V,Pi,source
water,,43.2693,25.7345,0 0 0 0 0 0 0 0 0 1.104369 2.765041 2.293162 1.452137 2.521036 1.7896 2.295309 1.805441 0.984669 0.141948 0.714866 0.859472 1.14321 1.02698 0.121042 0.026276 0.743374 1.02662 0.566847 1.031263 0.696047 0.654817 1.222632 1.078563 1.572957 0.367132 0.971629 1.197562 1.707356 2.624604 2.949375 1.13623 2.153543 0.524173 0 0 0 0 0 0 0 0,
ethanol,,88.4066,70.1995,0 0 0 0 0 0 0 0 0 0.294716 0.627925 1.658433 0.234822 0.695635 0.929357 1.192938 0.840455 0.530297 0.838516 1.049728 3.996093 9.567137 10.291977 9.760244 8.001483 6.441615 7.355309 4.793374 1.291127 1.461742 1.634474 1.08839 0.499964 1.142444 1.027478 1.297059 1.150875 1.565194 2.31584 2.142727 1.933384 0.755815 0 0 0 0 0 0 0 0 0,
methanol,,67.9016,48.771,0 0 0 0 0 0 0 0 0.0695360 0.709983 1.406964 0.848034 0.797305 0.479231 0.838825 1.39640 0.851284 0.765436 0.486886 1.912121 3.949135 6.387714 6.992734 4.633719 6.983105 5.435811 1.874731 2.283715 0.928576 1.339145 1.739263 1.215135 0.681159 0.909788 0.725364 1.849899 0.903892 1.387839 2.81258 2.104951 1.833576 0.367752 0 0 0 0 0 0 0 0 0,
benzene,,121.92,110.222,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.966783 11.954607 13.291945 11.123996 8.743351 6.839093 7.957861 4.393336 5.191719 8.516228 7.438065 3.942874 13.362458 7.132323 9.005413 1.059648 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,
carbon dioxide,,66.35,47.8438,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.587504 8.988053 5.505943 3.35914 2.055573 3.237227 0.798319 4.565871 0.17534 8.55545 2.254301 18.824483 5.442787 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,
