Clapeyron Database File,,,,
COSMOSAC Like Parameters,,,,
species,DIPPR Number,A,V,Pi,source
water,,43.2693,25.7345,0 0 0 0 0 0 0 0 0 1.104369 2.765041 2.293162 1.452137 2.521036 1.7896 2.295309 1.805441 0.984669 0.141948 0.714866 0.859472 1.14321 1.02698 0.121042 0.026276 0.743374 1.02662 0.566847 1.031263 0.696047 0.654817 1.222632 1.078563 1.572957 0.367132 0.971629 1.197562 1.707356 2.624604 2.949375 1.13623 2.153543 0.524173 0 0 0 0 0 0 0 0,
ethanol,,88.4066,70.1995,0 0 0 0 0 0 0 0 0 0.294716 0.627925 1.658433 0.234822 0.695635 0.929357 1.192938 0.840455 0.530297 0.838516 1.049728 3.996093 9.567137 10.291977 9.760244 8.001483 6.441615 7.355309 4.793374 1.291127 1.461742 1.634474 1.08839 0.499964 1.142444 1.027478 1.297059 1.150875 1.565194 2.31584 2.142727 1.933384 0.755815 0 0 0 0 0 0 0 0 0,
