Clapeyron Database File,,,,,
NRTL Assoc Parameters [csvtype = like],,,,,
species,δA,δD,nA,nD,rI,source
N-methyl-2-pyrrolidone,1.581,0.000,3,0,3.98,10.1021/acs.iecr.9b02078
methyl acetate,0.439,0.000,2,0,2.80,10.1021/acs.iecr.9b02078
methyl butyl ketone,0.700,0.000,2,0,4.60,10.1021/acs.iecr.9b02078
methyl ethyl ketone,0.519,0.000,2,0,3.25,10.1021/acs.iecr.9b02078
N-methylformamide,1.067,0.493,3,1,2.40,10.1021/acs.iecr.9b02078
methyl isobutyl ketone,0.689,0.000,2,0,4.60,10.1021/acs.iecr.9b02078
methyl tert-butyl ether,0.450,0.000,2,0,4.07,10.1021/acs.iecr.9b02078
3-methyl-1-butanol,1,1,2,1,4.27,10.1021/acs.iecr.9b02078
methylcyclohexane,0,0,0,0,4.64,10.1021/acs.iecr.9b02078
nitromethane,0,0.049,5,0,2.01,10.1021/acs.iecr.9b02078
i-octane,0,0,0,0,5.85,10.1021/acs.iecr.9b02078
n-octane,0,0,0,0,5.85,10.1002/aic.17061
1-octanol,1,1,2,1,6.15,10.1021/acs.iecr.9b02078
n-pentane,0,0,0,0,3.83,10.1021/acs.iecr.9b02078
1-pentanol,1,1,2,1,4.13,10.1021/acs.iecr.9b02078
p-cresol~|~4-methylphenol,0,5.234,0,1,4.29,10.1002/aic.17061
1-propanol,1,1,2,1,2.78,10.1021/acs.iecr.9b02078
n-propyl acetate,0.468,0.000,2,0,4.15,10.1021/acs.iecr.9b02078
propylene glycol,1,1,4,2,3.08,10.1021/acs.iecr.9b02078
pyridine,3.794,0.000,1,0,3.00,10.1021/acs.iecr.9b02078
sulfolane,0.437,0.000,4,0,4.04,10.1021/acs.iecr.9b02078
tetraethylene glycol,0.810,1,10,2,7.19,10.1021/acs.iecr.9b02078
tetrahydrofuran,0.719,0.000,2,0,2.87,10.1021/acs.iecr.9b02078
1,2,3,4-tetrahydronaphthalene,0.134,0.000,1,0,5.34,10.1021/acs.iecr.9b02078
toluene,0.100,0.000,1,0,3.92,10.1021/acs.iecr.9b02078
1,1,1-trichloroethane,0.007,0.000,3,0,3.54,10.1021/acs.iecr.9b02078
trichloroethylene,0.089,0.000,1,0,3.27,10.1021/acs.iecr.9b02078
triethylamine,5.883,0.000,1,0,5.01,10.1021/acs.iecr.9b02078
triethylene glycol,0.508,1,8,2,5.59,10.1021/acs.iecr.9b02078
water,1,1,2,2,0.76,10.1002/aic.17061
m-xylene,0.201,0,1,0,4.66,10.1021/acs.iecr.9b02078
