Clapeyron Database File,,,,,
PCSAFT Unlike Parameters,,,,,
species1,SMILES1,species2,SMILES2,k,kT,source
water~|~water08,O,lithium,Li,-0.25,0,
water~|~water08,O,sodium,Na,2.37999,-0.007981,
water~|~water08,O,potassium,K,1.3959,-0.004012,
water~|~water08,O,hydronium,H3O,0.25,,
water~|~water08,O,cesium,Cs,0.081,,
water~|~water08,O,ammonium,NH4,0.064,,
water~|~water08,O,magnesium,Mg,-0.25,,
water~|~water08,O,calcium,Ca,4.1e-3,,
water~|~water08,O,copper,Cu,0.25,,
water~|~water08,O,zinc,Zn,-0.25,,
water~|~water08,O,fluoride,F,-0.25,,
water~|~water08,O,chloride,Cl,-0.25,,
water~|~water08,O,bromide,Br,-0.25,,
water~|~water08,O,iodide,I,-0.25,,
water~|~water08,O,nitrate,NO3,0.098,,
water~|~water08,O,hydroxide,OH,-0.25,,
water~|~water08,O,perchlorate,ClO4,-0.25,,
water~|~water08,O,bicarbonate,HCO3,0.0,,
water~|~water08,O,dihydrogen phosphate,H2PO4,0.25,,
water~|~water08,O,formate,HCOO,-0.23,,
water~|~water08,O,acetate,CH3COO,-0.23,,
water~|~water08,O,sulfate,SO4,0.25,,
water~|~water08,O,thiosulfate,S2O3,0.25,,
water~|~water08,O,phosphate,PO4,-0.25,,
water~|~water08,O,carbonate,CO3,-0.25,,
water~|~water08,O,biphosphate,HPO4,0.25,,
fluoride,F,sodium,Na,0.665,,
fluoride,F,potassium,K,1.0,,
fluoride,F,cesium,Cs,1.0,,
chloride,Cl,hydronium,H3O,0.654,,
chloride,Cl,lithium,Li,0.669,,
chloride,Cl,sodium,Na,0.317,,
chloride,Cl,potassium,K,0.064,,
chloride,Cl,cesium,Cs,-0.417,,
chloride,Cl,ammonium,NH4,-0.566,,
chloride,Cl,magnesium,Mg,0.817,,
chloride,Cl,calcium,Ca,1.0,,
chloride,Cl,copper,Cu,-0.216,,
chloride,Cl,zinc,Zn,-0.705,,
bromide,Br,hydronium,H3O,0.645,,
bromide,Br,lithium,Li,0.591,,
bromide,Br,sodium,Na,0.290,,
bromide,Br,potassium,K,-0.102,,
bromide,Br,cesium,Cs,-0.670,,
bromide,Br,ammonium,NH4,-0.639,,
bromide,Br,magnesium,Mg,0.752,,
bromide,Br,calcium,Ca,0.993,,
iodide,I,hydronium,H3O,0.497,,
iodide,I,lithium,Li,0.002,,
iodide,I,sodium,Na,0.018,,
iodide,I,potassium,K,-0.312,,
iodide,I,cesium,Cs,-1.,,
iodide,I,ammonium,NH4,-0.787,,
iodide,I,magnesium,Mg,0.317,,
iodide,I,calcium,Ca,0.229,,
perchlorate,ClO4,hydronium,H3O,0.861,,
perchlorate,ClO4,lithium,Li,0.406,,
perchlorate,ClO4,sodium,Na,-0.118,,
perchlorate,ClO4,ammonium,NH4,-1.0,,
perchlorate,ClO4,magnesium,Mg,0.122,,
perchlorate,ClO4,calcium,Ca,0.674,,
nitrate,NO3,lithium,Li,0.364,,
nitrate,NO3,sodium,Na,-0.3,,
nitrate,NO3,potassium,K,-0.585,,
nitrate,NO3,cesium,Cs,-0.855,,
nitrate,NO3,ammonium,NH4,-0.419,,
nitrate,NO3,magnesium,Mg,0.285,,
nitrate,NO3,calcium,Ca,-0.101,,
dihydrogen phosphate,H2PO4,sodium,Na,-0.071,,
dihydrogen phosphate,H2PO4,potassium,K,0.018,,
dihydrogen phosphate,H2PO4,ammonium,NH4,-1.0,,
biphosphate,HPO4,sodium,Na,-1.,,
biphosphate,HPO4,potassium,K,1.,,
biphosphate,HPO4,ammonium,NH4,-0.556,,
phosphate,PO4,sodium,Na,-1.0,,
phosphate,PO4,potassium,K,1.0,,
acetate,CH3COO,lithium,Li,-0.998,,
acetate,CH3COO,sodium,Na,0.246,,
acetate,CH3COO,potassium,K,1.0,,
acetate,CH3COO,cesium,Cs,0.785,,
formate,HCOO,sodium,Na,-0.370,,
formate,HCOO,potassium,K,0.340,,
hydroxide,OH,lithium,Li,-0.566,,
hydroxide,OH,sodium,Na,0.649,,
hydroxide,OH,potassium,K,1.0,,
hydroxide,OH,cesium,Cs,0.564,,
sulfate,SO4,lithium,Li,-0.952,,
sulfate,SO4,sodium,Na,-1.0,,
sulfate,SO4,potassium,K,1.0,,
sulfate,SO4,cesium,Cs,-1.0,,
sulfate,SO4,ammonium,NH4,-1.0,,
sulfate,SO4,magnesium,Mg,-1.0,,
sulfate,SO4,calcium,Ca,-0.908,,
sulfate,SO4,copper,Cu,-1.0,,
sulfate,SO4,zinc,Zn,-0.446,,
carbonate,CO3,sodium,Na,-1.0,,
carbonate,CO3,potassium,K,1.0,,
bicarbonate,HCO3,sodium,Na,-0.514,,
bicarbonate,HCO3,potassium,K,-0.476,,
thiosulfate,S2O3,sodium,Na,0.184,,
