Clapeyron Database File,,,,,,,,
ePCSAFT Like Parameters,,,,,,,,
species,DIPPR Number,Mw,segment,sigma,epsilon,n_H,n_e,source
hydronium,,19.02,1.,3.4654,500.00,0,0,
sodium,,22.98977,1.0,2.8232,230.00,0,0,
lithium,,6.941,1.0,2.8449,360.00,0,0,
potassium,,39.0983,1.,3.3417,200.00,0,0,
cesium,,132.9054519,1.,3.9246,180.00,0,0,
ammonium,,18.038,1.,3.5740,230.00,0,0,
magnesium,,24.305,1.,3.1327,1500.00,0,0,
calcium,,40.078,1.,3.2648,1060.00,0,0,
copper,,63.546,1.,3.8379,1610.90,0,0,
zinc,,65.38,1.,2.9798,1250.00,0,0,
chloride,,35.453,1.0,2.7599589,170.00,0,0,
fluoride,,18.998403,1.0,1.7712,275.00,0,0,
bromide,,119.002,1.,3.0707,190.00,0,0,
iodide,,126.90447,1.,3.6672,200.00,0,0,
nitrate,,62.0049,1.,3.2988,130.00,0,0,
hydroxide,,17.00734,1.,2.0177,650.00,0,0,
perchlorate,,99.45,1.,4.0186,104.16,0,0,
bicarbonate,,61.01684,1.,2.9296,70.00,0,0,
dihydrogen phosphate,,97.995181,1.,3.6505,95.00,0,0,
formate,,46.0254,1.,3.3077,190.00,0,0,
acetate,,59.044,1.,3.9328,150.00,0,0,
sulfate,,96.06,1.,2.6491,80.00,0,0,
thiosulfate,,104.06,1.,3.1877,80.00,0,0,
carbonate,,60.01,1.,2.4422,249.26,0,0,
biphosphate,,97.995181,1.,2.1621,146.02,0,0,
phosphate,,94.9714,1.,2.5516,310.00,0,0,
1-ethyl-3-methylimidazolium,,111.17,1.4872,3.5926,206.49,0,0,
1-butyl-3-methylimidazolium,,111.17,2.4805,3.6371,218.144,0,0,
hexafluorophosphate,,144.9641810,4.2771,3.5889,492.28,0,0,
tetrafluoroborate,,86.81,3.8227,3.5088,496.12,0,0,
