Clapeyron Database File
EOS-LNG departure unlike Parameters [sep = ;, csvtype = pair]
species1;species2;F;parameters
methane;nitrogen;1.0;[{"l":[0.0,0.0],"n":[-0.0098038985517335,0.00042487270143005],"d":[1.0,4.0],"type":"ResidualHelmholtzPower","t":[0.0,1.85]},{"beta":[1.0,1.0,2.5,3.0,3.0,3.0,3.0],"gamma":[0.5,0.5,0.5,0.5,0.5,0.5,0.5],"n":[-0.034800214576142,-0.13333813013896,-0.011993694974627,0.069243379775168,-0.31022508148249,0.24495491753226,0.22369816716981],"d":[1.0,2.0,2.0,2.0,2.0,2.0,3.0],"type":"ResidualHelmholtzGERG2008","eta":[1.0,1.0,0.25,0.0,0.0,0.0,0.0],"epsilon":[0.5,0.5,0.5,0.5,0.5,0.5,0.5],"t":[7.85,5.4,0.0,0.75,2.8,4.45,4.25]}]
methane;carbon dioxide;1.0;[{"l":[0.0,0.0,0.0],"n":[-0.10859387354942,0.080228576727389,-0.0093303985115717],"d":[1.0,2.0,3.0],"type":"ResidualHelmholtzPower","t":[2.6,1.95,0.0]},{"beta":[1.0,2.0,3.0],"gamma":[0.5,0.5,0.5],"n":[0.040989274005848,-0.24338019772494,0.23855347281124],"d":[1.0,2.0,3.0],"type":"ResidualHelmholtzGERG2008","eta":[1.0,0.5,0.0],"epsilon":[0.5,0.5,0.5],"t":[3.95,7.95,8.0]}]
methane;ethane;1.0;[{"l":[0.0,0.0],"n":[-0.00080926050298746,-0.00075381925080059],"d":[3.0,4.0],"type":"ResidualHelmholtzPower","t":[0.65,1.55]},{"beta":[1.0,1.0,1.0,1.25,1.5,2.0,3.0,3.0,3.0,3.0],"gamma":[0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5],"n":[-0.041618768891219,-0.23452173681569,0.14003840584586,0.063281744807738,-0.034660425848809,-0.23918747334251,0.0019855255066891,6.1777746171555,-6.9575358271105,1.0630185306388],"d":[1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0],"type":"ResidualHelmholtzGERG2008","eta":[1.0,1.0,1.0,0.875,0.75,0.5,0.0,0.0,0.0,0.0],"epsilon":[0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5],"t":[3.1,5.9,7.05,3.35,1.2,5.8,2.7,0.45,0.55,1.95]}]
methane;propane~|~n-propane;1.0;[{"l":[0.0,0.0,0.0,0.0,0.0],"n":[0.013746429958576,-0.0074425012129552,-0.0045516600213685,-0.0054546603350237,0.0023682016824471],"d":[3.0,3.0,4.0,4.0,4.0],"type":"ResidualHelmholtzPower","t":[1.85,3.95,0.0,1.85,3.85]},{"beta":[0.75,1.0,2.0,3.0],"gamma":[0.5,0.5,0.5,0.5],"n":[0.18007763721438,-0.44773942932486,0.0193273748882,-0.30632197804624],"d":[1.0,1.0,1.0,2.0],"type":"ResidualHelmholtzGERG2008","eta":[0.25,0.25,0.0,0.0],"epsilon":[0.5,0.5,0.5,0.5],"t":[5.25,3.85,0.2,6.5]}]
nitrogen;carbon dioxide;1.0;[{"l":[0.0,0.0],"n":[0.28661625028399,-0.10919833861247],"d":[2.0,3.0],"type":"ResidualHelmholtzPower","t":[1.85,1.4]},{"beta":[0.75,1.0,2.0,3.0],"gamma":[0.5,0.5,0.5,0.5],"n":[-1.137403208227,0.76580544237358,0.0042638000926819,0.17673538204534],"d":[1.0,1.0,1.0,2.0],"type":"ResidualHelmholtzGERG2008","eta":[0.25,0.25,0.0,0.0],"epsilon":[0.5,0.5,0.5,0.5],"t":[3.2,2.5,8.0,3.75]}]
nitrogen;ethane;1.0;[{"l":[0.0,0.0,0.0],"n":[-0.47376518126608,0.48961193461001,-0.0057011062090535],"d":[2.0,2.0,3.0],"type":"ResidualHelmholtzPower","t":[0.0,0.05,0.0]},{"beta":[1.0,1.0,1.25],"gamma":[0.5,0.5,0.5],"n":[-0.1996682004132,-0.69411103101723,0.69226192739021],"d":[1.0,2.0,2.0],"type":"ResidualHelmholtzGERG2008","eta":[1.0,1.0,0.875],"epsilon":[0.5,0.5,0.5],"t":[3.65,4.9,4.45]}]
methane;hydrogen;1.0;[{"l":[0.0,0.0,0.0,0.0],"n":[-0.25157134971934,-0.0062203841111983,0.088850315184396,-0.035592212573239],"d":[1.0,3.0,3.0,4.0],"type":"ResidualHelmholtzPower","t":[2.0,-1.0,1.75,1.4]}]
methane;butane~|~n-butane;1.0;[{"l":[0.0,0.0,0.0],"d":[1.0,2.0,3.0],"n":[0.7588,-0.4386,-0.02273],"type":"ResidualHelmholtzPower","t":[1.02,0.71,1.57]},{"beta":[1.07,1.06,1.11,1.2,1.23],"gamma":[0.0,0.0,0.0,0.0,0.0],"d":[1.0,1.0,1.0,2.0,1.0],"n":[45.05,-2.291,-62.51,33.32,-12.14],"type":"ResidualHelmholtzGERG2008","eta":[1.34,1.45,0.96,1.33,1.9],"epsilon":[0.59,1.9,0.87,1.12,1.43],"t":[3.41,2.12,3.28,3.37,3.4]}]
methane;isobutane~|~2-methylpropane;1.0;[{"l":[0.0,0.0,0.0],"d":[1.0,2.0,3.0],"n":[0.9396,-0.1439,-0.1413],"type":"ResidualHelmholtzPower","t":[1.43,0.3,1.2]},{"beta":[1.67,1.76,1.02,1.76,1.06],"gamma":[0.0,0.0,0.0,0.0,0.0],"d":[1.0,1.0,1.0,2.0,1.0],"n":[35.32,-4.216,59.17,-76.68,-41.39],"type":"ResidualHelmholtzGERG2008","eta":[1.87,1.05,1.78,1.19,2.0],"epsilon":[1.73,0.78,1.75,1.84,1.71],"t":[3.1,1.78,3.36,2.7,3.7]}]
methane;pentane~|~n-pentane;1.0;[{"l":[0.0,0.0],"d":[2.0,3.0],"n":[0.03711,-0.12154],"type":"ResidualHelmholtzPower","t":[1.54,0.95]},{"beta":[0.916,0.87,0.86,2.8],"gamma":[0.5,0.5,0.5,0.5],"d":[1.0,1.0,1.0,2.0],"n":[27.086,-13.614,-14.45,-0.46867],"type":"ResidualHelmholtzGERG2008","eta":[0.6,0.43,0.7,1.4],"epsilon":[0.7,0.61,0.7,0.46],"t":[0.47,0.9,0.22,2.65]}]
methane;isopentane~|~methylbutane~|~2-methylbutane;1.0;[{"l":[0.0,0.0],"d":[2.0,3.0],"n":[0.051,-0.158],"type":"ResidualHelmholtzPower","t":[0.2,0.53]},{"beta":[1.56,1.33,1.46,2.7],"gamma":[0.0,0.0,0.0,0.0],"d":[1.0,1.0,1.0,2.0],"n":[-67.49,-88.27,154.9,3.725],"type":"ResidualHelmholtzGERG2008","eta":[0.64,0.39,0.48,1.0],"epsilon":[0.5,0.5,0.5,0.5],"t":[1.79,2.1,2.0,0.2]}]
ethane;propane~|~n-propane;0.13042476515;[{"l":[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],"n":[2.5574776844118,-7.9846357136353,4.7859131465806,-0.73265392369587,1.3805471345312,0.28349603476365,-0.49087385940425,-0.10291888921447,0.11836314681968,5.5527385721943e-5],"d":[1.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0],"type":"ResidualHelmholtzPower","t":[1.0,1.55,1.7,0.25,1.35,0.0,1.25,0.0,0.7,5.4]}]
ethane;butane~|~n-butane;0.281570073085;[{"l":[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],"n":[2.5574776844118,-7.9846357136353,4.7859131465806,-0.73265392369587,1.3805471345312,0.28349603476365,-0.49087385940425,-0.10291888921447,0.11836314681968,5.5527385721943e-5],"d":[1.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0],"type":"ResidualHelmholtzPower","t":[1.0,1.55,1.7,0.25,1.35,0.0,1.25,0.0,0.7,5.4]}]
ethane;isobutane~|~2-methylpropane;0.260632376098;[{"l":[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],"n":[2.5574776844118,-7.9846357136353,4.7859131465806,-0.73265392369587,1.3805471345312,0.28349603476365,-0.49087385940425,-0.10291888921447,0.11836314681968,5.5527385721943e-5],"d":[1.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0],"type":"ResidualHelmholtzPower","t":[1.0,1.55,1.7,0.25,1.35,0.0,1.25,0.0,0.7,5.4]}]
