Clapeyron Estimator,,,
density,,,
p,T,id,out_density
101.325e3,308.16,1,367.3
101.325e3,313.16,1,367.6
101.325e3,318.16,1,370.4
101.325e3,323.16,1,371.9
101.325e3,328.22,1,373.7
101.325e3,333.22,1,375.9
101.325e3,338.19,1,377.1
101.325e3,343.18,1,380.2
101.325e3,348.25,1,382.7
101.325e3,353.18,1,384.8
101.325e3,358.25,1,387
101.325e3,363.18,1,389.2
101.325e3,368.17,1,390
101.325e3,373.21,1,390
101.325e3,378.2,1,392.2
101.325e3,383.17,1,393.6
101.325e3,388.2,1,395.3
101.325e3,393.17,1,396.5
101.325e3,398.2,1,397.9
101.325e3,403.2,1,400.7
101.325e3,408.16,1,403.9
101.325e3,413.19,1,403.5
101.325e3,418.19,1,405
101.325e3,423.22,1,406.6
