Clapeyron Estimator,,,
density,,,
p,T,out_density,
100000,313.1,1231,1231.2624786904858
100000,332.6,1219,1219.2034971306566
100000,352.6,1207,1207.0446543171347
100000,372.7,1195,1195.065548356839
100000,392.8,1184,1183.351168346446
100000,412.9,1173,1171.9211283120442
100000,432.6,1161,1161.0093768240372
100000,452.3,1150,1150.396306155993
100000,472.2,1139,1139.9858535464368
