Clapeyron Database File,,,,,,,,,,,
Burdhardt Ideal Like Parameters  [csvtype = like,grouptype = BurkhardtAlyLee]
species,A,B,C,D
-CH3,2.3416843345764935,6.26665946986602,7.416491107212087,3.0621672331223215
-CH2-,1.194181698466404,4.430085234338768,2.8813417801187535,2.3409580018929357
>CH-,-0.20090288550040825,3.73165940326731,-1.0927221959717976,2.12690381821327
>C<,-1.939703467660696,3.8339381856024906,-4.873497545164347,1.1010684637624695
=CH2,2.0031700441031264,3.7971169615931344,6.877649416493479,2.2559462196335507
=CH-,1.0211449084992534,2.2439029261207644,2.9810422025549035,1.234690699344882
>C=,-0.6154241653853544,1.7317920794900965,-3.160914044190764,1.3473697154412725
≡C-,-0.37070346724494196,0.9025244384015474,-0.1552424425066516,2.3143084717585927
≡CH,2.7239398445460297,0.6407934309208373,10.12550775327859,0.03263231132396736
=C=,0.5893916042853098,0.004902875729827696,-1.331721646170492,0.5415228164066317
-CH-(arom),0.7150472777211342,2.521779088966824,1.9462241606993476,0.6255586937917209
>C-(arom),-0.21226125459222414,1.206969425684018,-2.425489007105292,0.612726498622087
>C-(arom)(arom),-0.47063070826040493,1.1245850359067244,-3.4914394697679407,0.39617010991440094
=O,1.5458271937492087,-1.5349284522356794,1.291079476216676,-1.7575117052291234
-OH,1.7701742295024578,1.074842297644602,8.318842399441355,0.9655247776044397
-O-,0.6911751735552178,-0.45861324407021936,-2.3395277624541846,-0.2921624501176702
-O-(arom),1.3908496239000303,-1.1525558083218315,-2.498108258324354,-2.2779101306867693
-NH2,1.3183139990472728,2.9019836903024823,-0.48365239651253067,1.4535579279667334
=NH,1.1587170272081526,1.9409918749535522,6.738432933539632,0.5375013342257129
≡N,2.507693568116664,-2.0691239693675514,2.4832426055883183,-3.2806569221628834
-NH-,-1.0982742496185072,3.4202898128519883,-3.6267896668050645,1.9755160814062258
-N=,0.875822255661952,-0.4197145292712924,-0.4233138973067468,-0.5814310610351553
>N-,0.6963408304515543,0.5672334430450364,-0.8036655447714292,-0.5217093177983294
-NO2,2.1028037835002613,4.131697520652811,0.8062823910173937,3.302078818564826
-NH-(arom),1.3779792291850779,1.0289301517846554,-1.771341881813716,-1.7646232542439992
-N-(arom),0.8113770178312414,-0.4108818650095645,-1.2862279191384947,-1.531984100557437
-SH,2.7946405343588467,0.13199512557748813,5.52293361819215,-0.22072128047773665
-S-,1.3222713707898444,-0.9621967344083389,1.8467764219916323,1.0933554724164087
>S=,1.0590807554146668,0.35301189436627184,2.455150615512784,3.8289010859693615
-S-(arom),1.4631679767241408,-1.4082680619625483,4.681140983070908,0.9050388837600101
>SO2,2.7290559935847876,4.016014063003693,-3.6442579777659976,0.2793228852045775
=S,1.962904082670928,-1.9423315281868905,2.4570166018423754,-0.7174816647725767
-B<,-0.05836850029117426,1.2518774613613675,-0.1370385306779664,2.3644062073536345
-Cl,1.645359673561897,-1.5692037852483665,-2.851462405791193,-0.9961067009732072
-Br,1.6092753235046988,-1.5368996775095278,-5.344758081899528,-0.5617982962427285
-F,1.3785335161382377,-1.2982699772235111,-0.41564506958444336,-1.6370374756727344
-I,2.0592098399976733,-1.9303953774947615,-1.3429667886119652,-0.9197224262066065
>Si<,0.193718016446695,1.6489838293797299,0.3472065667712459,5.981892745588161
>SiH-,0.6097118704108646,3.30488438593403,1.152309438038975,6.027175045440582
-SiH2-,1.5432590637836403,4.619787856220002,1.474878631668318,4.031113084486428
-SiH3,2.66487023433033,5.883652471438643,3.452416384515421,3.990452459547812
[2H],0.07633810815299381,-2.1572848591046254,3.1337692700809128,-0.7172806269211035
SO:multicyclic-site,-0.9691844915204658,-1.7301333082396448,0.44463796368797015,-0.10822071691205545
SO:-CH2-(cyc5+),-0.24547664350756976,-1.6542307509422411,1.7512538651806466,-2.2602914437253023
SO:-CH2-(cyc34),0.30382526378275154,-2.6173286000034484,0.8572149226670146,-3.13610339370454
SO:-CH3(@arom),-1.1887577853966642,-1.23342339152089,-5.960248117484756,0.48381537621861076
SO:-OH(@arom),-0.7572378948772958,-1.373503527885089,-3.61876312208361,0.8085985792513346
SO:-F(primary to C),0.2008620948845547,-2.335010434137281,3.0179108799148873,-2.068047646318821
SO:=CH-(cyc),-0.09878989195480374,-2.2329014647920755,2.444490451653215,-1.6768922555821206
"SO:>C=O(keto,ring)",-0.30709715736946425,-2.030287294303773,1.5560637389471639,-1.9120817620770811
SO:-O-(cyc),0.04248719092914627,-2.161212483002823,0.8787107057832767,-2.19502576141932
SO:-Br(primary to C),-0.1687828412799195,-1.8937329696917033,-0.9469377857236572,-1.4210009731676219
SO:-Cl(primary to C),0.018190316756392964,-2.1831591606771212,-0.246930748187459,-1.7455017571229074
SO:-F(@arom),-0.1511848448041567,-2.0059086672635025,-1.6223025098917985,-0.7925979659508895
SO:-OH(secondary to C),-1.6415475256197887,-0.7015605146723618,-4.817775823795508,1.7260017738916595
SO:-CF2X,0.12961092248423892,-2.4044699372914473,-1.0225593372461055,-1.4914523603554757
SO:Cl-(to Si),0.049991981081805935,-2.2880522140498787,0.5301081043823233,-2.059842999150992
SO:>CH-(cyc),0.5625962888867795,-2.6954525478090465,1.401365318146593,-3.6980032400154816
SO:-CH2-(@arom),-0.006711180543345479,-2.46240123485749,-2.1142663371962755,-1.2218745806034
SO:>C<(cyc),0.4298599532907379,-3.2394017413852745,2.4701924966888154,-3.223579920566748
"SO:[*]-[Br,I]3",0.4393226847516886,-2.713391697535218,1.8115551881564882,-2.757934905053491
SO:-NH-(cyc),2.0853853116513243,-4.182085509913912,0.37709256344388886,-7.068256163352397
SO:-CH=O(aldeh),-0.29872442338431854,-1.7890419401020563,-4.357606760916295,-0.11468614291657679
SO:HO-O-(perhydroxide),-1.3631922354635253,-0.9424602563708034,-4.693416059359475,4.504158454194877
